MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;MINTZONA,C,20;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
3573055;M1712-Mayores - CALLE DE PAN Y TOROS 24;17;VILLAVERDE;175;LOS ANGELES;;;CALLE;PAN Y TOROS;24;11128949;MAYORES;8;ACTIVO
3573057;M1714-Mayores - CALLE DE ALCOCER 26;17;VILLAVERDE;175;LOS ANGELES;;05/02/15;CALLE;ALCOCER;28;11128423;MAYORES;5;ACTIVO
451593;M0808-Mayores A.P.E. 08 16 ARROYO DEL FRESNO;08;FUENCARRAL-EL PARDO;087;MIRASIERRA;;05/07/17;CALLE;MARIA CASARES;15;31049739;MAYORES;3;ACTIVO
16849;M0402-Mayores PARQUE DE MARIA EVA DUARTE DE PERON;04;SALAMANCA;044;GUINDALERA;;;CALLE;FRANCISCO SILVELA;12;11017054;MAYORES;9;ACTIVO
18269;M1710-Mayores - CALLE DE LA CANCION DEL OLVIDO 16;17;VILLAVERDE;175;LOS ANGELES;;;CALLE;LA CORTE DE FARAON;35;11129071;MAYORES;17;ACTIVO
3611795;M1011-Mayores COL. DEHESA DEL PPE.;10;LATINA;105;CAMPAMENTO;;30/11/17;PASEO;LANCEROS;1;11067001;MAYORES;7;ACTIVO
18487;M2009-Mayores-C NAVARIDAS 14;20;SAN BLAS-CANILLEJAS;206;REJAS;;01/01/04;CALLE;NAVARIDAS;14;20090563;MAYORES;20;ACTIVO
3739833;M0811-Mayores PARQUE NORTE CARMEN TAGLE;08;FUENCARRAL-EL PARDO;085;LA PAZ;;01/12/17;CALLE;ANTONIO LOPEZ AGUADO;5;11046924;MAYORES;7;ACTIVO
3740788;M0913-Mayores PARQUE DE LA BOMBILLA;09;MONCLOA-ARAVACA;091;CASA DE CAMPO;;01/12/17;AVENIDA;VALLADOLID;17;11052074;MAYORES;7;ACTIVO
17723;M1306-Mayores - CALLE DE TORREMOLINOS 16;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;;;CALLE;TORREMOLINOS;16;11096290;MAYORES;5;ACTIVO
52135;M1403-Mayores -  CALLE DEL CAMINO DE LOS VINATEROS 136;14;MORATALAZ;146;VINATEROS;;19/09/12;CALLE;CAMINO DE LOS VINATEROS;136;20105688;MAYORES;17;ACTIVO
