MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;MINTZONA,C,20;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
4988273;M1910- Mayores - CALLE DE IMPERIO ARGENTINA 7;19;VICALVARO;194;EL CAÑAVERAL;;20/12/18;CALLE;IMPERIO ARGENTINA;7;31055300;MAYORES;6;ACTIVO
4989388;M0208-Mayores JARDIN DEL GRANITO;02;ARGANZUELA;025;DELICIAS;;06/01/19;CALLE;ALICANTE;6;20131929;MAYORES;10;ACTIVO
4989404;M1806- Mayores - CALLE DE SAN JUAN DE LA PEÑA 17;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;;08/01/19;CALLE;SAN JUAN DE LA PEÑA;17;20169671;MAYORES;8;ACTIVO
3740132;M0812-Mayores PARQUE DE LA SUPERMANZANA 7;08;FUENCARRAL-EL PARDO;085;LA PAZ;;01/12/17;CALLE;SANGENJO;27;11045862;MAYORES;7;ACTIVO
4704508;M0814-Mayores DR. JOAQUIN LORENZO (APE 08.11);08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;;21/12/17;CALLE;JOAQUIN LORENZO;15;31019389;MAYORES;7;ACTIVO
4731210;M0507-Mayores JARDINES MEDARDO FRAILE;05;CHAMARTIN;052;PROSPERIDAD;;29/12/17;CALLE;PUENTEAREAS;20;31021351;MAYORES;9;ACTIVO
5025103;M1216 - Mayores - CALLE DE RICARDO BELTRAN Y ROZPIDE 16;12;USERA;126;ZOFIO;;06/03/19;CALLE;RICARDO BELTRAN Y ROZPIDE;16;20001065;MAYORES;15;ACTIVO
5075332;M1911- Mayores - LAGO DE SANABRIA 1;19;VICALVARO;191;CASCO H.VICALVARO;;29/04/19;CALLE;LAGO SANABRIA;1;20171999;MAYORES;8;ACTIVO
5158970;M1807-Mayores - CALLE PILAR DE MADARIAGA ROJO 28051 Madrid;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;;15/07/19;CALLE;FERNANDO CHUECA GOITIA;26;31029729;MAYORES;8;ACTIVO
5173859;M1717 - Mayores - CALLE DE LAS LENGUAS 6C;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;;19/07/19;CALLE;LENGUAS;6C;31019464;MAYORES;7;ACTIVO
5174650;M1316-Mayores - CALLE DEL CAMPO DE LA PALOMA 8;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;;25/07/19;CALLE;GERARDO DIEGO;8;20181966;MAYORES;9;ACTIVO
5174720;M1407-Mayores - AV. DEL DR. GARCIA TAPIA, 74;14;MORATALAZ;144;MEDIA LEGUA;;26/07/19;AVENIDA;DOCTOR GARCIA TAPIA;70;11101732;MAYORES;18;ACTIVO
16905;M0504-Mayores PARQUE FELIX RODRIGUEZ DE LA FUENTE;05;CHAMARTIN;052;PROSPERIDAD;;03/02/14;CALLE;PADRE CLARET;38;31041818;MAYORES;3;ACTIVO
5195568;M1317-Mayores-CALLE DE SAN CLAUDIO 89;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;;25/09/19;CALLE;SAN CLAUDIO;89;11096534;MAYORES;9;ACTIVO
5195676;M1718 - Mayores - PASEO DE LOS FERROVIARIOS 39;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;;27/09/19;PASEO;FERROVIARIOS;39;11124619;MAYORES;11;ACTIVO
5201907;M1508-Mayores-PLAZA LA OROTAVA 6;15;CIUDAD LINEAL;152;PUEBLO NUEVO;;17/09/19;PLAZA;LA OROTAVA;6;31015601;MAYORES;8;ACTIVO
5209024;M1015 - Mayores C. CINE, 33 CINE;10;LATINA;105;CAMPAMENTO;;08/11/19;CALLE;CINE;33;11066850;MAYORES;3;ACTIVO
5209092;M1016 - Mayores C. HIGUERAS, 47A AJARDINAMIENTO CEBREROS - HIGUERAS;10;LATINA;103;LUCERO;;08/11/19;CALLE;HIGUERAS;47 A;31054674;MAYORES;7;ACTIVO
