IPEDSID,Applicants total,Enrollment rate,Admission rate,Admissions total,Enrolled total,Average graduation rate
198066,2299,10,44,1032,245,38
198136,11714,6,69,8180,788,44
198215,3226,10,40,1309,342,48
198303,3708,12,61,2282,474,20
198385,4745,10,25,1215,483,91
198419,30374,5,13,4077,1714,91
198464,15535,25,62,9658,4015,46
198507,3925,13,57,2243,527,33
198516,9949,14,53,5370,1474,80
198543,4010,15,54,2204,612,23
198561,5481,7,48,2640,435,51
198598,1314,15,78,1029,200,24
198613,3030,13,68,2066,407,53
198695,7663,16,64,4918,1257,60
198756,4777,4,36,1752,232,38
198808,1751,12,66,1164,226,35
198835,4762,6,68,3241,310,45
198862,3270,12,71,2329,395,16
198899,2899,14,64,1869,419,34
198950,1762,23,62,1098,415,57
198969,4079,11,61,2497,452,33
199032,700,15,54,380,109,34
199069,2117,15,49,1054,333,32
199102,4480,41,69,3120,1849,31
199111,3036,18,64,1944,553,51
199120,28437,13,27,7847,3915,86
199139,13742,25,68,9416,3541,42
199148,10112,24,60,6069,2516,45
199157,8886,15,50,4472,1407,29
199193,20700,21,50,10353,4398,61
199209,1634,13,46,764,222,29
199218,11184,18,54,6061,2053,63
199272,1083,30,90,984,328,41
199281,3087,33,72,2224,1020,25
199306,1662,13,96,1597,218,43
199412,1949,16,76,1498,316,49
199458,168,22,41,69,37,46
199582,2560,12,67,1725,327,26
199607,854,20,58,497,174,63
199643,6207,8,54,3382,507,24
199698,898,19,64,579,178,29
199847,11121,11,35,3915,1232,84
199865,1214,18,69,845,220,47
199962,5323,12,79,4221,642,50
199999,5164,13,55,2874,685,34
200004,15231,10,37,5736,1558,43
200059,417,39,48,203,165,28
200156,1088,23,56,619,261,44
200217,945,46,83,785,440,37
200253,959,41,56,543,397,27
200280,5404,43,73,3983,2360,41
200332,5812,43,84,4888,2553,41
200572,345,53,82,286,186,36
200800,10575,36,96,10204,3812,30
201104,2931,21,74,2180,623,50
201195,4220,18,63,2699,762,65
201371,1784,14,53,947,250,56
201441,15689,21,72,11370,3348,45
201548,3640,18,76,2768,691,55
201645,18418,6,41,7713,1252,74
201654,3267,23,74,2418,781,68
201690,7142,5,33,2377,420,18
201885,16002,28,73,11721,4486,48
201964,1455,49,97,1413,719,26
202134,6768,25,62,4255,1727,21
202480,15719,11,52,8327,1761,71
202514,1704,14,71,1220,241,43
202523,4770,12,45,2193,582,80
202763,2260,25,68,1544,581,51
203128,2542,11,57,1458,290,62
203368,3721,21,83,3101,793,71
203517,15970,25,83,13259,4111,42
203535,4054,11,38,1556,483,88
203580,1158,17,55,644,205,38
203757,1307,17,69,906,227,21
203775,1333,23,71,957,316,54
203845,4168,9,63,2662,385,50
204024,22520,16,66,15034,3644,76
204185,2660,20,71,1894,552,59
204194,1279,23,63,812,302,56
204200,1197,27,87,1048,324,51
204264,2001,20,75,1520,405,40
204468,2468,13,90,2227,338,31
204501,7438,10,30,2262,781,84
204617,2652,9,49,1310,239,36
204635,3325,18,67,2256,613,62
204796,31359,22,55,17413,7130,74
204857,20765,20,72,15149,4244,59
204909,4029,13,75,3035,541,59
204936,3176,18,73,2342,575,38
205957,1889,24,76,1437,460,67
206048,5228,25,38,2016,1313,38
206084,11066,30,90,10040,3428,37
206349,441,23,57,255,103,41
206437,1640,30,77,1265,493,51
206491,1534,4,58,895,69,53
206507,3780,7,46,1740,275,36
206525,5274,10,89,4711,549,61
206589,5583,10,56,3145,560,73
206622,10907,11,69,7632,1289,72
206817,2445,10,71,1756,249,1
206835,2335,8,49,1152,187,54
206941,10432,21,83,8761,2223,24
207041,968,63,98,950,612,27
207263,1889,44,73,1386,847,22
207306,888,49,59,531,437,24
207324,1984,26,63,1254,533,41
207351,858,33,47,409,289,25
207388,11064,34,76,8411,3872,49
207403,6560,8,56,3704,580,52
207458,1442,24,71,1038,351,56
207500,10991,36,80,8841,4052,53
207582,1417,28,43,617,399,48
207661,1864,42,54,1015,785,13
207689,602,21,94,570,127,20
207722,594,25,62,371,150,34
207847,1001,53,79,800,538,23
207856,405,62,88,358,254,45
207865,2536,36,90,2289,913,22
207971,7304,11,40,2965,856,62
208488,1790,12,55,1001,217,48
208646,1503,28,66,1007,426,19
208822,2431,25,75,1830,624,58
209056,6458,7,62,4059,473,72
209065,2139,20,92,1972,449,64
209108,36,22,38,14,8,14
209409,318,25,70,224,82,42
209506,2778,13,71,1982,363,33
209542,12414,28,78,9799,3516,48
209551,21263,18,74,15770,4031,57
209612,2658,15,86,2291,421,58
209807,5751,25,61,3518,1465,30
209825,9523,8,66,6361,835,73
209922,2893,12,48,1404,354,77
210146,2615,25,73,1910,673,29
210304,948,8,52,500,85,29
210331,2896,7,32,934,222,50
210401,8109,6,57,4690,545,75
210429,2848,36,88,2512,1026,34
210492,396,20,51,205,81,20
210571,6060,10,62,3776,655,51
210669,4512,13,64,2927,604,77
210739,2624,15,75,1989,416,67
210775,1792,21,77,1391,389,45
211088,9608,6,59,5735,597,57
211158,9248,23,88,8190,2218,54
211273,2708,13,39,1081,365,83
211291,7947,11,29,2345,933,89
211352,2127,14,74,1580,304,43
211361,3022,38,92,2801,1154,44
211431,669,30,95,637,206,56
211440,18884,7,25,4813,1442,82
211468,1063,13,58,625,141,55
211556,594,15,60,361,92,47
211583,1829,10,57,1058,192,35
211644,2071,51,93,1936,1072,46
211981,1895,21,68,1295,416,53
212009,5826,10,44,2589,625,84
212054,43945,6,81,35815,3040,54
212106,6793,22,74,5033,1547,72
212115,5621,21,78,4409,1210,48
212133,1821,25,64,1167,459,52
212160,3187,37,87,2784,1191,36
212197,3815,13,69,2654,530,74
212577,5174,11,39,2034,599,86
212601,3983,15,80,3203,622,58
212656,1670,20,68,1136,334,64
212674,5453,12,41,2270,703,82
212832,1232,17,65,812,211,58
212911,3585,9,23,842,330,92
212984,1350,22,75,1024,297,48
213011,1650,14,79,1314,247,44
213020,9367,29,90,8476,2741,43
213251,2227,17,74,1650,391,74
213303,1120,28,72,807,321,33
213321,2780,17,71,1988,500,64
213349,7785,23,81,6367,1815,46
213358,1488,15,55,828,229,40
213367,5547,16,80,4449,939,61
213385,6766,9,34,2310,635,87
213507,3793,10,66,2536,415,71
213543,12589,9,30,3882,1198,81
213598,3240,13,61,1987,448,33
213613,3744,28,87,3286,1052,40
213668,1737,19,71,1244,347,59
213783,2023,31,92,1867,629,44
213826,2021,20,71,1441,407,61
213987,2938,20,75,2214,600,57
213996,2836,22,65,1869,648,74
214041,5455,23,71,3920,1299,52
214069,2125,20,64,1379,435,67
214157,1636,21,79,1308,356,72
214166,1546,24,68,1063,379,24
214175,5152,11,46,2378,579,84
214272,3397,14,55,1879,503,41
214591,3437,31,84,2890,1080,60
214625,477,32,73,352,154,46
214634,229,39,69,159,90,24
214643,472,31,81,387,148,41
214652,722,39,81,591,282,38
214670,909,24,85,777,225,47
214689,5700,24,85,4856,1379,62
214698,670,31,87,585,208,36
214704,2570,31,83,2135,814,48
214713,2792,22,79,2232,628,52
214731,1279,28,79,1011,368,33
214740,439,41,87,386,183,45
214759,610,36,89,544,224,33
214768,1179,36,86,1018,433,44
214777,47552,16,54,25772,7649,77
214786,699,28,79,558,201,37
214795,827,39,82,684,325,46
214801,3221,21,77,2504,691,39
214810,693,35,81,562,248,36
214829,1329,22,84,1123,300,41
215062,31282,7,12,3830,2421,92
215099,5396,10,64,3458,550,53
215114,610,25,51,313,155,51
215266,940,40,85,802,379,46
215275,1262,31,93,1175,394,45
215284,1570,49,90,1419,772,46
215293,24871,14,56,13959,3678,74
215442,3237,16,73,2393,548,47
215655,5689,17,80,4580,998,50
215691,1014,11,58,592,112,46
215743,1679,24,76,1277,403,66
215770,7831,16,78,6165,1275,75
215798,2035,23,68,1399,472,68
215929,9087,9,75,6818,881,79
215947,2414,15,65,1574,386,55
216010,5949,25,83,4962,1520,48
216038,5475,25,66,3667,1409,54
216278,3217,18,72,2327,589,73
216287,6615,5,14,947,388,91
216339,18813,23,63,12016,4390,55
216357,2519,12,65,1650,303,31
216524,3947,10,66,2618,425,77
216542,451,32,65,297,148,39
216597,14966,11,48,7319,1659,88
216667,7176,4,39,2851,326,75
216694,1962,20,75,1476,410,50
216764,13424,17,51,6922,2298,59
216807,3378,9,73,2478,309,72
216852,5461,15,67,3673,828,50
216931,2998,19,75,2278,596,53
217013,450,16,52,237,76,51
217059,9934,10,73,7302,1064,49
217156,28919,5,9,2654,1543,90
217165,6013,14,76,4603,890,80
217235,12364,16,76,9399,2093,49
217402,9660,10,59,5776,1027,84
217420,4492,23,69,3106,1071,30
217484,19824,15,78,15603,2993,53
217518,9021,12,80,7305,1104,57
217536,5070,9,67,3400,465,63
217633,2190,22,65,1424,502,39
217688,3640,18,68,2507,656,31
217776,698,22,93,654,158,38
217819,11509,18,70,8092,2138,59
217864,2557,26,80,2056,676,66
217873,4354,9,52,2290,435,38
217882,18500,18,57,10706,3463,73
217907,1273,19,53,678,247,41
217925,302,34,62,189,103,59
217934,457,28,64,297,128,38
217961,1565,15,52,814,237,59
217998,750,25,69,523,194,54
218061,3951,18,56,2239,744,30
218070,5953,12,63,3808,759,82
218229,3349,16,42,1412,569,44
218238,2424,18,53,1290,451,29
218414,887,26,59,524,238,37
218441,1782,28,57,1032,505,49
218539,1650,17,66,1089,296,65
218645,2620,20,51,1342,526,33
218654,1387,29,73,1013,410,19
