name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Dellasposa,2a Bathurst St,Tyburnia,London,Westminster,https://www.dellasposa.com/,100023477996,E09000033,Hyde Park,E05013796,51.512872,-0.17492953,526741.3021,180905.7882000003
Belmacz,45 Davies Street,London,,Westminster,http://belmacz.com/,100023474960,E09000033,West End,E05013808,51.512411,-0.14840153,528583.2737999996,180900.75650000013
Arcadia Missa,35 Duke Street,London,,Westminster,https://arcadiamissa.com/,10033571076,E09000033,West End,E05013808,51.515025,-0.15159604,528354.2714999998,181185.83430000022
Sarah Myerscough Gallery,The Old Boathouse,1 White Hart Lane,,Richmond upon Thames,https://www.sarahmyerscough.com/,100023308237,E09000027,Mortlake & Barnes Common,E05013783,51.470772,-0.25548509,521263.4035,176087.8925999999
Felix & Spear,71 St. Mary's Road,London ,,Ealing,https://www.felixandspear.com/,12083138,E09000009,Ealing Common,E05013521,51.504988,-0.30515836,517725.46160000004,179811.82770000026
Studio West,"Unit 1, 216 Kensington Park Road",London,,Kensington and Chelsea,https://studiowest.art/,See notes,E09000020,Colville,E05009392,51.5164,-0.20607,524570.9562999997,181244.6905000005
The Muse,269 Portobello Road,,,Kensington and Chelsea,https://themuseat269.london/,See notes,E09000020,Colville,E05009392,51.51792,-0.20683,524514.0824999996,181412.42559999973
Cecilia Brunson Projects,2G Royal Oak Yard,Bermondsey Street,,Southwark,https://www.ceciliabrunsonprojects.com/,10009800248,E09000028,London Bridge & West Bermondsey,E05011104,51.498986,-0.082382679,533203.2185000004,179525.84630000032
Corvi-Mora,1a Kempsford Road (off Wincott Street),London,,Lambeth,https://www.corvi-mora.com/,100023229773,E09000022,Kennington,E05014105,51.491182,-0.1085242,531411.2538000001,178610.83060000092
EMALIN,1 Holywell Lane,London,,Hackney,https://emalin.co.uk/,100022933086,E09000012,Hoxton East & Shoreditch,E05009377,51.523871,-0.077589364,533463.1766999997,182301.81980000064
Goodman Gallery,26 Cork Street,London,,Westminster,https://www.goodman-gallery.com/,10033640464,E09000033,West End,E05013808,51.510257,-0.14126892,529084.2685000002,180673.77339999937
Gossamer Fog,BST 186a Deptford High Street,London,,Lewisham,https://www.gossamerfog.com/,100023280536,E09000023,Deptford,E05013719,51.480444,-0.026114803,537164.1920999996,177567.86309999973
greengrassi,1a Kempsford Road,London,,Lambeth,https://www.greengrassi.com/,100023229773,E09000022,Kennington,E05014105,51.491182,-0.1085242,531411.2538000001,178610.83060000092
HackelBury Fine Art,4 Launceston Place,London,,Kensington and Chelsea,https://hackelbury.co.uk/,217106588,E09000020,Queen's Gate,E05009401,51.499033,-0.18536596,526055.3322000001,179348.86180000007
Hazlitt Holland-Hibbert,37-38 Bury Street,London,,Westminster,www.hh-h.com,100023349899,E09000033,St James's,E05013806,51.506479,-0.13835337,529297.2699999996,180258.7971999999
