Year,Month,Zone,WasteType,District,Name,Total
2021,February,1,Organic,10,Latina,"1227,76"
2021,February,1,Paper,1,Centro,"614,08"
2021,February,1,Paper,6,Tetuán,"355,36"
2021,February,1,Paper,7,Chamberí,"257,3"
2021,February,1,Paper,8,Fuencarral - El Pardo,"460,53"
2021,February,1,Paper,9,Moncloa - Aravaca,"228,24"
2021,February,1,Paper,10,Latina,"288,22"
2021,February,1,Commercial paper,1,Centro,"84,46"
2021,February,1,Commercial paper,6,Tetuán,"61,58"
2021,February,1,Commercial paper,7,Chamberí,"64,8"
2021,February,1,Commercial paper,8,Fuencarral - El Pardo,"1,08"
2021,February,1,Commercial paper,9,Moncloa - Aravaca,"5,04"
2021,February,1,Commercial paper,10,Latina,"2,8"
2021,February,1,CDW,1,Centro,"107,27"
2021,February,1,CDW,6,Tetuán,"137,625"
2021,February,1,CDW,8,Fuencarral - El Pardo,"127,445"
2021,February,1,CDW,9,Moncloa - Aravaca,"126,57"
2021,February,1,CDW,10,Latina,"93,85"
2021,February,1, Clean points,8,Fuencarral - El Pardo,"137,8"
2021,February,1, Clean points,9,Moncloa - Aravaca,"369,76"
2021,February,1, Clean points,10,Latina,"105,58"
2021,February,1,Horse bed,9,Moncloa - Aravaca,"43,23"
2021,February,2,Rest,3,Retiro,"1933,1"
2021,February,2,Rest,4,Salamanca,"2296,62"
2021,February,2,Rest,5,Chamartín,"2107,84"
2021,February,2,Rest,14,Moratalaz,"1241,36"
2021,February,2,Rest,15,Ciudad Lineal,"3112,2"
2021,February,2,Rest,16,Hortaleza,"2993,24"
2021,February,2,Rest,19,Vicálvaro,"2102,98"
2021,February,2,Rest,20,San Blas - Canillejas,"2367,18"
2021,February,2,Rest,21,Barajas,"763,84"
2021,February,2,Packaging,3,Retiro,"257,86"
2021,February,2,Packaging,4,Salamanca,323
2021,February,2,Packaging,5,Chamartín,"347,3"
2021,February,2,Packaging,14,Moratalaz,"224,42"
2021,February,2,Packaging,15,Ciudad Lineal,"577,82"
2021,February,2,Packaging,16,Hortaleza,"547,78"
2021,February,2,Packaging,19,Vicálvaro,"203,76"
2021,February,2,Packaging,20,San Blas - Canillejas,"437,28"
2021,February,2,Packaging,21,Barajas,"167,38"
2021,February,2,Glass,3,Retiro,"299,52"
2021,February,2,Glass,4,Salamanca,"217,68"
2021,February,2,Glass,5,Chamartín,"283,5"
2021,February,2,Glass,14,Moratalaz,"198,46"
2021,February,2,Glass,15,Ciudad Lineal,"173,72"
2021,February,2,Glass,16,Hortaleza,"176,92"
2021,February,2,Glass,19,Vicálvaro,"123,34"
2021,February,2,Glass,20,San Blas - Canillejas,"145,6"
2021,February,2,Glass,21,Barajas,"145,38"
2021,February,2,Commercial Glass,4,Salamanca,"33,88"
2021,February,2,Clinicians,3,Retiro,"169,78"
2021,February,2,Clinicians,4,Salamanca,"105,52"
2021,February,2,Clinicians,15,Ciudad Lineal,"111,88"
2021,February,2,Organic,3,Retiro,"632,22"
2021,February,2,Organic,4,Salamanca,"740,04"
2021,February,2,Organic,5,Chamartín,"832,92"
2021,February,2,Organic,14,Moratalaz,"432,16"
2021,February,2,Organic,15,Ciudad Lineal,"1089,72"
2021,February,2,Organic,16,Hortaleza,"992,3"
2021,February,2,Organic,19,Vicálvaro,"143,5"
2021,February,2,Organic,20,San Blas - Canillejas,"771,74"
2021,February,2,Organic,21,Barajas,"217,7"
2021,February,2,Paper,3,Retiro,"235,89"
2021,February,2,Paper,4,Salamanca,"418,23"
2021,February,2,Paper,5,Chamartín,"263,86"
2021,February,2,Paper,14,Moratalaz,164
2021,February,2,Paper,15,Ciudad Lineal,"371,71"
2021,February,2,Paper,16,Hortaleza,"266,84"
2021,February,2,Paper,19,Vicálvaro,"25,88"
2021,February,2,Paper,20,San Blas - Canillejas,"299,96"
2021,February,2,Paper,21,Barajas,"31,61"
2021,February,2,Commercial paper,3,Retiro,"49,13"
2021,February,2,Commercial paper,4,Salamanca,"97,42"
2021,February,2,Commercial paper,5,Chamartín,"32,25"
2021,February,2,Commercial paper,14,Moratalaz,"2,56"
2021,February,2,Commercial paper,15,Ciudad Lineal,41
2021,February,2,Commercial paper,16,Hortaleza,"27,43"
2021,February,2,Commercial paper,19,Vicálvaro,3
2021,February,2,Commercial paper,20,San Blas - Canillejas,"30,12"
2021,February,2,Commercial paper,21,Barajas,"2,04"
2021,February,2,CDW,3,Retiro,"52,75"
2021,February,2,CDW,4,Salamanca,"51,685"
2021,February,2,CDW,5,Chamartín,"88,575"
2021,February,2,CDW,14,Moratalaz,"60,365"
2021,February,2,CDW,15,Ciudad Lineal,"67,925"
2021,February,2,CDW,16,Hortaleza,"49,965"
2021,February,2,CDW,19,Vicálvaro,"28,54"
2021,February,2,CDW,20,San Blas - Canillejas,"43,86"
2021,February,2,CDW,21,Barajas,"16,82"
2021,February,2, Clean points,3,Retiro,"2,48"
2021,February,2, Clean points,5,Chamartín,"109,76"
2021,February,2, Clean points,14,Moratalaz,52
2021,February,2, Clean points,15,Ciudad Lineal,"68,84"
2021,February,2, Clean points,16,Hortaleza,"70,56"
2021,February,2, Clean points,19,Vicálvaro,"35,66"
2021,February,2, Clean points,20,San Blas - Canillejas,"65,98"
2021,February,2, Clean points,21,Barajas,"36,88"
2021,February,3,Rest,2,Arganzuela,"1749,88"
2021,February,3,Rest,11,Carabanchel,"4308,7"
2021,February,3,Rest,12,Usera,"1947,54"
2021,February,3,Rest,13,Puente de Vallecas,"3970,36"
2021,February,3,Rest,17,Villaverde,"2459,34"
2021,February,3,Rest,18,Villa de Vallecas,"3701,32"
2021,February,3,Packaging,2,Arganzuela,"326,6"
2021,February,3,Packaging,11,Carabanchel,"695,64"
2021,February,3,Packaging,12,Usera,"364,1"
2021,February,3,Packaging,13,Puente de Vallecas,"744,34"
2021,February,3,Packaging,17,Villaverde,"448,92"
2021,February,3,Packaging,18,Villa de Vallecas,"293,46"
2021,February,3,Glass,2,Arganzuela,"245,46"
2021,February,3,Glass,11,Carabanchel,"245,72"
2021,February,3,Glass,12,Usera,"125,02"
2021,February,3,Glass,13,Puente de Vallecas,"202,5"
2021,February,3,Glass,17,Villaverde,"109,86"
2021,February,3,Glass,18,Villa de Vallecas,"97,32"
2021,February,3,Commercial Glass,13,Puente de Vallecas,"2,36"
2021,February,3,Clinicians,12,Usera,"142,92"
2021,February,3,Clinicians,13,Puente de Vallecas,"31,9"
2021,February,3,Organic,2,Arganzuela,"633,68"
2021,February,3,Organic,11,Carabanchel,"1030,1"
2021,February,3,Organic,12,Usera,"538,44"
2021,February,3,Organic,13,Puente de Vallecas,"898,4"
2021,February,3,Organic,17,Villaverde,"675,6"
2021,February,3,Organic,18,Villa de Vallecas,"944,84"
2021,February,3,Paper,2,Arganzuela,"334,66"
2021,February,3,Paper,11,Carabanchel,"289,72"
2021,February,3,Paper,12,Usera,"136,96"
2021,February,3,Paper,13,Puente de Vallecas,"236,38"
