File,Nombre_Distrito,Wikidata_Distrito,N_Distrito,Nombre_Especie,Wikidata_Especies,N_Unidades 2022,ID_Parque_Canino,N_Barrio,Nombre_Barrio,Wikidata_Barrio,Direccion,Wikidata_Direccion
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Melia azedarach,https://wikidata.org/entity/Q162171,2209,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Prunus cerasifera  subsp. pissardii,,1846,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,1704,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Acer negundo,https://wikidata.org/entity/Q161166,1587,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Morus alba,,1404,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Populus × canadensis,https://wikidata.org/entity/Q149622,1257,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,1238,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Cupressus sempervirens,https://wikidata.org/entity/Q147513,1172,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,1007,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,08,Otros,,19696,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,56932,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Platanus × hispanica,https://wikidata.org/entity/Q161374,5114,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,2741,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Ulmus pumila,,2219,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Acer negundo,https://wikidata.org/entity/Q161166,1746,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Pinus pinea,https://wikidata.org/entity/Q106094,1742,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Robinia pseudoacacia,,1204,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Cupressus sempervirens,https://wikidata.org/entity/Q147513,1203,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Catalpa bignonioides,https://wikidata.org/entity/Q163831,955,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Celtis australis,https://wikidata.org/entity/Q255375,881,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,796,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Cupressus arizonica,https://wikidata.org/entity/Q670040,685,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Prunus cerasifera  subsp. pissardii,,671,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,09,Otros,,11711,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,31668,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Platanus × hispanica,https://wikidata.org/entity/Q161374,5270,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Ulmus pumila,,4022,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Pinus pinea,https://wikidata.org/entity/Q106094,2239,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Robinia pseudoacacia,,1798,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Celtis australis,https://wikidata.org/entity/Q255375,1793,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Prunus cerasifera  subsp. pissardii,,1578,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,1515,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,1118,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Acer negundo,https://wikidata.org/entity/Q161166,1006,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Cupressus sempervirens,https://wikidata.org/entity/Q147513,957,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,915,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Latina,https://wikidata.org/entity/Q794954,10,Otros,,13589,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,35800,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Platanus × hispanica,https://wikidata.org/entity/Q161374,7507,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Pinus pinea,https://wikidata.org/entity/Q106094,4598,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,2738,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Ulmus pumila,,2660,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Robinia pseudoacacia,,2197,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Celtis australis,https://wikidata.org/entity/Q255375,2067,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Acer negundo,https://wikidata.org/entity/Q161166,1544,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Gleditsia triacanthos,https://wikidata.org/entity/Q157650,1391,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Aesculus hippocastanum,https://wikidata.org/entity/Q26899,993,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Cupressus sempervirens,https://wikidata.org/entity/Q147513,947,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,945,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Melia azedarach,https://wikidata.org/entity/Q162171,776,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Carabanchel,https://wikidata.org/entity/Q1001991,11,Otros,,13159,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,41522,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Platanus × hispanica,https://wikidata.org/entity/Q161374,4955,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Ulmus pumila,,3697,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Pinus pinea,https://wikidata.org/entity/Q106094,2042,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Robinia pseudoacacia,,1979,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Celtis australis,https://wikidata.org/entity/Q255375,1496,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,1320,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Acer negundo,https://wikidata.org/entity/Q161166,1143,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Cedrus deodara,https://wikidata.org/entity/Q146935,773,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Melia azedarach,https://wikidata.org/entity/Q162171,730,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Ligustrum japonicum,https://wikidata.org/entity/Q1209219,613,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Prunus cerasifera,https://wikidata.org/entity/Q146951,606,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Platanus orientalis,https://wikidata.org/entity/Q161105,596,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Usera,https://wikidata.org/entity/Q953368,12,Otros,,10987,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,,Total,,30937,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,Platanus × hispanica,https://wikidata.org/entity/Q161374,4434,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,Platanus orientalis,https://wikidata.org/entity/Q161105,4342,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,Styphnolobium japonicum,https://wikidata.org/entity/Q288558,3455,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,Robinia pseudoacacia,,3408,,,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,Ulmus pumila,,3034,,,,,,
