File,Nombre_Distrito,Nº_Distrito,Nombre_Especie,Nº_Unidades 2022,ID_Parque_Canino,Nº_Barrio,Nombre_Barrio,Dirección
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Ulmus pumila,810,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Celtis australis,783,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Ligustrum japonicum,610,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Melia azedarach,513,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Robinia pseudoacacia,306,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Koelreuteria paniculata,274,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Aesculus hippocastanum,265,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Prunus cerasifera subsp. pissardii,251,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Cercis siliquastrum,203,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Fraxinus angustifolia,176,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CHAMBERÍ,07,Otros,1983,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,13638,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Platanus x hispanica,9427,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Ulmus pumila,4918,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Celtis australis,3988,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Pinus pinea,3078,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Robinia pseudoacacia,2401,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Melia azedarach,2209,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Prunus cerasifera subsp. pissardii,1846,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Styphnolobium japonicum,1704,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Acer negundo,1587,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Morus alba,1404,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Populus x canadensis,1257,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Aesculus hippocastanum,1238,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Cupressus sempervirens,1172,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Ligustrum japonicum,1007,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,FUENCARRAL - EL PARDO,08,Otros,19696,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,56932,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Platanus x hispanica,5114,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Styphnolobium japonicum,2741,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Ulmus pumila,2219,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Acer negundo,1746,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Pinus pinea,1742,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Robinia pseudoacacia,1204,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Cupressus sempervirens,1203,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Catalpa bignonioides,955,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Celtis australis,881,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Ligustrum japonicum,796,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Cupressus arizonica,685,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Prunus cerasifera subsp. pissardii,671,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MONCLOA-ARAVACA,09,Otros,11711,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,31668,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Platanus x hispanica,5270,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Ulmus pumila,4022,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Pinus pinea,2239,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Robinia pseudoacacia,1798,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Celtis australis,1793,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Prunus cerasifera subsp. pissardii,1578,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Styphnolobium japonicum,1515,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Ligustrum japonicum,1118,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Acer negundo,1006,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Cupressus sempervirens,957,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Aesculus hippocastanum,915,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,LATINA,10,Otros,13589,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,35800,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Platanus x hispanica,7507,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Pinus pinea,4598,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Styphnolobium japonicum,2738,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Ulmus pumila,2660,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Robinia pseudoacacia,2197,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Celtis australis,2067,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Acer negundo,1544,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Gleditsia triacanthos,1391,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Aesculus hippocastanum,993,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Cupressus sempervirens,947,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Ligustrum japonicum,945,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Melia azedarach,776,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CARABANCHEL,11,Otros,13159,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,41522,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Platanus x hispanica,4955,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Ulmus pumila,3697,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Pinus pinea,2042,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Robinia pseudoacacia,1979,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Celtis australis,1496,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Styphnolobium japonicum,1320,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Acer negundo,1143,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Cedrus deodara,773,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Melia azedarach,730,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Ligustrum japonicum,613,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Prunus cerasifera,606,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Platanus orientalis,596,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,USERA,12,Otros,10987,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,30937,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Platanus x hispanica,4434,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Platanus orientalis,4342,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Styphnolobium japonicum,3455,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Robinia pseudoacacia,3408,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Ulmus pumila,3034,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Pinus pinea,2449,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Acer negundo,2229,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Ligustrum japonicum,2090,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Celtis australis,1349,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Catalpa bignonioides,1090,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Prunus cerasifera subsp. pissardii,1080,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Melia azedarach,1015,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,PUENTE DE VALLECAS,13,Otros,14954,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,44929,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Ulmus pumila,5742,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Platanus x hispanica,1986,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Pinus pinea,1957,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Celtis australis,1708,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Acer negundo,1217,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Platanus orientalis,1067,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Prunus cerasifera subsp. pissardii,748,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Melia azedarach,671,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Acer pseudoplatanus,595,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Catalpa bignonioides,578,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,MORATALAZ,14,Otros,8512,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,24781,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Platanus x hispanica,4680,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Ulmus pumila,4439,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Pinus pinea,4130,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Styphnolobium japonicum,1684,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Prunus cerasifera subsp. pissardii,1629,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Celtis australis,1420,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Robinia pseudoacacia,1415,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Acer negundo,1329,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Cupressus sempervirens,1021,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Pinus halepensis,984,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Prunus dulcis,935,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,CIUDAD LINEAL,15,Otros,16236,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,39902,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Platanus x hispanica,4529,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Pinus pinea,4213,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Celtis australis,3218,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Styphnolobium japonicum,2462,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Acer negundo,2109,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Cupressus sempervirens,2108,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Robinia pseudoacacia,1856,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Prunus cerasifera subsp. pissardii,1856,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Ligustrum japonicum,1593,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Ulmus pumila,1447,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Populus alba,1232,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Aesculus hippocastanum,1213,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Melia azedarach,1189,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Ulmus minor,1171,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,HORTALEZA,16,Otros,23960,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,54156,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Ulmus pumila,5298,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Celtis australis,3392,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Platanus x hispanica,3048,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Ligustrum japonicum,2132,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Melia azedarach,1907,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Pinus pinea,1811,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Prunus cerasifera subsp. pissardii,1684,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Robinia pseudoacacia,1650,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Aesculus hippocastanum,1583,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Pinus halepensis,1545,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Acer negundo,1201,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Catalpa bignonioides,1054,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLAVERDE,17,Otros,12482,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,38787,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Platanus x hispanica,5025,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Celtis australis,2887,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Pinus halepensis,2706,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Acer negundo,2170,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Ulmus pumila,1847,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Robinia pseudoacacia,1822,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Melia azedarach,1230,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Cupressus sempervirens,1196,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Pinus pinea,1139,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Aesculus hippocastanum,996,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VILLA DE VALLECAS,18,Otros,14955,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,,,Total,35973,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Celtis australis,2331,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Ligustrum japonicum,1941,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Pyrus calleryana,1923,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Platanus x hispanica,1878,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Platanus orientalis,1749,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Pinus pinea,1637,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Styphnolobium japonicum,1497,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Robinia pseudoacacia,1416,,,,
01_ArboladoZonasVerdesDistritosCalles_2022.csv,VICÁLVARO,19,Ulmus pumila,1214,,,,
