PARQUE;ESPECIE;UNIDADES 2022;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Pinus halepensis;1094;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Cupressus sempervirens;606;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Pinus pinea;334;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Eucalyptus sp;310;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Platanus x hispanica;276;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Cedrus deodara;244;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Ulmus sp;225;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Gleditsia triacanthos;212;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Celtis australis;162;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Ligustrum japonicum;138;;;;;;;;;;;
QUINTA DE LOS MOLINOS;Otros;1252;;;;;;;;;;;
;Total:;6.356;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Pinus pinea;1058;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Styphnolobium japonicum;745;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Physostegia virginiana;606;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Ligustrum japonicum;418;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Populus alba 'Bolleana';358;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Cedrus deodara;344;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Pinus halepensis;323;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Prunus cerasifera  subsp. pissardii;313;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Celtis australis;288;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Cedrus atlantica;251;;;;;;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;Otros;2388;;;;;;;;;;;
;Total:;7.092;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus deodara;53;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Acer negundo;17;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Thuja occidentalis;7;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Prunus cerasifera  subsp. pissardii;6;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Populus alba 'Bolleana';5;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Acer campestre;4;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Ligustrum japonicum;3;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Betula utilis;2;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Cedrus atlantica 'Glauca';2;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Carpinus betulus;2;;;;;;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);Otros;14;;;;;;;;;;;
;Total:;115;;;;;;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Platanus x hispanica;126;;;;;;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Ligustrum japonicum;38;;;;;;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus sempervirens;31;;;;;;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Taxus baccata;28;;;;;;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Magnolia grandiflora;9;;;;;;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cedrus deodara;8;;;;;;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus macrocarpa;6;;;;;;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Pinus halepensis;1;;;;;;;;;;;
;Total:;247;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Populus nigra (Chopo negro);3622;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Pinus pinea (Pino piñonero);2674;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Celtis australis (Almez);2155;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Fraxinus angustifolia (Fresno de la tierra);1086;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Platanus x hispanica (Platano de sombra);630;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Olea europaea (Olivo);504;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Ulmus sp;442;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Cupressus sempervirens (Cipres comun);401;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Pinus halepensis;284;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Gleditsia triacanthos;246;;;;;;;;;;;
PARQUE LINEAL DEL MANZANARES;Otros;2866;;;;;;;;;;;
;Total:;14.910;;;;;;;;;;;
JARDINES DE SABATINI;Cupressus sempervirens;85;;;;;;;;;;;
JARDINES DE SABATINI;Pinus pinea;50;;;;;;;;;;;
JARDINES DE SABATINI;Acer negundo;26;;;;;;;;;;;
JARDINES DE SABATINI;Cedrus deodara;21;;;;;;;;;;;
JARDINES DE SABATINI;Magnolia grandiflora;16;;;;;;;;;;;
JARDINES DE SABATINI;Abies nordmanniana;8;;;;;;;;;;;
JARDINES DE SABATINI;Thuja occidentalis;5;;;;;;;;;;;
JARDINES DE SABATINI;Acer pseudoplatanus;3;;;;;;;;;;;
JARDINES DE SABATINI;Cercis siliquastrum;1;;;;;;;;;;;
JARDINES DE SABATINI;Populus alba 'Bolleana';1;;;;;;;;;;;
JARDINES DE SABATINI;Ulmus minor;1;;;;;;;;;;;
;Total:;217;;;;;;;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Celtis australis;1732;;;;;;;;;;;
