MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
4997998;C0801-Canina PARQUE DE LA SUPERMANZANA 5;08;FUENCARRAL-EL PARDO;084;EL PILAR;;CALLE;FERMIN CABALLERO;65;11045724;CANINAS;0;ACTIVO
4997999;C0905-Canina PARQUE ARROYO POZUELO;09;MONCLOA-ARAVACA;097;ARAVACA;;CALLE;GOLONDRINA;36;31042917;CANINAS;0;ACTIVO
4998010;C1003-Canina CUÑA VERDE LA LATINA;10;LATINA;103;LUCERO;;CALLE;ANTOLIN GARCIA;1;31020572;CANINAS;0;ACTIVO
4998027;C1274-Canina - CALLE DE MARCELO USERA 157;12;USERA;126;ZOFIO;01/08/13;CALLE;MARCELO USERA;157;11085143;CANINAS;0;ACTIVO
5000253;C1005-Canina PZA. EN PARQUE EUROPA;10;LATINA;107;LAS AGUILAS;01/03/17;CALLE;FRAY JOSE CERDEIRIÑA;22;11067294;CANINAS;0;ACTIVO
5003208;C0803-Canina DR. JOAQUIN LORENZO (APE 08.11);08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;;CALLE;JOAQUIN LORENZO;32;11044477;CANINAS;0;ACTIVO
5003319;C1006-Canina PZA. EN PARQUE EUROPA;10;LATINA;107;LAS AGUILAS;;CALLE;FRAY JOSE CERDEIRIÑA;22;11067294;CANINAS;0;ACTIVO
5003401;C0701 - Canina - PZA. CONDE DEL VALLE SUCHILL Nº1;07;CHAMBERI;072;ARAPILES;01/01/04;PLAZA;CONDE DEL VALLE DE SUCHIL;1;20013622;CANINAS;1;ACTIVO
5003496;C0602 - Canina - AV. BRASIL - C/ SAN GERMAN;06;TETUAN;062;CUATRO CAMINOS;01/01/04;CALLE;SAN GERMAN;7;31043689;CANINAS;1;ACTIVO
5003499;C0605 - Canina - C/ GABRIEL PORTADALES Nº11;06;TETUAN;065;VALDEACEDERAS;01/01/04;CALLE;GABRIEL PORTADALES;11;11033480;CANINAS;1;ACTIVO
5003500;C0606 - Canina - AV. ASTURIAS - VENTILLA;06;TETUAN;064;ALMENARA;01/01/04;AVENIDA;ASTURIAS;74;31042814;CANINAS;1;ACTIVO
5005553;C0609 - Canina - C/ PINOS ALTA - C/ CAÑAVERAL;06;TETUAN;064;ALMENARA;01/01/04;CALLE;CAÑAVERAL;2;11031014;CANINAS;1;ACTIVO
5005554;C0610 - Canina - C/ PLATANO - C/ VEZA;06;TETUAN;065;VALDEACEDERAS;01/01/04;CALLE;VEZA;43;11033931;CANINAS;1;ACTIVO
5068828;C1873-Canina- CALLE DEL RAYO VALLECANO DE MADRID;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;08/04/13;CALLE;RAYO VALLECANO DE MADRID;119;31054995;CANINAS;0;ACTIVO
5107681;C1476 - Canina- CALLE MANUEL MARIA ARRILLAGA;14;MORATALAZ;145;FONTARRON;30/04/19;CALLE;MANUEL MARIA ARRILLAGA;26;11102156;CANINAS;0;ACTIVO
5003458;C0102 - Canina - PARQUE CASINO REINA;01;CENTRO;012;EMBAJADORES;03/06/19;CALLE;CASINO;3;11002270;CANINAS;0;ACTIVO
4998011;C0308-Canina PARQUE MARTIN LUTHER KING;03;RETIRO;032;ADELFAS;15/09/18;CALLE;CERRO NEGRO;14;31020479;CANINAS;0;ACTIVO
5148516;C0309-Canina PARQUE DE COCHERAS;03;RETIRO;031;PACIFICO;04/07/19;CALLE;COCHERAS;8;20001216;CANINAS;0;ACTIVO
5183029;C0856-Canina PARQUE DE LA SUPERMANZANA 7;08;FUENCARRAL-EL PARDO;085;LA PAZ;29/08/19;CALLE;SANGENJO;27;11045862;CANINAS;12;ACTIVO
5203827;C0908-Canina Pº ERMITA - VILLA ADRIANA;09;MONCLOA-ARAVACA;097;ARAVACA;21/10/19;PASEO;ERMITA;36;11057316;CANINAS;0;ACTIVO
5211510;C0611 - Canina - Rodriguez Sahagún (Huerta del Obispo);06;TETUAN;065;VALDEACEDERAS;22/11/19;;;;;CANINAS;14;ACTIVO
5214741;C1059-Canina PARQUE CERRO ALMODÓVAR;10;LATINA;104;ALUCHE;04/11/19;CALLE;LOS YEBENES;55;11064250;CANINAS;11;ACTIVO
5214761;C0251-Canina PARQUE ENRIQUE TIERNO GALVAN;02;ARGANZUELA;024;LEGAZPI;04/11/19;AVENIDA;PLANETARIO;16;20064507;CANINAS;14;ACTIVO
5215845;C0405-Canina PARQUE SANCHO DAVILA;04;SALAMANCA;043;FUENTE DEL BERRO;04/11/19;CALLE;SANCHO DAVILA;15;11016685;CANINAS;6;ACTIVO
5214758;C0951-Canina PARQUE JUAN XXIII;09;MONCLOA-ARAVACA;093;CIUDAD UNIVERSITARIA;04/11/19;CALLE;RECTOR ROYO-VILLANOVA;10 C;20107953;CANINAS;11;ACTIVO
5003417;C0706 - Canina - C/ GALILEO Nº35;07;CHAMBERI;072;ARAPILES;28/11/19;CALLE;GALILEO;35;31044128;CANINAS;6;ACTIVO
5235589;C1381- Canina - CALLE COSTA BONA, 9;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;11/12/19;CALLE;PUERTO DE COSTABONA;9;20099405;CANINAS;0;ACTIVO
6293496;C2083-Canina-C PIRRA 16;20;SAN BLAS-CANILLEJAS;206;REJAS;18/10/19;CALLE;PIRRA;16;31000880;CANINAS;1;ACTIVO
5003497;C0603 - Canina - AV. BRASIL - C/ POETA JOAN MARAGALL;06;TETUAN;063;CASTILLEJOS;15/10/19;AVENIDA;BRASIL;40;11030593;CANINAS;1;ACTIVO
7163446;C0707 - Canina - C/ DOMENICO SCARLATTI Nº4;07;CHAMBERI;076;VALLEHERMOSO;10/09/20;;;;;CANINAS;2;ACTIVO
5003407;C0704 - Canina - C/ FERNANDEZ DE LA HOZ Nº4;07;CHAMBERI;075;RIOS ROSAS;01/01/04;CALLE;FERNANDEZ DE LA HOZ;53;11041613;CANINAS;5;ACTIVO
7872575;C0804-Canina CALLE VILLACASTIN 10;08;FUENCARRAL-EL PARDO;086;VALVERDE;15/05/20;CALLE;VILLACASTIN;10;20075697;CANINAS;0;ACTIVO
7872577;C0805-Canina CALLE ISLAS JARVI 7;08;FUENCARRAL-EL PARDO;086;VALVERDE;15/05/20;CALLE;ISLAS JARVI;7;11047613;CANINAS;0;ACTIVO
7872635;C0806-Canina CALLE PICO MAJALASNA 3;08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;15/05/20;CALLE;PICO DE MAJALASNA;3;20073723;CANINAS;0;ACTIVO
8781349;C1590-CANINAS EZEQUIEL SOLANA CON VITAL AZA;15;CIUDAD LINEAL;152;PUEBLO NUEVO;24/02/22;CALLE;EZEQUIEL SOLANA;46;11105520;CANINAS;3;ACTIVO
4998023;C1004-Canina PARQUE CARAMUEL;10;LATINA;102;PUERTA DEL ANGEL;25/01/18;CALLE;CARAMUEL;58;11061206;CANINAS;0;OPERATIVO
4998041;C0301-Canina PARQUE DE ROMA;03;RETIRO;033;ESTRELLA;;CALLE;JUAN ESPLANDIU;4;11013635;CANINAS;0;OPERATIVO
4996526;C1273-Canina - AVENIDA DE RAFAELA YBARRA 33;12;USERA;126;ZOFIO;01/08/13;AVENIDA;RAFAELA YBARRA;33;11086585;CANINAS;0;OPERATIVO
5003681;C0608 - Canina - C/ SINESIO DELGADO Nº - PARQUE VENTILLA;06;TETUAN;064;ALMENARA;01/01/04;CALLE;SINESIO DELGADO;7;11032624;CANINAS;1;OPERATIVO
3570073;C1583-Canina-C GOLFO DE SALONICA 11;15;CIUDAD LINEAL;159;COSTILLARES;01/01/04;CALLE;GOLFO DE SALONICA;11;20134985;CANINAS;1;OPERATIVO
3575536;C1675-Canina-C FLORENCIO CASTILLO 38;16;HORTALEZA;162;PIOVERA;01/01/04;CALLE;FLORENCIO CASTILLO;38;20055118;CANINAS;2;OPERATIVO
4996498;C1270-CANINA RONDA DE LAS COOPERATIVAS 2;12;USERA;121;ORCASITAS;01/08/13;RONDA;COOPERATIVAS;2;11080736;CANINAS;0;OPERATIVO
4996676;C0206-Canina 'EN JARDIN DE PALESTINA';02;ARGANZUELA;026;PALOS DE LA FRONTERA;;CALLE;CANARIAS;19;31009571;CANINAS;0;ACTIVO
