Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades 2022;;;;
CIUDAD LINEAL;15;Prunus dulcis;935;;;;
CIUDAD LINEAL;15;Otros;16236;;;;
;;Total;39902;;;;
HORTALEZA;16;Platanus x hispanica;4529;;;;
HORTALEZA;16;Pinus pinea;4213;;;;
HORTALEZA;16;Celtis australis;3218;;;;
HORTALEZA;16;Styphnolobium japonicum;2462;;;;
HORTALEZA;16;Acer negundo;2109;;;;
HORTALEZA;16;Cupressus sempervirens;2108;;;;
HORTALEZA;16;Robinia pseudoacacia;1856;;;;
HORTALEZA;16;Prunus cerasifera  subsp. pissardii;1856;;;;
HORTALEZA;16;Ligustrum japonicum;1593;;;;
HORTALEZA;16;Ulmus pumila;1447;;;;
HORTALEZA;16;Populus alba;1232;;;;
HORTALEZA;16;Aesculus hippocastanum;1213;;;;
HORTALEZA;16;Melia azedarach;1189;;;;
HORTALEZA;16;Ulmus minor;1171;;;;
HORTALEZA;16;Otros;23960;;;;
;;Total;54156;;;;
VILLAVERDE;17;Ulmus pumila;5298;;;;
VILLAVERDE;17;Celtis australis;3392;;;;
VILLAVERDE;17;Platanus x hispanica;3048;;;;
VILLAVERDE;17;Ligustrum japonicum;2132;;;;
VILLAVERDE;17;Melia azedarach;1907;;;;
VILLAVERDE;17;Pinus pinea;1811;;;;
VILLAVERDE;17;Prunus cerasifera  subsp. pissardii;1684;;;;
VILLAVERDE;17;Robinia pseudoacacia;1650;;;;
VILLAVERDE;17;Aesculus hippocastanum;1583;;;;
VILLAVERDE;17;Pinus halepensis;1545;;;;
VILLAVERDE;17;Acer negundo;1201;;;;
VILLAVERDE;17;Catalpa bignonioides;1054;;;;
VILLAVERDE;17;Otros;12482;;;;
;;Total;38787;;;;
VILLA DE VALLECAS;18;Platanus x hispanica;5025;;;;
VILLA DE VALLECAS;18;Celtis australis;2887;;;;
VILLA DE VALLECAS;18;Pinus halepensis;2706;;;;
VILLA DE VALLECAS;18;Acer negundo;2170;;;;
VILLA DE VALLECAS;18;Ulmus pumila;1847;;;;
VILLA DE VALLECAS;18;Robinia pseudoacacia;1822;;;;
VILLA DE VALLECAS;18;Melia azedarach;1230;;;;
VILLA DE VALLECAS;18;Cupressus sempervirens;1196;;;;
VILLA DE VALLECAS;18;Pinus pinea;1139;;;;
VILLA DE VALLECAS;18;Aesculus hippocastanum;996;;;;
VILLA DE VALLECAS;18;Otros;14955;;;;
;;Total;35973;;;;
VICÁLVARO;19;Celtis australis;2331;;;;
VICÁLVARO;19;Ligustrum japonicum;1941;;;;
VICÁLVARO;19;Pyrus calleryana;1923;;;;
VICÁLVARO;19;Platanus x hispanica;1878;;;;
VICÁLVARO;19;Platanus orientalis;1749;;;;
VICÁLVARO;19;Pinus pinea;1637;;;;
VICÁLVARO;19;Styphnolobium japonicum;1497;;;;
VICÁLVARO;19;Robinia pseudoacacia;1416;;;;
VICÁLVARO;19;Ulmus pumila;1214;;;;
VICÁLVARO;19;Aesculus hippocastanum;1180;;;;
VICÁLVARO;19;Otros;14726;;;;
;;Total;31492;;;;
SAN BLAS - CANILLEJAS;20;Platanus x hispanica;8230;;;;
SAN BLAS - CANILLEJAS;20;Pinus halepensis;4882;;;;
SAN BLAS - CANILLEJAS;20;Pinus pinea;4095;;;;
SAN BLAS - CANILLEJAS;20;Celtis australis;2629;;;;
SAN BLAS - CANILLEJAS;20;Acer negundo;1910;;;;
SAN BLAS - CANILLEJAS;20;Robinia pseudoacacia;1846;;;;
SAN BLAS - CANILLEJAS;20;Aesculus hippocastanum;1489;;;;
