ChargingStation,Address,City,AccessDaysTime,AdditionalInfo,EVLevel1EVSENum,EVLevel2EVSENum,EVDCFastCount,Longitude,Latitude,Counties,ZipCode,TownIndex
Brass-Mill-Center-Entrance-5,495-Union-St,Waterbury,6am-12pm-Daily,Not-Provided,0,2,0,-73.02614,41.549361,New-Haven,00194,151
Town-Hall,933-Hopmeadow-St,Simsbury,24-Hours-Daily,Not-Provided,0,2,0,-72.489406,41.983904,Tolland,00143,129
Connecticut-Legislative-Parking-Garage,240-Capitol-Ave,Hartford,7am-7pm-M-f,Not-Provided,0,5,0,-72.684758,41.765434,Hartford,00182,64
Middletown-School-District-Moody-School,300-Country-Club-Rd,Middletown,24-Hours-Daily,Not-Provided,0,2,0,-72.711926,41.563917,Middlesex,00236,83
Barberino-Nissan,505-N-Colony-St,Wallingford,Facility-Opening-Hours,Not-Provided,0,1,0,-72.817586,41.467376,New-Haven,00195,148
Cityplace-Garage,185-Asylum-St,Hartford,Facility-Opening-Hours,Not-Provided,0,2,0,-72.676489,41.766656,Hartford,00082,64
Curran-Volkswag,2774-2788-CT-113,Stratford,24-Hours-Daily,Not-Provided,0,2,0,-73.132624,41.198568,Fairfield,00218,138
Inn-At-Stonington,60-Water-St,Stonington,24-Hours-Daily,For-Customer-Use-Only,0,3,0,-71.906918,41.331744,New-London,00139,137
Town-Hall,110-Myrtle-Avenue,Westport,Not-Specified,Not-Provided,0,2,0,-73.35947443366,41.145215689458,Fairfield,00179,158
Starwood,1-Star-Point,Stamford,24-Hours-Daily,Not-Provided,0,2,0,-73.5318605,41.0409048,Fairfield,00007,135
Popeyes-Kitchen-Fairfield-Pizza,200-E-Main-St,Stratford,24-Hours-Daily,Not-Provided,0,0,1,-73.117486,41.202742,Fairfield,00218,138
Dunkin'-Donuts-Tesla-Supercharger,160-Kukas-Lane,Waterbury,24-Hours-Daily,For-Tesla-Use-Only,0,0,8,-73.005613,41.53713,New-Haven,00194,151
Crest-Ford,218-Flanders-Rd,Niantic,24-Hours-Daily,Not-Provided,0,1,0,-72.211435,41.354043,New-London,00031,45
Central-Connecticut-State-University-Sheridan-Dorm-Lot,65-Wells-St,New-Britain,24-Hours-Daily,Not-Provided,0,1,0,-72.762739,41.692973,Hartford,00110,89
Library-Kiosk,24-Main-St,New-Milford,24-Hours-Daily,Not-Provided,0,1,0,-73.41116,41.5785572,Litchfield,00088,96
Hotel-Hiho-Tesla-Destination,4180-Black-Rock-Tpke,Fairfield,24-Hours-Daily,For-Customer-Use-Only,0,3,0,-73.271401,41.203858,Fairfield,00111,51
Summer-Street-Garage,100-Summer-St,Stamford,Facility-Opening-Hours,Not-Provided,0,3,0,-73.541625,41.054155,Fairfield,00007,135
Municip-Station,3-Primrose-St,Newtown,24-Hours-Daily,Not-Provided,0,2,0,-73.2847962,41.4007757,Fairfield,00153,97
Purdue-Pharma,201-Tresser-Blvd,Stamford,24-Hours-Daily,Not-Provided,0,4,0,-73.53779,41.050574,Fairfield,00203,135
Hartford-High-School,55-Forest-St,Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.701271,41.765034,Hartford,00010,64
Town-Hall,800-Bloomfield-Avenue,Bloomfield,24-Hours-Daily,Not-Provided,0,2,0,-72.7373929,41.8298475,Hartford,00224,11
Gunnery,16-Kirby-Rd,Washington,24-Hours-Daily,Not-Provided,0,2,0,-73.3124,41.628033,Litchfield,00191,150
University-Of-Connecticut-Storrs-Center-Garage,33-Royce-Cir,Storrs,24-Hours-Daily,Not-Provided,0,4,0,-72.2442218,41.8041965,Tolland,00069,78
Jaglrnh,521-Washington-Ave,North-Haven,24-Hours-Daily,Not-Provided,0,2,0,-72.8415278,41.4168397,New-Haven,00168,101
Town-Hall,1-Main-St,Stafford-Springs,24-Hours-Daily,Not-Provided,0,4,0,-72.303231,41.953668,Tolland,00034,134
Charter-Oak-International-Academy,425-Oakwood-Ave,West-Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.722829,41.742975,Hartford,00213,155
Market-Square,90-Market-Square,Newington,24-Hours-Daily,Not-Provided,0,4,0,-72.7214,41.6972,Hartford,00086,94
Riverfield-School,1625-Mill-Plain-Rd,Fairfield,Facility-Opening-Hours,Not-Provided,0,2,0,-73.267585,41.162306,Fairfield,00111,51
Capital-Regional-Development-Authority-(crda),105-Columbus-Blvd,Hartford,6am-12am-Daily,Not-Provided,0,2,0,-72.670165,41.763287,Hartford,00082,64
The-Sono-Collection,100-N-Water-St,Norwalk,6am-12am,Not-Provided,0,10,0,-73.418883,41.104791,Fairfield,00155,103
Whalley-Blake-Parking-Lot,919-Whalley-Ave,New-Haven,24-Hours-Daily,Pay-Lot,0,2,0,-72.960178,41.327848,New-Haven,00240,93
Riverview-Cinemas-8-And-Playhouse,690-Main-St-S,Southbury,24-Hours-Daily,For-Customer-Use-Only,0,4,0,-73.230644,41.465044,New-Haven,00099,130
The-Ridgefield-Playhouse,80-E-Ridge-Rd,Ridgefield,24-Hours-Daily,Not-Provided,0,2,0,-73.492605,41.282264,Fairfield,00043,118
Meriden-Station-Garage,24-Colony-St,Meriden,24-Hours-Daily,Not-Provided,0,3,0,-72.802667,41.539218,New-Haven,00226,80
Honda-Westport,1372-Post-Rd-E,Westport,24-Hours-Daily,Not-Provided,0,3,0,-73.317072,41.138623,Fairfield,00179,158
Foxwoods,350-Trolley-Line-Blvd,Mashantucket,24-Hours-Daily,Not-Provided,0,2,0,-71.9600027,41.4733521,New-London,00066,72
Town-Hall,740-Main-St,East-Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.6446905,41.7660404,Hartford,00119,43
Foxwoods,350-Trolley-Line-Blvd,Ledyard,24-Hours-Daily,Not-Provided,0,2,0,-71.9600034,41.4733358,New-London,00066,72
Plainville-High-School,47-Robert-Holcomb-Way,Plainville,24-Hours-Daily,Not-Provided,0,1,0,-72.8580302,41.6659341,Hartford,00260,110
Connecticut-Welcome-Center-Tesla-Supercharger,1-West-Ave.,Darien,24-Hours-Daily,For-Tesla-Use-Only,0,0,4,-73.504917,41.067306,Fairfield,00005,35
Whole-Foods-Market,350-Grasmere-Ave,Fairfield,8am-10pm-Daily,For-Customer-Use-Only,0,1,0,-73.240315,41.157925,Fairfield,00111,51
Tamarack-Country-Club-Tesla-Destination,55-Locust-Rd,Greenwich,24-Hours-Daily,"For-Member-Use-Only,--See-Valet-For-Access",0,3,0,-73.709755,41.094294,Fairfield,00215,57
Madison-Beach-Hotel-Tesla-Destination,94-W-Wharf-Rd,Madison,24-Hours-Daily,Overnight-Valet-Fee,0,2,0,-72.608573,41.27077,New-Haven,00134,76
Newington-Electric,72-Pane-Rd,Newington,24-Hours-Daily,Not-Provided,0,3,0,-72.729203,41.65514,Hartford,00086,94
Premier-Kia,205-N-Main-St,Branford,24-Hours-Daily,Priority-For-Customer-Use,0,1,0,-72.809324,41.289894,New-Haven,00170,14
The-Shoppes-At-Fox-Run-1,25-Welles-St-#-55,Glastonbury,24-Hours-Daily,Not-Provided,0,0,2,-72.608292,41.714088,Hartford,00090,54
Nbcsg,98-Maher-Rd,Stamford,24-Hours-Daily,Not-Provided,0,14,0,-73.516045,41.054321,Fairfield,00007,135
Edens-Bishops,345-N-Main-St,West-Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.7479436,41.784487,Hartford,00181,155
Propark-Water-Street-Garage,161-Water-St,New-London,Facility-Opening-Hours,Not-Provided,8,4,0,-72.093784,41.355486,New-London,00144,95
Connecticut-Post-Mall-Tesla-Supercharger,1201-Boston-Post-Road,Milford,24-Hours-Daily,For-Tesla-Use-Only,0,0,14,-73.036133,41.238119,New-Haven,00193,84
Manchester-Honda,24-Adams-St,Manchester,Facility-Opening-Hours,Not-Provided,0,1,0,-72.552974,41.795898,Hartford,00161,77
New-London-Mall-Tesla-Supercharger,369-N-Frontage-Rd,New-London,24-Hours-Daily,For-Tesla-Use-Only,0,0,8,-72.119376,41.370726,New-London,00144,95
Plainville-Municipal-Center,1-Central-Square,Plainville,24-Hours-Daily,Not-Provided,0,1,0,-72.8670212999999,41.6717114,Hartford,00260,110
The-Study-At-Yale-Tesla-Destination,1157-Chapel-St,New-Haven,24-Hours-Daily,See-Valet-For-Access,0,2,0,-72.932698,41.308741,New-Haven,00275,93
Connecticut-Science-Center,250-Columbus-Blvd,Hartford,6am-6pm-Daily,Not-Provided,0,2,0,-72.668833,41.764376,Hartford,00082,64
Windham-High-School,355-High-St,Windham,24-Hours-Daily,Not-Provided,0,2,0,-72.214432,41.723169,Tolland,00207,163
Big-Y-Foods,401-Bridgeport-Ave,Shelton,24-Hours-Daily,Not-Provided,0,2,0,-73.11066,41.29434,Fairfield,00217,126
Whole-Foods-Mkt,5-Sugar-Hollow-Rd,Danbury,24-Hours-Daily,Not-Provided,0,1,0,-73.475576,41.3777667,Fairfield,00001,34
I-95-Madison-Nb-Service-Plaza-Tesla-Supercharger,I-95-North-Ave,Madison,24-Hours-Daily,Tesla-Users-Only,0,0,10,-72.5804966772461,41.2904885216395,New-Haven,00134,76
Town-Hall,4-Market-St,Canton,24-Hours-Daily,Not-Provided,0,2,0,-72.923177,41.811022,Hartford,00080,23
