ChargingStation,Address,City,AccessDaysTime,AdditionalInfo,EVLevel1EVSENum,EVLevel2EVSENum,EVDCFastCount,Longitude,Latitude,Counties,ZipCode,TownIndex
Ge-Ws-Price-Chopper-#243-Storrs-Ct-1,1220--Storrs-Rd,Mansfield,24-Hours-Daily,Not-Provided,0,1,0,-72.241254,41.80199700000001,Tolland,00033,78
Aamco-Ev,133-Pitkin-St,East-Hartford,24-Hours-Daily,Not-Provided,0,2,0,-72.65266880000001,41.7632299,Hartford,00119,43
Winvian-Farm-Tesla-Destination,155-Alain-White-Rd,Morris,24-Hours-Daily,"For-Customer-Use-Only,--See-Front-Desk-For-Access",0,3,0,-73.201059,41.697035,Litchfield,00120,87
Brass-Mill-Center-Entrance-3,495-Union-St,Waterbury,6am-12pm-Daily,Not-Provided,0,4,0,-73.023973,41.549008,New-Haven,00194,151
Comm-Lot-Sta-1,13-Durant-Ave.,Bethel,24-Hours-Daily,Not-Provided,0,2,0,-73.4178034,41.3762377,Fairfield,00077,9
Waterbury-oxford-Airport,300-Christian-St,Oxford,24-Hours-Daily,Not-Provided,0,2,0,-73.146142,41.477151000000006,New-Haven,00012,108
Shagbark-Lumber-And-Farm-Supply,1-Mt-Parnassus-Millington-Rd,East-Haddam,24-Hours-Daily,Not-Provided,0,1,0,-72.442533,41.463278,Middlesex,00192,41
Metro-Green-Residential-Parking-Tesla-Destination,717--Atlantic-St,Stamford,24-Hours-Daily,Not-Provided,0,3,0,-73.540098,41.04514,Fairfield,00007,135
Hartford-Road-Henny-Penny,969-Hartford-Road,Waterford,24-Hours-Daily,Not-Provided,0,2,0,-72.1591426,41.3874871,New-London,00140,152
Foxwoods,101-Trolley-Line-Blvd,Mashantucket,24-Hours-Daily,Not-Provided,0,2,0,-71.9523342,41.469981700000005,New-London,00066,72
Convention-Center-Hartford,100-Columbus-Blvd,Hartford,24-Hours-Daily,Pay-Lot,0,6,0,-72.668973,41.762852,Hartford,00082,64
County-Line-Buick-nissan,2191-Straits-Turnpike,Middlebury,Facility-Opening-Hours,Not-Provided,0,1,0,-73.098764,41.568122,New-Haven,00200,81
Mystic-Aquarium,55-Coogan-Blvd,Mystic,24-Hours-Daily,Not-Provided,0,0,1,-71.954088,41.373074,New-London,00135,137
University-Of-Connecticut-Waterbury,99-E-Main-St,Waterbury,24-Hours-Daily,Not-Provided,0,2,0,-73.038135,41.555816,New-Haven,00167,151
Danbury-Parking-Authority,21-Delay-St,Danbury,Facility-Opening-Hours,Not-Provided,0,2,0,-73.451059,41.396042,Fairfield,00001,34
Infinitygreen,201-Commons-Park-S,Stamford,24-Hours-Daily,Not-Provided,0,2,0,-73.5405387,41.040838,Fairfield,00007,135
City-Hall,35-Arch-St,Hartford,24-Hours-Daily,Not-Provided,0,1,0,-72.672842,41.762206,Hartford,00082,64
White-Hart-Inn-Tesla-Destination,15-Undermountain-Rd,Salisbury,24-Hours-Daily,For-Customer-Use-Only,0,1,0,-73.42219800000001,41.98483,Litchfield,00268,122
Premier-Subaru,155-N-Main-St,Branford,24-Hours-Daily,Not-Provided,0,2,0,-72.813257,41.287914,New-Haven,00170,14
Central-Connecticut-State-University-Student-Center-Parking-Garage,165-Ella-Grasso-Blvd,New-Britain,24-Hours-Daily,Not-Provided,0,3,0,-72.7663278757019,41.6938875513217,Hartford,00110,89
University-Of-Connecticut-South-Parking-Garage,505-Jim-Calhoun-Way,Storrs,Facility-Opening-Hours,Not-Provided,0,2,0,-72.253601,41.805152,Tolland,00069,78
Carter-Chevrolet,175-Hartford-Turnpike,Vernon,Facility-Opening-Hours,Not-Provided,0,2,1,-72.5009065449829,41.8218766595564,Tolland,00248,146
Dunkin'-Donuts,189-Forbes-Ave,New-Haven,24-Hours-Daily,Not-Provided,0,0,1,-72.9,41.294167,New-Haven,00130,93
Human-Services-Center,330-Park-Avenue,Bloomfield,Not-Specified,Not-Provided,0,2,0,-72.712466,41.8234945,Hartford,00224,11
Grand-Central-Fashion-Plaza-Shopping-Center-Tesla-Supercharger,1145-High-Ridge-Rd,North-Stamford,24-Hours-Daily,For-Tesla-Use-Only,0,0,8,-73.546513,41.107722,Fairfield,00084,135
University-Of-Connecticut-North-Parking-Garage,103-N-Eagleville-Rd,Storrs,Facility-Opening-Hours,Not-Provided,0,2,0,-72.258277,41.809176,Tolland,00069,78
Fairfield-Sb-Tesla-Supercharger,267-Round-Hill-Road,Fairfield,24-Hours-Daily,For-Tesla-Use-Only,0,0,8,-73.255573,41.14807,Fairfield,00111,51
Fairfield-Woods-Library,1147-Fairfield-Woods-Rd,Fairfield,24-Hours-Daily,Not-Provided,0,1,0,-73.250024,41.187855,Fairfield,00174,51
Yankee-Doodle,10-Burnell-Boulevard,Norwalk,24-Hours-Daily,Not-Provided,0,1,0,-73.414932,41.11803,Fairfield,00204,103
Lee-Partyka-Chevrolet-Mazda-Isuzu,200-Skiff-St,Hamden,Facility-Opening-Hours,Not-Provided,0,3,0,-72.9100121,41.3729709,New-Haven,00198,62
777-Main-St,71-Asylum-St,Hartford,24-Hours-Daily,Not-Provided,0,10,1,-72.674468,41.766676,Hartford,00082,64
Norwich-Public-Utilities,173-N-Main-St,Norwich,24-Hours-Daily,Not-Provided,0,4,0,-72.063516,41.52757900000001,New-London,00014,104
Fairfield-Plaza,116-Danbury-Rd,New-Milford,24-Hours-Daily,Not-Provided,0,0,1,-73.41763,41.55735,Litchfield,00088,96
Eastern-Connecticut-State-University-Shakespeare-Parking-Garage,24-Charger-Oak-Dr,Willimantic,24-Hours-Daily,Not-Provided,0,4,0,-72.208134,41.7385909,Tolland,00032,78
