"TRAM","Rang","GEOM_WKT"
"T01614C","25-30 µg/m³","MultiLineString ((431309.15803442 4581420.18892317, 431323.67018531 4581437.09583915, 431330.13422914 4581441.54879701))"
"T17978E","20-25 µg/m³","MultiLineString ((428307.17316875 4586922.01922616, 428278.51419943 4586931.93746006))"
"T13121Z","20-25 µg/m³","MultiLineString ((432947.29470056 4581964.72935091, 432847.9358549 4581873.5839635))"
"T16424X","25-30 µg/m³","MultiLineString ((432627.95342332 4584228.98122299, 432674.84586098 4584277.01894105))"
"T04939G","25-30 µg/m³","MultiLineString ((429808.68485641 4585780.96097532, 429778.9082013 4585832.62828477))"
"T05391W","25-30 µg/m³","MultiLineString ((429529.38592166 4587695.89615695, 429454.10383607 4587804.47820276))"
"T17699A","25-30 µg/m³","MultiLineString ((428365.70230128 4579550.3733919, 428399.58508939 4579515.57608051))"
"T04945E","25-30 µg/m³","MultiLineString ((429586.06262272 4585531.26826963, 429596.60657477 4585522.77417574, 429656.87639044 4585486.08165806, 429675.88533625 4585475.02949561, 429683.10532401 4585471.93543568, 429693.56835692 4585474.14535958, 429704.32544715 4585483.87129329, 429773.43715499 4585563.2968946, 429783.45719836 4585566.97982423, 429796.70922591 4585567.91172485, 429811.30821804 4585563.88560725, 429825.60217883 4585555.78048544, 429852.86408291 4585537.52724862, 429881.57800901 4585521.88900495))"
"T13111X","25-30 µg/m³","MultiLineString ((432695.07737831 4581841.87007243, 432789.14922702 4581934.48450209))"
"T02574P","25-30 µg/m³","MultiLineString ((431179.96014244 4584354.16737078, 431272.00597426 4584444.80181128))"
"T16015K","15-20 µg/m³","MultiLineString ((424854.82426025 4586851.1163957, 424861.09432187 4586857.95635878, 424865.4253459 4586860.2353294, 424871.12436861 4586862.0592889, 424876.04139122 4586864.02925457))"
"T15413Q","25-30 µg/m³","MultiLineString ((429862.14728748 4579377.59875316, 429848.72975115 4579441.3999537, 429849.45093828 4579465.90998609, 429854.85711893 4579488.61798009, 429864.58928432 4579508.44293676, 429876.12442511 4579524.66287416, 429892.34455668 4579538.72077263, 429916.13367248 4579549.17360801, 430025.16094476 4579563.02880097))"
"T12836X","20-25 µg/m³","MultiLineString ((429993.30862075 4588353.62767242, 430097.66372808 4588346.54086754, 430126.77885086 4588356.81666241, 430255.70352625 4588419.71178172))"
"T07586N","20-25 µg/m³","MultiLineString ((426582.37053314 4581129.72239192, 426619.21313772 4581070.09601968))"
"T15903D","25-30 µg/m³","MultiLineString ((425203.95211132 4576207.36618344, 424960.26308555 4576385.73131576))"
"T12105V","20-25 µg/m³","MultiLineString ((431480.76649725 4586977.01021115, 431482.59814225 4587061.79633226))"
"T05905A","25-30 µg/m³","MultiLineString ((432731.29613939 4585882.59400279, 432749.66376846 4585961.92599043))"
"T00181U","20-25 µg/m³","MultiLineString ((432217.92196407 4581357.73094321, 432232.99602166 4581362.24883596))"
"T17821K","25-30 µg/m³","MultiLineString ((432527.7629952 4589071.83360094, 432527.26587387 4589055.93757966, 432529.29078157 4589043.3555445, 432545.23963044 4589020.17138717, 432562.97355999 4589007.2612325, 432581.41551001 4588996.90507649, 432589.64441623 4588982.85999203, 432589.79327678 4588964.44196188))"
"T08867X","20-25 µg/m³","MultiLineString ((431728.76218658 4585168.4614485, 431670.34630685 4585196.09793216))"
"T19483U","25-30 µg/m³","MultiLineString ((430705.92363191 4581095.20499511, 430688.03144645 4581074.44009884))"
"T13951D","25-30 µg/m³","MultiLineString ((428785.36976276 4581633.81141174, 428728.62011361 4581559.86472992))"
"T17351B","15-20 µg/m³","MultiLineString ((427536.98358396 4585681.82811182, 427541.70864756 4585689.26108772, 427544.29269069 4585694.4280763, 427546.10075216 4585702.17907491, 427548.16782774 4585711.73907445, 427548.42692592 4585724.65809311, 427547.39297907 4585731.89211255, 427545.8430236 4585738.09313425, 427531.63221468 4585766.25628745, 427513.2884678 4585803.46248655, 427510.96351112 4585809.66351415, 427510.44654356 4585814.0555251, 427510.85958008 4585818.79552953, 427511.9676271 4585824.77953064))"
"T18973D","25-30 µg/m³","MultiLineString ((427573.86424745 4581021.9026848, 427532.32809642 4581010.45298304))"
"T11939Z","20-25 µg/m³","MultiLineString ((431912.09660238 4588222.58592276, 431931.08206059 4588279.15786852))"
"T02493P","25-30 µg/m³","MultiLineString ((430995.09906555 4583987.29921446, 431089.44588474 4584075.81163441))"
"T02143W","25-30 µg/m³","MultiLineString ((430449.14674235 4582609.48325502, 430544.3395898 4582701.56267431))"
"T00793Q","25-30 µg/m³","MultiLineString ((431326.99439522 4581990.45866139, 431329.75242372 4581993.64764539, 431333.97046242 4581997.88261991, 431338.33351223 4582003.54859553))"
"T05699N","20-25 µg/m³","MultiLineString ((431659.88313612 4585571.98661225, 431707.41555716 4585617.92432617))"
"T08971W","25-30 µg/m³","MultiLineString ((431769.66683748 4584457.300064, 431720.5651475 4584507.99951233))"
"T10573L","20-25 µg/m³","MultiLineString ((427484.75652272 4582656.69287297, 427499.87682179 4582692.98181344, 427487.40294461 4582711.69293699, 427473.03908317 4582732.86207868, 427458.67421885 4582753.6522198, 427437.31742411 4582785.02743031, 427424.51453319 4582801.9975537))"
"T11115T","20-25 µg/m³","MultiLineString ((428283.47257668 4583685.37636381, 428258.03494873 4583739.49863975))"
"T12257K","20-25 µg/m³","MultiLineString ((430446.73392836 4586717.12862445, 430404.77002398 4586738.35097603))"
"T20690U","20-25 µg/m³","MultiLineString ((428958.85188215 4584639.95567065, 429001.3081854 4584671.17139464))"
"T09192H","25-30 µg/m³","MultiLineString ((433218.72777916 4583761.79104223, 433258.66757577 4583726.96668696))"
"T02353E","25-30 µg/m³","MultiLineString ((430893.05043359 4582346.94849274, 430988.37628948 4582440.14291298))"
"T08128V","20-25 µg/m³","MultiLineString ((429586.13535121 4583259.29480218, 429568.22134083 4583261.56594193, 429558.31041875 4583273.82603599, 429551.55853827 4583290.91411334, 429556.69371137 4583312.63710729))"
"T16037Q","15-20 µg/m³","MultiLineString ((423974.97948697 4586402.60838629, 423976.90042175 4586393.60235739, 423978.36337692 4586387.3833364, 423978.54636335 4586385.55433211, 423977.44933809 4586382.44533554, 423973.79028663 4586376.40935385, 423971.23025214 4586372.38436697, 423968.66920379 4586366.5313772, 423966.8401552 4586360.49538158, 423967.38812418 4586356.28837073, 423967.93709733 4586352.63036076, 423970.49804868 4586345.67933024, 423971.96100802 4586340.00931011, 423971.96095398 4586332.87529881, 423969.94890094 4586326.2903037, 423969.39987514 4586322.99830266, 423962.63280219 4586314.76634117, 423954.76672753 4586306.53538805, 423949.71268538 4586302.01541938))"
"T07778T","20-25 µg/m³","MultiLineString ((429611.0286914 4583824.94547169, 429583.9668921 4583856.828726))"
"T10678T","20-25 µg/m³","MultiLineString ((427368.57078322 4583372.80785147, 427314.37326983 4583447.90837859))"
"T19828Z","25-30 µg/m³","MultiLineString ((432937.10933936 4584155.37377183, 432995.95488226 4584214.83641688))"
"T09087H","25-30 µg/m³","MultiLineString ((431794.10366192 4584297.84263756, 431748.01897279 4584348.04506237))"
"T00579M","25-30 µg/m³","MultiLineString ((431442.90984635 4581894.65363684, 431473.02911091 4581923.34145261, 431503.57225159 4581935.64124009))"
"T01290C","25-30 µg/m³","MultiLineString ((431055.2951725 4581226.80354986, 431064.91811929 4581217.8384632, 431074.34607301 4581209.82637948, 431101.88995437 4581188.59813822))"
"T02003L","30-35 µg/m³","MultiLineString ((430404.55747101 4582845.92195264, 430450.02387447 4582889.72367497))"
"T06594J","25-30 µg/m³","MultiLineString ((433795.84130184 4587798.94699031, 433817.95636316 4587802.53682858))"
"T03282K","25-30 µg/m³","MultiLineString ((428382.27573793 4580922.23238386, 428353.73798154 4580960.11465917))"
"T09297P","25-30 µg/m³","MultiLineString ((433500.86061503 4584077.60638789, 433548.42504144 4584124.05409864))"
"RD0125U",">40 µg/m³","MultiLineString ((426252.1162072 4584037.71147197, 426255.46513293 4584041.25733923, 426265.91522686 4584051.4272755, 426267.49524143 4584052.96726607, 426280.6932097 4584064.80122286, 426285.08534845 4584068.3205597))"
"T16412T","25-30 µg/m³","MultiLineString ((433129.19953834 4582564.4618924, 433052.16302189 4582643.68959683))"
"T20526J","20-25 µg/m³","MultiLineString ((427592.50232389 4585636.06661593, 427575.60241938 4585652.15277033))"
"T01047T","20-25 µg/m³","MultiLineString ((430651.90486713 4581795.23747654, 430610.85547844 4581884.04092327))"
"T04803R","20-25 µg/m³","MultiLineString ((429232.94059847 4586128.89491477, 429175.1151617 4586083.01528156))"
"T12114W","20-25 µg/m³","MultiLineString ((431472.00716219 4586670.46678904, 431397.68005387 4586671.34135302))"
"T19092J","25-30 µg/m³","MultiLineString ((433765.35778412 4582994.26873422, 433784.19164097 4582971.62755705, 433894.84864836 4583081.77388791))"
"T00890Q","25-30 µg/m³","MultiLineString ((431040.08106202 4582004.99985682, 431018.1072042 4582028.18005869))"
"T11192G","20-25 µg/m³","MultiLineString ((428008.21060762 4584140.15415049, 427986.69569567 4584156.12433854, 427973.47566612 4584154.93343738))"
"T02169G","25-30 µg/m³","MultiLineString ((428984.29924655 4582578.44034388, 428890.57883174 4582674.4802035))"
"T13228J","30-35 µg/m³","MultiLineString ((428438.72859605 4586555.32064081, 428465.56316843 4586566.4407981, 428522.43747624 4586717.40933037))"
"T01210M","20-25 µg/m³","MultiLineString ((430917.12163356 4580789.06992476, 430907.6983381 4580752.08993934))"
"T21179O","25-30 µg/m³","MultiLineString ((432450.65523368 4584765.67337799, 432486.10517846 4584882.65128681))"
"T16154U","20-25 µg/m³","MultiLineString ((429339.2439789 4585893.14872841, 429359.06782177 4585868.32953777))"
"T18612H","20-25 µg/m³","MultiLineString ((426548.87457505 4585355.29511528, 426563.69781455 4585383.88704805, 426583.20605737 4585411.9549443, 426592.36308218 4585413.34787678, 426598.93205173 4585407.97381816, 426603.11296935 4585396.22876756, 426602.51587501 4585383.88675239, 426600.12677787 4585371.54475087, 426601.12166943 4585357.01272007, 426606.89456392 4585341.88365193, 426616.05149833 4585331.33356533, 426628.7914775 4585325.95845971, 426639.54145808 4585321.18037019, 426642.12841239 4585314.61133999, 426641.53216287 4585281.76529204, 426652.2810169 4585260.2661758, 426657.05890328 4585244.34111522, 426656.66075735 4585225.23108929, 426659.048643 4585209.70404756, 426666.21559664 4585202.13898151, 426675.37262302 4585203.73191417, 426692.09377016 4585219.65681093, 426707.22290573 4585234.387718, 426716.37995936 4585239.56365609, 426724.34295057 4585236.77659121, 426726.73086649 4585225.23055553, 426732.70273048 4585206.12048108, 426741.06361635 4585189.39839205, 426740.66553399 4585178.64937879, 426724.73999153 4585110.5693969, 426721.55489575 4585098.62540305, 426723.94279352 4585084.69036374, 426733.49768428 4585068.3672662, 426746.23861028 4585056.02515044, 426775.6995835 4585046.46991155, 426795.60658422 4585042.48875389, 426809.14264162 4585047.26565803, 426835.81782239 4585065.57948261, 426858.51093946 4585076.32932606, 426882.39900994 4585080.70815074, 426906.68505986 4585082.30096817, 426915.04610617 4585086.67991112, 426917.03619707 4585098.22591347, 426911.46225197 4585106.5869686, 426900.31537993 4585125.69708246, 426888.37166408 4585165.51023377, 426883.59382921 4585188.20330455, 426892.35300027 4585208.90626919, 426907.48230237 4585245.53420943, 426917.03747132 4585265.83816816, 426928.58355558 4585274.59709422, 426952.07366445 4585284.15193059, 426971.18375446 4585292.11479778, 426983.12786645 4585304.45672655, 426993.08108381 4585331.13069338, 427000.64631856 4585360.59268287, 427006.6184544 4585377.31366411, 427014.58052103 4585384.48061493, 427028.11758429 4585390.05452074, 427050.41260391 4585388.06334776, 427084.99057308 4585376.88106653, 427107.61657475 4585372.44988713, 427127.07759904 4585371.65873765, 427142.2666143 4585370.5516202, 427158.34665787 4585373.00350165, 427171.69575228 4585382.73441555, 427180.71490282 4585400.7713757, 427186.56900892 4585413.5873516, 427192.58115239 4585431.30833415))"
"T00606Y","25-30 µg/m³","MultiLineString ((431612.86502446 4581751.92613098, 431618.7460067 4581748.39308102))"
"T06515U","25-30 µg/m³","MultiLineString ((432356.13121943 4589004.60879504, 432366.262504 4589040.06077418))"
"T16068X","25-30 µg/m³","MultiLineString ((431366.4669084 4582049.95545342, 431351.57396115 4582059.92458147))"
"T07164V","15-20 µg/m³","MultiLineString ((424769.06146112 4582413.60316797, 424772.89872667 4582447.81119142, 424778.0589377 4582474.56219331, 424804.84737219 4582526.32406905, 424811.8739245 4582597.66212531, 424827.2441861 4582628.98005647, 424839.98532591 4582644.78898379, 424845.48643919 4582658.58696313, 424842.54456343 4582675.56101163, 424818.74390626 4582725.61626976, 424813.35810297 4582752.6393523, 424816.12139012 4582789.90738854, 424810.75159864 4582818.48347333, 424800.57379462 4582846.3925937, 424769.63206461 4582888.31489366, 424769.33416172 4582901.17091568, 424779.81542291 4582933.43188544, 424793.35965438 4582961.14782489, 424817.50090707 4582989.48368461, 424826.85305614 4583007.20464062, 424829.0781431 4583018.20364057, 424812.16958636 4583080.06886427, 424814.36765183 4583088.24286008, 424857.2094204 4583180.69567576, 424863.52172794 4583219.91168785, 424869.61786574 4583236.81266736, 424906.57944541 4583305.58249139, 424912.27059763 4583324.463477, 424920.94065457 4583330.18441976, 424951.15970086 4583330.07918951, 424965.57072886 4583330.8090809, 424983.72281714 4583338.7119548, 425013.3940964 4583369.40377592, 425031.72421283 4583380.97765409, 425061.33744696 4583405.73746655, 425083.98174146 4583439.87734643, 425086.38585766 4583454.68835081, 425090.82502304 4583475.55734897, 425116.4901451 4583486.3661701, 425126.07625704 4583499.14111667, 425131.5154325 4583521.13210892, 425130.92396147 4583590.91522025, 425124.92823138 4583627.68932219, 425117.54338718 4583649.72241214))"
"T20753S","25-30 µg/m³","MultiLineString ((432035.99273108 4583469.08954847, 432055.36983668 4583479.04441694, 432138.56258433 4583560.4829111))"
"T05344P","25-30 µg/m³","MultiLineString ((429579.70212793 4587448.80038125, 429482.14057573 4587527.8382492))"
"T08044S","25-30 µg/m³","MultiLineString ((429466.74683311 4584004.35884183, 429494.47561579 4583970.15357893))"
"T00246U","20-25 µg/m³","MultiLineString ((432075.22422094 4581420.54512058, 432102.93352759 4581323.64176187))"
"T11944W","20-25 µg/m³","MultiLineString ((431766.72309848 4588185.81596545, 431807.76967477 4588253.45876169))"
"T20691V","20-25 µg/m³","MultiLineString ((431603.27331918 4586136.12594282, 431533.21975187 4586207.57158709))"
"T01494M","25-30 µg/m³","MultiLineString ((431050.37110161 4581613.3341796, 431031.31426194 4581638.31536222))"
"T00808G","25-30 µg/m³","MultiLineString ((431385.57436769 4581974.91919393, 431381.31031054 4581968.26621605, 431372.63018719 4581953.80125966))"
"T18344G","25-30 µg/m³","MultiLineString ((433046.00469038 4585891.35963587, 433034.65984727 4585914.38075842, 433023.99609858 4585949.73089548, 433018.79029333 4585976.50197756))"
"T11068D","20-25 µg/m³","MultiLineString ((428016.959834 4583641.98632637, 428004.07687519 4583650.03043669, 427971.63312897 4583690.03074452))"
"T01538H","25-30 µg/m³","MultiLineString ((431289.61651529 4581487.46017434, 431302.94864694 4581502.07409574, 431315.12275827 4581514.24802218, 431326.10886324 4581525.8279567))"
"T09138B","25-30 µg/m³","MultiLineString ((432138.56258433 4583560.4829111, 432100.44085083 4583603.2542647))"
"T16590K","25-30 µg/m³","MultiLineString ((431047.78720159 4581232.16161497, 431055.2951725 4581226.80354986))"
"T04938F","25-30 µg/m³","MultiLineString ((429754.80842409 4585734.8403115, 429751.58945348 4585739.38234328, 429713.01884609 4585799.15473267, 429703.40290733 4585809.21482199))"
"T10797Z","20-25 µg/m³","MultiLineString ((426999.45085334 4583457.40379029, 427104.77657711 4583531.14510104))"
"T11379P","20-25 µg/m³","MultiLineString ((428648.51097949 4584058.57115223, 428583.25349115 4584007.64157167))"
"T04327K","20-25 µg/m³","MultiLineString ((431387.54338257 4585263.66517857, 431302.31956298 4585304.88788944))"
"T02066A","25-30 µg/m³","MultiLineString ((430402.62003285 4582657.16768002, 430454.38549787 4582707.78736504))"
"T01746N","20-25 µg/m³","MultiLineString ((429931.36096827 4581033.69377724, 429839.11154804 4581128.6816243))"
"T06419V","20-25 µg/m³","MultiLineString ((432496.85321696 4587392.64518007, 432508.1226464 4587447.01518102, 432513.77880896 4587467.3131704, 432515.80385219 4587472.60516346))"
"T10642H","20-25 µg/m³","MultiLineString ((428169.68502781 4583373.23775466, 428170.78599786 4583369.07373994, 428142.51174689 4583341.81291359))"
"T02535I","25-30 µg/m³","MultiLineString ((430793.26122645 4583786.56443811, 430699.52281732 4583883.29129434))"
"T09537M","25-30 µg/m³","MultiLineString ((433115.70265587 4585080.87382384, 433135.09383075 4585099.934706, 433140.25887582 4585104.81367431, 433135.09390923 4585110.2477216, 433119.05701 4585126.72886785))"
"T10783T","20-25 µg/m³","MultiLineString ((426977.34657093 4583161.49550661, 426958.92042809 4583146.45562387, 426937.15123533 4583125.52675757, 426925.38708538 4583108.18982061))"
"T05924D","20-25 µg/m³","MultiLineString ((431625.17060446 4586565.54646248, 431546.29050666 4586568.73306458))"
"T14469C","25-30 µg/m³","MultiLineString ((428712.92620729 4580258.3068469, 428668.02995709 4580234.44315136))"
"T19880D","25-30 µg/m³","MultiLineString ((427635.82729641 4585095.76243504, 427648.80633511 4585098.19833988, 427706.15664687 4585127.46694738, 427696.79577371 4585146.0560468))"
"T20733O","25-30 µg/m³","MultiLineString ((430994.96647845 4584173.03649678, 430995.27852944 4584179.67550448))"
"T11854V","15-20 µg/m³","MultiLineString ((424389.58544891 4586839.95992091, 424372.69256671 4586858.99107967, 424371.83565958 4586871.42510586, 424373.94475688 4586883.83010942, 424378.2018777 4586898.89810084, 424384.624036 4586918.46408287, 424385.13609989 4586926.79009214, 424382.97616728 4586936.13012337, 424376.83931435 4586956.80420279, 424377.52440097 4586968.09421543, 424382.54046087 4586974.96518809, 424389.65550893 4586979.83914162, 424399.17456377 4586985.11407747, 424413.21762751 4586990.62897925, 424432.10072248 4586999.26784911))"
"T15284Z","25-30 µg/m³","MultiLineString ((429450.44689032 4581910.58277748, 429419.84507859 4581941.56505761))"
"T17983B","25-30 µg/m³","MultiLineString ((429398.6612228 4587234.19341712, 429405.28026704 4587238.68337391, 429464.3388938 4587309.38903711))"
"T11204T","20-25 µg/m³","MultiLineString ((427973.47566612 4584154.93343738, 427971.91058305 4584144.32743319, 427951.6823087 4584112.36853863))"
"T07730D","20-25 µg/m³","MultiLineString ((429546.34092582 4583605.94063166, 429505.52323484 4583654.86401656))"
"T15226P","30-35 µg/m³","MultiLineString ((428649.00177582 4587075.75535252, 428682.73832147 4587169.42503836))"
"T00087X","20-25 µg/m³","MultiLineString ((432124.615164 4581139.72231501, 432138.73722031 4581144.26421501))"
"T03188N","25-30 µg/m³","MultiLineString ((427756.59765979 4581039.06132158, 427846.13620358 4581092.49472294))"
"T09996J","20-25 µg/m³","MultiLineString ((433126.13650265 4583218.1309144, 433174.78492239 4583263.48861539))"
"T04883H","20-25 µg/m³","MultiLineString ((429075.63971712 4586176.7511886, 429095.90503866 4586215.08609562, 429107.06217687 4586231.06303623, 429126.55336435 4586251.84492108))"
"T09085F","30-35 µg/m³","MultiLineString ((431934.25979388 4584155.32936083, 431840.06837113 4584250.30121765))"
"T12591V","20-25 µg/m³","MultiLineString ((430358.39522095 4587302.18722646, 430349.57799745 4587274.47824907))"
"T06700T","20-25 µg/m³","MultiLineString ((433648.95508104 4587404.01647738, 433712.91419185 4587405.62999585))"
"T04766D","25-30 µg/m³","MultiLineString ((431504.81581177 4585296.47434399, 431495.78183423 4585301.28342005, 431472.4228642 4585310.00661075, 431332.03908948 4585368.40376645))"
"T14999X","15-20 µg/m³","MultiLineString ((424779.22031312 4586609.69058904, 424750.22616716 4586596.40178879))"
"T01590L","25-30 µg/m³","MultiLineString ((431292.99875277 4581386.40699379, 431309.15803442 4581420.18892317))"
"T06436W","20-25 µg/m³","MultiLineString ((432278.25651764 4588004.69180513, 432329.52961973 4588007.69542165))"
"T13513L","20-25 µg/m³","MultiLineString ((430454.42427061 4588345.26215727, 430445.895418 4588366.4652555))"
"T03564R","20-25 µg/m³","MultiLineString ((429350.97498657 4580495.17236174, 429381.68837973 4580409.02899564))"
"T20532H","20-25 µg/m³","MultiLineString ((431153.92453366 4586388.27774627, 431254.98674779 4586395.91799357))"
"T00462A","25-30 µg/m³","MultiLineString ((431705.55616402 4581751.44442816, 431712.16728119 4581765.52039965))"
"T03640M","25-30 µg/m³","MultiLineString ((428718.10255037 4579907.17326543, 428906.59055345 4580001.16497797, 428915.96756056 4580000.20290521, 428976.19841773 4579969.18539953, 428989.54341816 4579966.54029402))"
"T03690W","20-25 µg/m³","MultiLineString ((430786.98331886 4580510.8314832, 430754.02660067 4580422.98259783))"
"T20214W","20-25 µg/m³","MultiLineString ((425754.10338206 4582069.64014169, 425780.58171521 4582108.12099941))"
"T09807P","20-25 µg/m³","MultiLineString ((434222.21694945 4585422.83899166, 434283.89449482 4585482.3416201))"
"T03831R","25-30 µg/m³","MultiLineString ((428123.14351585 4581735.83760503, 428156.03278977 4581765.22039995))"
"T05516R","20-25 µg/m³","MultiLineString ((428261.51006336 4587049.49577648, 428284.03057396 4587112.30570498))"
"LVA0005","25-30 µg/m³","MultiLineString ((426525.77917557 4583768.28902517, 426496.73725209 4583785.7695356, 426482.55536185 4583794.69902432, 426473.80111994 4583801.70252687, 426457.16806697 4583815.88461119, 426442.0190865 4583829.15969431))"
"T11289O","20-25 µg/m³","MultiLineString ((427473.80801055 4584039.13506548, 427538.61775356 4584123.64470057))"
"T03780X","30-35 µg/m³","MultiLineString ((427546.36242354 4579469.04749309, 427624.294129 4579546.24002047))"
"T08425B","20-25 µg/m³","MultiLineString ((429351.86081087 4584813.45994079, 429247.51727348 4584764.06666058))"
"T17202P","20-25 µg/m³","MultiLineString ((434658.74828937 4584984.19600631, 434646.43636418 4584996.50811811))"
"T05183Q","25-30 µg/m³","MultiLineString ((429769.93003949 4587002.12122247, 429653.48014171 4587039.39416795))"
"T11321X","25-30 µg/m³","MultiLineString ((428864.3143414 4583536.1937161, 428795.81969309 4583596.3833289))"
"T20802K","15-20 µg/m³","MultiLineString ((424773.00565302 4586391.82429097, 424776.0067507 4586404.10028758))"
"T00532X","25-30 µg/m³","MultiLineString ((431639.98537907 4581793.0789886, 431623.07041583 4581801.35712939, 431609.5904639 4581810.42424539))"
"T00104H","25-30 µg/m³","MultiLineString ((432399.96416183 4581215.12934512, 432414.07521424 4581219.16324443))"
"T16751J","20-25 µg/m³","MultiLineString ((426067.29034018 4575798.97499751, 426160.77811083 4575749.93421353))"
"T16660H","20-25 µg/m³","MultiLineString ((432902.66180524 4587783.3637272, 432873.51985869 4587796.35296839, 432909.18856484 4587882.23483427, 432924.07995276 4587930.36979768, 432933.7762014 4587961.18977302, 432940.70247202 4587995.4737748, 432948.3218251 4588040.49178831, 432951.43915286 4588083.08683204, 432951.43851782 4588131.22190814, 432947.62984539 4588175.20200648, 432946.24495616 4588190.0930405, 432935.50896057 4588192.86312616, 432902.87896883 4588200.60438546))"
"T09146B","20-25 µg/m³","MultiLineString ((433019.07359765 4583909.80577834, 433032.40677463 4583930.37670873))"
"T07891T","20-25 µg/m³","MultiLineString ((429143.74015891 4583849.896066, 429128.30951536 4583899.90425934))"
"T06115I","20-25 µg/m³","MultiLineString ((432468.58361603 4586923.16664838, 432459.24485733 4586956.91877273))"
"T04647X","25-30 µg/m³","MultiLineString ((430217.73958523 4586454.41994034, 430203.09134815 4586426.08500648, 430201.39723535 4586411.5279961, 430204.64309386 4586392.17094043, 430211.13601623 4586380.58887249, 430225.95689485 4586361.52672921, 430231.49080835 4586348.967667))"
"T13542Q","20-25 µg/m³","MultiLineString ((428151.56363968 4581351.29279828, 428133.71898502 4581400.40200947))"
"RD0106B","30-35 µg/m³","MultiLineString ((425369.68860723 4582348.86247719, 425373.8309891 4582359.22147559, 425380.43112588 4582375.891451, 425388.60129508 4582396.51142052, 425395.76144176 4582414.37139349, 425396.71146153 4582416.78138997, 425399.3915173 4582423.58138002, 425401.13155355 4582428.00137358, 425401.71156546 4582429.45137139, 425409.58172653 4582449.06134164, 425414.11554861 4582460.37840884))"
"T14879Q","25-30 µg/m³","MultiLineString ((431471.64214693 4586272.3191565, 431464.62819294 4586279.82822157))"
"T00602U","25-30 µg/m³","MultiLineString ((431446.87977796 4581753.24839028, 431457.9318799 4581764.41532366))"
"T00771K","20-25 µg/m³","MultiLineString ((431140.10953908 4582178.98736508, 431162.83977359 4582205.21623299))"
"T02153Y","25-30 µg/m³","MultiLineString ((428858.69103146 4582707.23949611, 428797.77540946 4582769.35605436))"
"T02343C","25-30 µg/m³","MultiLineString ((430114.5640178 4582187.55714976, 430022.19960745 4582283.83599916))"
"T02627L","25-30 µg/m³","MultiLineString ((431404.08414608 4584309.15760639, 431367.43937787 4584347.05694111))"
"T00984V","20-25 µg/m³","MultiLineString ((431248.09473482 4581656.41674776, 431264.74688516 4581672.81264673))"
"T01799A","25-30 µg/m³","MultiLineString ((429939.41729616 4581601.72558641, 429834.03593465 4581707.09054899))"
"T07307S","20-25 µg/m³","MultiLineString ((427899.04916502 4581998.57771273, 427897.19724343 4582009.27974322, 427942.40270566 4582060.94147854))"
"T08452E","30-35 µg/m³","MultiLineString ((429395.0580973 4584579.46425824, 429434.69440265 4584611.53500498))"
"T03156F","20-25 µg/m³","MultiLineString ((427760.4054575 4581406.83085862, 427825.92380324 4581439.04140983))"
"T06153O","20-25 µg/m³","MultiLineString ((432378.03790388 4586847.61621355, 432371.02810464 4586875.54531103))"
"T07210K","20-25 µg/m³","MultiLineString ((425423.40281817 4582853.52386333, 425415.43187011 4582861.99893702, 425359.96124132 4582922.26545176))"
"T17594S","25-30 µg/m³","MultiLineString ((433676.35836268 4583482.96615413, 433701.61460975 4583510.35400477))"
"T19239K","25-30 µg/m³","MultiLineString ((434155.44437492 4584176.7715862, 434085.03674219 4584107.79401389, 434130.42644765 4584059.90359757, 434155.08666762 4584083.84844746, 434173.31355698 4584065.6212818))"
"T20292K","25-30 µg/m³","MultiLineString ((428133.75391935 4583892.49881843, 428122.26796767 4583901.19591909, 428094.7020684 4583920.06515761, 428077.63815298 4583934.66930971, 428065.14219139 4583942.26941639))"
"T05498G","20-25 µg/m³","MultiLineString ((428406.90588897 4585807.90968971, 428454.94357929 4585757.14524279, 428466.25156168 4585752.50114927))"
"T10478N","20-25 µg/m³","MultiLineString ((428588.99088704 4583269.3544053, 428548.12617578 4583315.65478681))"
"T05414M","20-25 µg/m³","MultiLineString ((428883.55111436 4587985.17152927, 428900.52121114 4587994.48041494, 428895.13634412 4588013.13248548))"
"T18920Q","25-30 µg/m³","MultiLineString ((430650.74127646 4586985.51850828, 430654.02549495 4587013.70152834, 430596.80966058 4587047.28801507))"
"T08409B","20-25 µg/m³","MultiLineString ((429687.39269709 4584467.43086341, 429653.41810621 4584528.10421377))"
"T21334H","20-25 µg/m³","MultiLineString ((430223.3249788 4587297.82524431, 430219.90589762 4587287.80125435))"
"T00055P","20-25 µg/m³","MultiLineString ((432178.51565417 4581061.64278663, 432209.05989977 4580956.10539289))"
"T15539D","20-25 µg/m³","MultiLineString ((429240.25227823 4583451.4567263, 429279.49359735 4583485.45247935))"
"T06009H","20-25 µg/m³","MultiLineString ((432123.00172339 4587007.79139866, 432109.50770606 4587008.25650154, 432006.12164203 4587020.89530422))"
"T07123M","20-25 µg/m³","MultiLineString ((426139.9115488 4581749.21071276, 426300.14721546 4581804.32257847))"
"T12087K","20-25 µg/m³","MultiLineString ((431625.17060446 4586565.54646248, 431627.73337687 4586667.02160486))"
"T19680X","25-30 µg/m³","MultiLineString ((432868.49245763 4585104.79173004, 432864.06297147 4585173.20286701))"
