Any,Mes,Desc_Mes,Temperatura
1804,8,Agost,21.6
1804,9,Setembre,20.4
1804,10,Octubre,15.0
1804,11,Novembre,12.1
1804,12,Desembre,9.5
1805,1,Gener,6.7
1805,2,Febrer,8.1
1805,3,Març,9.9
1805,4,Abril,11.1
1805,5,Maig,15.1
1805,6,Juny,18.4
1805,7,Juliol,21.3
1805,8,Agost,21.6
1805,9,Setembre,19.5
1805,10,Octubre,14.7
1805,11,Novembre,10.9
1805,12,Desembre,6.5
1806,1,Gener,6.8
1806,2,Febrer,8.3
1806,3,Març,9.9
1806,4,Abril,9.5
1806,5,Maig,15.4
1806,6,Juny,20.5
1806,7,Juliol,21.5
1806,8,Agost,21.6
1806,9,Setembre,17.9
1806,10,Octubre,16.3
1806,11,Novembre,10.4
1806,12,Desembre,9.4
1807,1,Gener,6.6
1807,2,Febrer,8.0
1807,3,Març,6.4
1807,4,Abril,10.0
1807,5,Maig,16.5
1807,6,Juny,19.9
1807,7,Juliol,22.6
1807,8,Agost,23.8
1807,9,Setembre,19.5
1807,10,Octubre,17.2
1807,11,Novembre,9.8
1807,12,Desembre,6.5
1808,1,Gener,5.4
1808,2,Febrer,5.2
1808,3,Març,8.8
1808,4,Abril,11.2
1808,5,Maig,15.9
1808,6,Juny,18.0
1808,7,Juliol,22.9
1808,8,Agost,22.1
1808,9,Setembre,18.7
1808,10,Octubre,13.4
1808,11,Novembre,9.7
1808,12,Desembre,6.1
1809,1,Gener,9.5
1809,2,Febrer,9.2
1809,3,Març,9.4
1809,4,Abril,9.4
1809,5,Maig,14.7
1809,6,Juny,18.2
1809,7,Juliol,19.6
1809,8,Agost,21.1
1809,9,Setembre,17.6
1809,10,Octubre,14.4
1809,11,Novembre,8.2
1809,12,Desembre,6.6
1810,1,Gener,5.6
1810,2,Febrer,5.8
1810,3,Març,11.0
1810,4,Abril,10.9
1810,5,Maig,14.7
1810,6,Juny,17.1
1810,7,Juliol,20.5
1810,8,Agost,20.9
1810,9,Setembre,18.1
1810,10,Octubre,15.5
1810,11,Novembre,10.7
1810,12,Desembre,8.1
1811,1,Gener,5.3
1811,2,Febrer,9.9
1811,3,Març,10.6
1811,4,Abril,13.1
1811,5,Maig,17.1
1811,6,Juny,20.7
1811,7,Juliol,22.1
1811,8,Agost,20.9
1811,9,Setembre,19.0
1811,10,Octubre,17.6
1811,11,Novembre,11.1
1811,12,Desembre,8.2
1812,1,Gener,4.8
1812,2,Febrer,9.1
1812,3,Març,9.4
1812,4,Abril,10.5
1812,5,Maig,14.5
1812,6,Juny,19.1
1812,7,Juliol,20.3
1812,8,Agost,21.5
1812,9,Setembre,18.7
1812,10,Octubre,14.4
