IPEDSID,Year,Ranking
131159,2018,69
199193,2018,81
214777,2018,52
223232,2018,75
217882,2018,67
117946,2018,>150
171100,2018,81
196097,2018,97
235316,2018,>150
196079,2018,87
239105,2018,90
186867,2018,69
153658,2018,78
110714,2018,81
230038,2018,61
126775,2018,75
198516,2018,>150
131520,2018,110
228875,2018,78
110671,2018,124
196088,2018,97
130943,2018,81
445188,2018,>150
122436,2018,90
100858,2018,103
126614,2018,90
165334,2018,81
185828,2018,>150
145600,2018,>150
137351,2018,>150
127060,2018,87
209551,2018,103
230764,2018,>150
212054,2018,94
204024,2018,78
179159,2018,94
104179,2018,124
122612,2018,>150
195003,2018,>150
196103,2018,>150
181002,2018,>150
146719,2018,103
221759,2018,103
218663,2018,103
186399,2018,>150
129242,2018,>150
216339,2018,>150
104151,2018,115
111948,2018,>150
231174,2018,97
155317,2018,115
178396,2018,120
145725,2018,103
153603,2018,115
190044,2018,124
131450,2018,>150
202480,2018,124
207500,2018,97
193654,2018,>150
102049,2018,>150
186371,2018,>150
216366,2018,>150
144740,2018,>150
236595,2018,>150
186584,2018,>150
157085,2018,133
153269,2018,>150
183044,2018,103
174914,2018,>150
207971,2018,87
232186,2018,>150
100751,2018,110
100663,2018,>150
132903,2018,>150
110583,2018,>150
163268,2018,>150
131283,2018,120
167783,2018,>150
117140,2018,>150
181464,2018,124
228787,2018,>150
120883,2018,110
126818,2018,124
190567,2018,>150
212106,2018,>150
171128,2018,124
130226,2018,>150
122409,2018,>150
201885,2018,>150
176017,2018,>150
204857,2018,>150
106397,2018,133
236939,2018,>150
186131,2017,1
166683,2017,7
166027,2017,2
130794,2017,3
243744,2017,5
144050,2017,3
215062,2017,8
162928,2017,10
110404,2017,12
198419,2017,8
147767,2017,12
182670,2017,11
217156,2017,14
221999,2017,15
179867,2017,19
227757,2017,15
190415,2017,15
190150,2017,5
152080,2017,15
110662,2017,24
110635,2017,20
139658,2017,20
131496,2017,20
211440,2017,24
170976,2017,27
234076,2017,24
123961,2017,23
193900,2017,36
134130,2017,50
199120,2017,30
199847,2017,27
168148,2017,27
110705,2017,37
110680,2017,44
110653,2017,39
195030,2017,32
164924,2017,31
110644,2017,44
228778,2017,56
240444,2017,44
231624,2017,32
164988,2017,39
145637,2017,44
139755,2017,34
165015,2017,34
201645,2017,37
160755,2017,39
167358,2017,39
139959,2017,56
204796,2017,54
213543,2017,44
243780,2017,60
216597,2017,46
194824,2017,39
121150,2017,50
134097,2017,92
122931,2017,>150
135726,2017,44
163286,2017,60
236948,2017,54
186380,2017,70
196413,2017,60
215293,2017,68
131469,2017,56
174066,2017,71
233921,2017,74
129020,2017,>150
168421,2017,60
228723,2017,74
166629,2017,74
197708,2017,66
191241,2017,60
151351,2017,86
228246,2017,56
131159,2017,71
199193,2017,92
214777,2017,50
223232,2017,71
217882,2017,66
117946,2017,>150
171100,2017,82
196097,2017,96
235316,2017,>150
196079,2017,86
239105,2017,86
186867,2017,71
153658,2017,82
110714,2017,79
230038,2017,68
126775,2017,82
198516,2017,>150
131520,2017,124
228875,2017,82
110671,2017,118
196088,2017,99
130943,2017,79
445188,2017,>150
122436,2017,86
100858,2017,99
126614,2017,92
165334,2017,74
185828,2017,>150
145600,2017,>150
137351,2017,>150
127060,2017,86
209551,2017,103
230764,2017,>150
212054,2017,96
204024,2017,79
179159,2017,96
104179,2017,124
122612,2017,>150
195003,2017,>150
196103,2017,>150
181002,2017,>150
146719,2017,99
221759,2017,103
218663,2017,107
186399,2017,>150
129242,2017,>150
216339,2017,>150
104151,2017,129
111948,2017,>150
231174,2017,92
155317,2017,118
178396,2017,111
145725,2017,103
153603,2017,111
190044,2017,129
131450,2017,>150
202480,2017,111
207500,2017,111
193654,2017,>150
102049,2017,>150
186371,2017,>150
216366,2017,>150
144740,2017,>150
236595,2017,>150
186584,2017,>150
157085,2017,133
153269,2017,>150
183044,2017,107
174914,2017,>150
207971,2017,86
232186,2017,>150
100751,2017,103
100663,2017,>150
132903,2017,>150
110583,2017,>150
163268,2017,>150
131283,2017,124
167783,2017,>150
117140,2017,>150
181464,2017,111
228787,2017,>150
120883,2017,111
126818,2017,129
190567,2017,>150
212106,2017,>150
171128,2017,118
130226,2017,>150
122409,2017,>150
201885,2017,>150
176017,2017,>150
204857,2017,>150
106397,2017,135
236939,2017,>150
186131,2016,1
166683,2016,7
166027,2016,2
130794,2016,3
243744,2016,4
144050,2016,4
215062,2016,9
162928,2016,10
110404,2016,10
198419,2016,8
147767,2016,12
182670,2016,12
217156,2016,14
221999,2016,15
179867,2016,15
227757,2016,18
190415,2016,15
190150,2016,4
152080,2016,18
110662,2016,23
110635,2016,20
139658,2016,21
131496,2016,21
211440,2016,23
170976,2016,29
234076,2016,26
123961,2016,23
193900,2016,32
134130,2016,47
199120,2016,30
199847,2016,27
168148,2016,27
110705,2016,37
110680,2016,39
110653,2016,39
195030,2016,33
164924,2016,30
110644,2016,41
228778,2016,52
240444,2016,41
231624,2016,34
164988,2016,41
145637,2016,41
139755,2016,36
165015,2016,34
201645,2016,37
160755,2016,41
167358,2016,47
139959,2016,61
204796,2016,52
213543,2016,47
243780,2016,61
216597,2016,50
194824,2016,41
121150,2016,52
134097,2016,96
122931,2016,>150
135726,2016,51
163286,2016,57
236948,2016,52
186380,2016,72
196413,2016,61
215293,2016,66
131469,2016,57
174066,2016,69
233921,2016,70
129020,2016,>150
168421,2016,57
228723,2016,70
166629,2016,75
197708,2016,52
191241,2016,66
151351,2016,75
228246,2016,61
131159,2016,72
199193,2016,89
214777,2016,47
223232,2016,72
217882,2016,61
117946,2016,>150
171100,2016,75
196097,2016,89
235316,2016,>150
196079,2016,89
239105,2016,86
186867,2016,75
153658,2016,82
110714,2016,82
230038,2016,66
126775,2016,75
198516,2016,>150
131520,2016,135
228875,2016,82
110671,2016,121
196088,2016,99
130943,2016,75
445188,2016,>150
122436,2016,89
100858,2016,102
126614,2016,89
165334,2016,75
185828,2016,>150
145600,2016,>150
137351,2016,>150
127060,2016,86
209551,2016,103
230764,2016,>150
212054,2016,99
204024,2016,82
179159,2016,96
104179,2016,121
122612,2016,>150
195003,2016,>150
196103,2016,>150
181002,2016,>150
146719,2016,99
221759,2016,103
218663,2016,108
186399,2016,>150
129242,2016,>150
216339,2016,>150
104151,2016,129
111948,2016,>150
231174,2016,89
155317,2016,115
178396,2016,103
145725,2016,108
153603,2016,108
190044,2016,115
131450,2016,>150
202480,2016,108
207500,2016,108
193654,2016,>150
102049,2016,>150
186371,2016,>150
216366,2016,>150
144740,2016,>150
236595,2016,>150
186584,2016,>150
157085,2016,129
153269,2016,>150
183044,2016,103
174914,2016,>150
207971,2016,86
232186,2016,>150
100751,2016,96
100663,2016,>150
132903,2016,>150
110583,2016,>150
163268,2016,>150
131283,2016,123
167783,2016,>150
117140,2016,>150
181464,2016,103
228787,2016,>150
120883,2016,108
126818,2016,127
190567,2016,>150
212106,2016,>150
171128,2016,123
130226,2016,>150
122409,2016,>150
201885,2016,>150
176017,2016,>150
204857,2016,>150
106397,2016,129
236939,2016,>150
186131,2015,1
166683,2015,7
166027,2015,2
130794,2015,3
243744,2015,4
144050,2015,4
215062,2015,8
162928,2015,12
110404,2015,10
198419,2015,8
147767,2015,13
182670,2015,11
217156,2015,16
221999,2015,16
179867,2015,14
227757,2015,19
190415,2015,15
190150,2015,4
152080,2015,16
110662,2015,23
110635,2015,20
139658,2015,21
131496,2015,21
211440,2015,25
170976,2015,29
234076,2015,23
123961,2015,25
193900,2015,32
134130,2015,48
199120,2015,30
199847,2015,27
168148,2015,27
110705,2015,40
110680,2015,37
110653,2015,42
195030,2015,33
164924,2015,31
110644,2015,38
228778,2015,53
240444,2015,47
231624,2015,33
164988,2015,42
145637,2015,42
139755,2015,36
165015,2015,35
201645,2015,38
160755,2015,54
167358,2015,42
139959,2015,62
204796,2015,54
213543,2015,40
243780,2015,62
216597,2015,>150
194824,2015,42
121150,2015,54
134097,2015,95
122931,2015,>150
135726,2015,48
163286,2015,62
236948,2015,48
186380,2015,70
196413,2015,58
215293,2015,62
131469,2015,54
174066,2015,71
233921,2015,71
129020,2015,58
168421,2015,68
228723,2015,68
166629,2015,76
197708,2015,48
191241,2015,58
151351,2015,76
228246,2015,58
131159,2015,71
199193,2015,95
214777,2015,48
223232,2015,71
217882,2015,62
117946,2015,>150
171100,2015,85
196097,2015,88
235316,2015,>150
196079,2015,88
239105,2015,76
186867,2015,76
153658,2015,71
110714,2015,85
230038,2015,62
126775,2015,88
198516,2015,>150
131520,2015,145
228875,2015,76
110671,2015,113
196088,2015,103
130943,2015,76
445188,2015,>150
122436,2015,95
100858,2015,103
126614,2015,88
165334,2015,76
185828,2015,>150
145600,2015,>150
137351,2015,>150
127060,2015,88
209551,2015,106
230764,2015,>150
212054,2015,95
204024,2015,76
179159,2015,99
104179,2015,121
122612,2015,>150
195003,2015,>150
196103,2015,>150
181002,2015,>150
146719,2015,106
221759,2015,106
218663,2015,113
186399,2015,>150
129242,2015,>150
216339,2015,>150
104151,2015,129
111948,2015,>150
231174,2015,85
155317,2015,106
178396,2015,99
145725,2015,116
153603,2015,106
190044,2015,121
131450,2015,>150
202480,2015,103
207500,2015,106
193654,2015,>150
102049,2015,>150
186371,2015,>150
216366,2015,>150
144740,2015,>150
236595,2015,>150
186584,2015,>150
157085,2015,129
153269,2015,>150
183044,2015,99
174914,2015,>150
207971,2015,88
232186,2015,>150
100751,2015,88
100663,2015,>150
132903,2015,>150
110583,2015,>150
163268,2015,>150
131283,2015,116
167783,2015,>150
117140,2015,>150
181464,2015,99
228787,2015,>150
120883,2015,116
126818,2015,121
190567,2015,>150
212106,2015,>150
171128,2015,116
130226,2015,>150
122409,2015,>150
201885,2015,>150
176017,2015,>150
204857,2015,129
106397,2015,135
236939,2015,138
186131,2014,1
166683,2014,7
166027,2014,2
130794,2014,3
243744,2014,5
144050,2014,5
215062,2014,7
162928,2014,12
110404,2014,10
198419,2014,7
147767,2014,12
182670,2014,10
217156,2014,14
221999,2014,17
179867,2014,14
227757,2014,18
190415,2014,16
190150,2014,4
152080,2014,18
110662,2014,23
110635,2014,20
139658,2014,20
131496,2014,20
211440,2014,23
170976,2014,28
234076,2014,23
123961,2014,23
193900,2014,32
134130,2014,49
199120,2014,30
199847,2014,23
168148,2014,28
110705,2014,41
110680,2014,39
110653,2014,49
195030,2014,32
164924,2014,31
110644,2014,39
228778,2014,52
240444,2014,41
231624,2014,32
164988,2014,41
145637,2014,41
139755,2014,36
165015,2014,32
201645,2014,37
160755,2014,52
167358,2014,49
139959,2014,60
204796,2014,52
213543,2014,41
243780,2014,68
216597,2014,>150
194824,2014,41
121150,2014,57
134097,2014,91
122931,2014,>150
135726,2014,47
163286,2014,62
236948,2014,52
186380,2014,69
196413,2014,62
215293,2014,62
131469,2014,52
174066,2014,69
233921,2014,69
129020,2014,57
168421,2014,62
228723,2014,69
166629,2014,91
197708,2014,47
191241,2014,57
151351,2014,75
228246,2014,60
131159,2014,75
199193,2014,101
214777,2014,37
223232,2014,75
217882,2014,62
117946,2014,>150
171100,2014,73
196097,2014,82
235316,2014,>150
196079,2014,97
239105,2014,75
186867,2014,82
153658,2014,73
110714,2014,86
230038,2014,62
126775,2014,91
198516,2014,>150
