TRAM,Measurement,Unit,X_Coordinate,Y_Coordinate
T03090E,25-30,µg/m³,427396.8989564,4580887.79682386
T18229E,20-25,µg/m³,432755.36474997,4582536.50167992
T13624R,20-25,µg/m³,429684.09197032,4585161.02793575
T07927O,25-30,µg/m³,429561.05511724,4584022.5491516
LVA0006,>40,µg/m³,426294.20536546,4584063.87707906
T07087Z,20-25,µg/m³,426806.86534183,4582376.14260155
T09385O,25-30,µg/m³,433188.02703364,4584590.23253339
T18119Z,20-25,µg/m³,430910.8234869,4588676.13622426
T00341S,20-25,µg/m³,431374.85549168,4581203.74309339
T08776V,25-30,µg/m³,428880.64207871,4585735.92196787
T07253V,20-25,µg/m³,427628.32197574,4582160.44402052
LRD0024,25-30,µg/m³,431367.95692496,4588598.20902964
T08957Y,30-35,µg/m³,431999.76928926,4584732.87073986
T04802Q,25-30,µg/m³,429335.62829614,4586200.06924696
T10835O,25-30,µg/m³,426535.64334797,4583222.40096186
T17237A,25-30,µg/m³,432460.46043493,4588879.85180811
T06084S,20-25,µg/m³,432206.30354322,4586702.99828318
T21568X,15-20,µg/m³,427626.43272097,4586738.25411512
T10585P,25-30,µg/m³,427337.87245515,4583204.28382789
T07114L,20-25,µg/m³,426963.64167441,4582519.62862855
T17484N,20-25,µg/m³,428792.85852714,4584364.16251681
T06121G,20-25,µg/m³,432414.28602837,4586856.66195359
T19121X,20-25,µg/m³,426463.77902166,4583194.13446567
T10497Q,20-25,µg/m³,428214.61487266,4582817.33156478
T17231U,25-30,µg/m³,428209.73166836,4578311.77765378
T20992F,20-25,µg/m³,428872.52753536,4580269.18565047
T02801H,25-30,µg/m³,427430.07333687,4580535.8460284
T00019L,25-30,µg/m³,432209.05989977,4580956.10539289
T17677U,20-25,µg/m³,434055.05802898,4583888.58190686
T02365I,20-25,µg/m³,431273.09042247,4582531.27189582
T18715N,25-30,µg/m³,427029.47297023,4583203.4111739
T07872Q,25-30,µg/m³,429309.27062764,4583877.8758486
T13108C,20-25,µg/m³,432847.9358549,4581873.5839635
T12275M,20-25,µg/m³,430921.01040099,4586550.44176813
T04407J,20-25,µg/m³,430979.4565709,4585371.81343948
T09585U,25-30,µg/m³,433568.1714053,4585351.55182442
T21101S,20-25,µg/m³,430638.83785047,4581927.2917774
T14400H,20-25,µg/m³,432492.58104112,4588161.92643107
T20177I,25-30,µg/m³,433279.69300165,4584304.60640633
T12165H,20-25,µg/m³,431175.0177695,4587075.43768246
T07005H,20-25,µg/m³,432164.92729357,4590288.16820518
T19228H,25-30,µg/m³,430278.4672486,4586661.78180988
T01983Y,25-30,µg/m³,430027.75738231,4583042.29011213
T19378U,25-30,µg/m³,433465.8073134,4584307.9680033
T07140N,20-25,µg/m³,427190.76041134,4581780.17076563
T13741V,20-25,µg/m³,426562.63636695,4583614.29335511
T00565G,20-25,µg/m³,431548.8279914,4581628.99242769
T17884Z,25-30,µg/m³,429039.89380734,4585403.12822225
T07278E,20-25,µg/m³,427464.2984378,4581991.33300898
T18615K,15-20,µg/m³,426392.88002186,4585051.02383444
T04825X,20-25,µg/m³,429596.56472635,4586071.43205511
T08211P,20-25,µg/m³,430059.44833656,4583555.80565099
T20101O,20-25,µg/m³,432586.98324161,4588169.11072762
T17689Y,25-30,µg/m³,428156.63804803,4579559.37699476
T16401Q,20-25,µg/m³,432690.65416439,4582604.14627329
T14412L,20-25,µg/m³,432586.98324161,4588169.11072762
T15415S,25-30,µg/m³,427022.15854047,4582621.72533969
T18076F,20-25,µg/m³,430474.57181852,4587357.30143456
T06124J,20-25,µg/m³,432622.97973141,4586906.93845403
T08611B,20-25,µg/m³,428716.91897741,4585227.50540085
T19177N,30-35,µg/m³,432231.55898054,4581646.92214198
T00229T,25-30,µg/m³,432057.5976422,4581479.57934472
RD0082D,30-35,µg/m³,428033.99579497,4585500.63024412
T21380N,30-35,µg/m³,428125.12647534,4582520.02179131
T05515Q,20-25,µg/m³,428224.36720095,4586943.22389012
T19002R,25-30,µg/m³,429512.6437531,4587941.08767376
T10159B,20-25,µg/m³,432516.68885895,4582993.88118559
T08312T,20-25,µg/m³,430391.74549237,4584297.45225096
T17996G,20-25,µg/m³,429877.76537589,4585174.92748205
T18975F,15-20,µg/m³,423287.85302204,4585823.17570178
T16574K,25-30,µg/m³,430917.36113804,4581908.4036387
T09659V,20-25,µg/m³,432797.97582547,4585563.45598868
T03375O,20-25,µg/m³,426973.45477418,4580949.9931401
T00674K,25-30,µg/m³,431378.00198728,4581926.40217705
T09909U,25-30,µg/m³,434606.946275,4584861.31221153
T15638F,25-30,µg/m³,431665.66065023,4581691.93863917
T00523W,20-25,µg/m³,431774.99545327,4582038.58734191
T02235Z,25-30,µg/m³,429583.60822737,4582980.47739722
T17190C,20-25,µg/m³,432471.76121155,4587397.04637701
T20519K,20-25,µg/m³,427675.40379177,4585812.98426735
T12765Z,>40,µg/m³,431095.45923874,4588488.77820414
T05694I,25-30,µg/m³,431658.64371143,4585383.99932053
T07363A,20-25,µg/m³,427408.81819259,4581838.64319662
T02324Z,25-30,µg/m³,430600.46580697,4582455.63087451
T14857K,25-30,µg/m³,431405.57239632,4581843.02784063
T06052K,20-25,µg/m³,432245.85649523,4586820.61417103
T04687F,20-25,µg/m³,430957.59651023,4586293.20208029
T21503G,20-25,µg/m³,433153.51855438,4586643.60302035
T16802D,25-30,µg/m³,425851.53146752,4575464.83112987
T05069P,20-25,µg/m³,430025.23940229,4586733.75885158
T15302K,20-25,µg/m³,433112.53635016,4588471.90222631
T16012H,15-20,µg/m³,424516.93367771,4586711.90474841
T04331G,25-30,µg/m³,431131.28625465,4585299.030174
T02862U,25-30,µg/m³,427580.19194071,4580321.31855556
T03706N,25-30,µg/m³,430512.6280079,4580525.85858557
T10975Z,20-25,µg/m³,426468.8344768,4583647.93912061
T18281I,25-30,µg/m³,433018.79029333,4585976.50197756
T06110D,20-25,µg/m³,432536.20234627,4587005.7712679
T16787V,20-25,µg/m³,425851.85363082,4575617.74235901
T06138P,20-25,µg/m³,432557.26313677,4586841.8388479
T12608N,20-25,µg/m³,430456.70949963,4587318.84950857
T19627S,25-30,µg/m³,433438.54573124,4585817.00854774
T10210N,25-30,µg/m³,432326.26644369,4583372.43120409
T16906K,20-25,µg/m³,426095.05511356,4584466.31821427
T19761X,15-20,µg/m³,426673.18270461,4584951.86754891
T12199R,20-25,µg/m³,431019.78858254,4586950.44065847
T06169W,20-25,µg/m³,432419.75274184,4586817.72585029
T04250G,30-35,µg/m³,430394.61325662,4584791.48997525
T12013S,20-25,µg/m³,431960.70245277,4588852.45955024
T10744M,20-25,µg/m³,426677.9848215,4583123.99472789
T02015P,25-30,µg/m³,429709.5354697,4582723.73304818
T05868M,25-30,µg/m³,432406.6475605,4586136.32286398
T19208D,20-25,µg/m³,431763.7062997,4588081.03782235
T20969G,25-30,µg/m³,431272.36278117,4586132.59544139
T17139Z,25-30,µg/m³,432758.15834771,4584455.57858154
T12149H,20-25,µg/m³,431333.72729957,4586980.95033051
T01831J,20-25,µg/m³,428978.40791279,4582009.29751876
T21399Y,20-25,µg/m³,433741.1630505,4587513.14395221
T09755U,25-30,µg/m³,434194.33414392,4585586.17146298
T13814V,20-25,µg/m³,423930.73111057,4586626.04907707
T00813D,25-30,µg/m³,431281.81156178,4581758.3856485
T06203H,20-25,µg/m³,432201.16692663,4587414.63545337
T12983H,15-20,µg/m³,430816.23390737,4590201.858348
T00244S,20-25,µg/m³,432089.99002138,4581259.63476159
T03310X,25-30,µg/m³,428566.14979337,4580760.49573678
T15299G,25-30,µg/m³,431228.69073302,4584027.59350738
T17765T,25-30,µg/m³,431036.67569218,4583535.38521424
T04135E,25-30,µg/m³,427141.15440539,4575853.84692741
T18082D,25-30,µg/m³,430314.54447963,4587477.39283755
T19609Q,20-25,µg/m³,428467.10359299,4587077.35325616
T13037E,20-25,µg/m³,430286.21108062,4588354.68244655
T14159R,20-25,µg/m³,428881.83112464,4585609.59975655
T07975W,20-25,µg/m³,429936.93198157,4583928.38214819
T11867A,15-20,µg/m³,426322.05168061,4585944.31978242
T11816P,15-20,µg/m³,424920.94729217,4586445.6952497
T10354C,25-30,µg/m³,428730.56755889,4582934.25681727
LRD0002,>40,µg/m³,432116.19093288,4588709.88414238
T21345K,25-30,µg/m³,429129.22649364,4586400.48613817
T00432U,25-30,µg/m³,431667.23739017,4581657.39157428
T07190X,20-25,µg/m³,425515.94463961,4583206.1786996
T18737T,25-30,µg/m³,432015.92489169,4582047.32153061
T08515C,20-25,µg/m³,429799.55731737,4585051.76089186
T02170Z,25-30,µg/m³,429172.47552669,4582577.08791024
T19577Z,30-35,µg/m³,427481.8523647,4582373.16846094
LRD0034,30-35,µg/m³,429302.07986448,4587792.64700269
T08645L,25-30,µg/m³,428409.14445687,4585750.35758062
T09455L,25-30,µg/m³,433618.48779966,4584341.03989839
T04752X,25-30,µg/m³,431432.92448984,4585532.87326676
T16067W,25-30,µg/m³,431297.75352791,4582013.86691867
T18042V,15-20,µg/m³,427530.42456813,4587925.8257302
T00376D,25-30,µg/m³,431498.72035786,4581424.18149325
T02805L,20-25,µg/m³,427240.41354351,4580206.23796093
T10800D,25-30,µg/m³,426662.36117141,4583304.89812338
T04930X,20-25,µg/m³,429555.47131916,4585761.73487198
T19986M,15-20,µg/m³,425453.67271996,4585467.9576374
T06645D,20-25,µg/m³,433758.92775392,4587734.19416738
T18817S,25-30,µg/m³,427713.85308461,4581498.90135426
T20072A,30-35,µg/m³,431358.12963325,4583593.80886943
T21014U,25-30,µg/m³,431804.84442005,4585844.16395094
T09516H,25-30,µg/m³,433749.57725029,4585162.38215265
T20595W,20-25,µg/m³,429444.37722763,4583797.82369887
T20771U,20-25,µg/m³,431304.30504831,4590252.10472773
T01833L,25-30,µg/m³,429057.74496007,4581736.16049711
T16063S,25-30,µg/m³,427742.04204744,4583594.55634677
T18500A,30-35,µg/m³,427624.294129,4579546.24002047
T20018U,25-30,µg/m³,433846.00784751,4584301.37511678
T00610U,25-30,µg/m³,431684.3497122,4581827.8987059
T14855I,25-30,µg/m³,431339.04953003,4581874.15639215
T01996D,25-30,µg/m³,430469.58548679,4583097.76984318
LRD0044,25-30,µg/m³,428272.39878068,4586171.9369396
T11672R,15-20,µg/m³,425443.42098939,4584583.64735611
T07902F,20-25,µg/m³,429268.53687578,4584181.73061932
T18866B,25-30,µg/m³,428477.93557058,4579826.72496651
T19948G,25-30,µg/m³,429071.08189851,4585805.25962908
T01236W,20-25,µg/m³,430523.79077467,4581282.7616627
T15308Q,20-25,µg/m³,425039.31680922,4582272.2828934
T06140J,25-30,µg/m³,432550.73492488,4586815.19985494
T17977D,20-25,µg/m³,428344.25913108,4586909.45292391
T19353L,20-25,µg/m³,430369.7069243,4587656.84770542
T21325G,20-25,µg/m³,430498.62895347,4587106.07185212
T10728M,25-30,µg/m³,426759.96703608,4582872.17871859
T19274N,30-35,µg/m³,429497.75332465,4581958.15349045
T18648T,25-30,µg/m³,426553.51668902,4583526.92429115
T20738T,25-30,µg/m³,430993.43234554,4584550.14107885
T00841H,20-25,µg/m³,431306.28710303,4581824.63156451
T13516O,20-25,µg/m³,430462.98368061,4588265.63196612
T08282E,20-25,µg/m³,430085.34821333,4584323.02361588
T11740M,15-20,µg/m³,425642.00805749,4584551.84979507
T01691P,25-30,µg/m³,429256.29972859,4581533.78067698
T18656T,25-30,µg/m³,426626.48176147,4583389.9075264
T16128S,25-30,µg/m³,431405.23639299,4585525.72346479
T12699G,20-25,µg/m³,431367.58723306,4588285.20614562
T00352V,20-25,µg/m³,431589.72659302,4581568.24002476
T06389G,20-25,µg/m³,432424.49812879,4587659.67215131
T02581O,30-35,µg/m³,431533.63702673,4584135.74636319
T19106Y,20-25,µg/m³,429604.97664633,4583820.24851063
T10176C,25-30,µg/m³,432310.01952322,4582991.63274674
T10146W,25-30,µg/m³,432399.79453663,4582712.10464041
T10217U,25-30,µg/m³,432322.92804034,4583188.55194925
T20907S,25-30,µg/m³,432400.22518305,4582139.21576102
T12611I,25-30,µg/m³,430537.42287458,4587351.82994995
T08907O,25-30,µg/m³,431651.13836596,4585207.75609507
T10565L,25-30,µg/m³,428002.47801935,4583274.61387692
T20565Q,25-30,µg/m³,428298.6795062,4586043.7608906
T01760L,20-25,µg/m³,429741.03025367,4580846.46393677
T20505E,25-30,µg/m³,428261.40366328,4578168.73903848
T09008S,25-30,µg/m³,431557.82819576,4584810.15320074
T18002N,25-30,µg/m³,428621.30766191,4586130.34557285
T15688P,25-30,µg/m³,431017.03877148,4581445.06117434
T03713M,20-25,µg/m³,430967.74094023,4580555.79218251
T09639R,25-30,µg/m³,434066.29743088,4585650.00153311
T05715W,25-30,µg/m³,431949.6352581,4585661.16456277
T14929J,25-30,µg/m³,428098.81574913,4579531.70139135
T10273C,20-25,µg/m³,434591.321637,4585306.85901536
T00604W,25-30,µg/m³,431579.14812101,4581771.49041634
T15681I,25-30,µg/m³,431085.4896878,4581683.33002074
T00692M,25-30,µg/m³,431410.85513489,4582070.72814899
T19951B,25-30,µg/m³,432504.74435521,4584902.10517523
T03207Z,20-25,µg/m³,427869.60176554,4580898.27524535
T16781P,25-30,µg/m³,425791.00261719,4576022.73243417
T14979T,25-30,µg/m³,429572.58666245,4586728.45328758
T15221K,20-25,µg/m³,431362.80055726,4587801.09841432
T11111P,20-25,µg/m³,428355.04832502,4583637.69274647
T19258N,25-30,µg/m³,430048.71933821,4586456.28322953
T00033J,25-30,µg/m³,432232.26832427,4580875.61109318
T07655J,20-25,µg/m³,426459.43967228,4581173.13339395
T02867Z,20-25,µg/m³,427491.98672117,4580310.31220917
T19405G,25-30,µg/m³,434325.00770492,4584580.33291722
T02584R,25-30,µg/m³,431553.4547986,4583970.28996233
T16453C,20-25,µg/m³,433660.30986781,4583552.64238184
T01523A,20-25,µg/m³,431236.68634119,4581606.93375838
T20301U,25-30,µg/m³,430602.63863386,4581511.38341546
T10142S,20-25,µg/m³,432399.79453663,4582712.10464041
T01048U,20-25,µg/m³,430659.10978919,4581783.51340403
T01510V,25-30,µg/m³,431067.1608796,4581580.69800243
T17451E,25-30,µg/m³,433391.03123278,4584575.37697504
T17792W,20-25,µg/m³,428929.24264786,4585801.17870233
T10855S,20-25,µg/m³,426596.32330856,4583468.08887541
T15537B,25-30,µg/m³,426698.9502374,4582121.00203105
T11676V,15-20,µg/m³,425356.16895906,4584465.95284137
T12735T,20-25,µg/m³,431421.44457561,4588451.32700072
T09074C,25-30,µg/m³,432220.78969038,4584346.54048238
T06119M,20-25,µg/m³,432300.62757601,4586820.11275569
T20094G,20-25,µg/m³,429299.93533698,4586476.98696109
T10445E,25-30,µg/m³,428320.04248685,4583008.29105401
RD0052Z,35-40,µg/m³,428487.79372076,4586711.91566355
T15403O,25-30,µg/m³,430091.14044322,4580010.53198973
T16032L,15-20,µg/m³,424380.33197557,4585327.04359009
T01159A,25-30,µg/m³,430496.73185046,4581034.99548788
T21022U,15-20,µg/m³,424296.72334071,4586844.83663582
T21199S,30-35,µg/m³,428464.91615108,4584118.53064083
T21003R,20-25,µg/m³,428363.84495505,4585957.59025682
T12901P,15-20,µg/m³,431386.47234898,4589220.06748035
T18671S,15-20,µg/m³,425159.44340529,4584301.82508947
T07263X,20-25,µg/m³,427598.44439746,4582090.38314039
T18498X,20-25,µg/m³,427277.73446336,4580847.07766726
T05718Z,25-30,µg/m³,431785.21083986,4585507.3015605
T19600H,30-35,µg/m³,428585.44420752,4587036.67278213
T10578Q,20-25,µg/m³,427401.03684747,4582979.7900042
T07107M,20-25,µg/m³,426707.2742906,4582521.42158221
T09671R,25-30,µg/m³,433018.79029333,4585976.50197756
T09825R,20-25,µg/m³,434453.7904932,4585447.72128003
T03195M,25-30,µg/m³,427876.4918513,4581171.64761393
LRD0051,30-35,µg/m³,432594.03041525,4588718.11653571
T12144C,25-30,µg/m³,431402.68838466,4586846.05259359
T17294J,20-25,µg/m³,433594.0196874,4583673.82606823
T09539O,25-30,µg/m³,432965.48234133,4585201.3141426
T16948U,20-25,µg/m³,426465.87393382,4583708.70023588
T02927U,25-30,µg/m³,428116.15945572,4580543.86082421
T05991O,20-25,µg/m³,432123.00172339,4587007.79139866
T20876C,25-30,µg/m³,432223.07071515,4589796.67912961
T08877Z,20-25,µg/m³,431724.79426308,4585047.93629658
T02172B,25-30,µg/m³,429268.68039231,4582671.44832231
T17636L,25-30,µg/m³,430627.91964438,4581639.21841959
T16259C,25-30,µg/m³,430129.39442566,4587375.98708343
T16860N,15-20,µg/m³,425101.3970634,4583083.56666764
T08041P,20-25,µg/m³,429630.26268423,4584345.91811449
T14329R,20-25,µg/m³,433551.87352842,4583661.44136829
T10686T,25-30,µg/m³,427282.72015585,4583307.76240566
T07564H,20-25,µg/m³,425628.1907662,4581882.47081163
T09910N,25-30,µg/m³,434695.65405084,4584945.40966832
T06872M,20-25,µg/m³,431328.14628467,4586319.80731833
T04969M,20-25,µg/m³,429050.2064679,4585752.63070374
T05376X,25-30,µg/m³,429891.51964762,4587717.87943709
T13910U,20-25,µg/m³,427393.34797762,4582866.85689007
T00883R,25-30,µg/m³,431246.19803612,4581959.64522624
T08134T,25-30,µg/m³,429503.77510475,4583375.11460494
T21376R,25-30,µg/m³,428003.4564742,4582544.6367547
T06133K,20-25,µg/m³,432564.45145894,4587146.86427823
T06411N,25-30,µg/m³,432487.69879343,4587338.62016364
T21139G,25-30,µg/m³,431753.70655234,4585475.73374829
T08579S,20-25,µg/m³,428715.97467457,4584925.03595108
T02402W,25-30,µg/m³,429268.52765645,4580731.7923526
T02873X,20-25,µg/m³,427651.49077957,4580153.78875451
T04220A,25-30,µg/m³,430645.55050921,4584905.07524748
T04452O,25-30,µg/m³,430903.74320425,4585735.28259508
T08988F,25-30,µg/m³,431409.43136896,4584600.20200632
T16228V,20-25,µg/m³,429070.45876259,4587698.18337354
T12777D,20-25,µg/m³,431206.34311674,4588698.69102137
T04806U,25-30,µg/m³,429335.62829614,4586200.06924696
T17067A,25-30,µg/m³,431223.16245012,4581492.40968535
T02976D,20-25,µg/m³,428047.69145429,4580294.03495916
T15974S,25-30,µg/m³,427459.6242099,4584331.34561768
T03224A,25-30,µg/m³,428001.87466015,4580857.51117672
T11127X,20-25,µg/m³,428016.959834,4583641.98632637
T07379I,25-30,µg/m³,427682.69418437,4582440.1630354
T09673T,20-25,µg/m³,433217.50516548,4585787.20417232
T06216M,20-25,µg/m³,432280.61281956,4587252.32259423
T06896U,20-25,µg/m³,432224.58110052,4585188.1267271
T03403B,25-30,µg/m³,427176.63498526,4580541.06496357
T11797D,15-20,µg/m³,425472.12640759,4583843.00300759
T19075I,20-25,µg/m³,426902.97467297,4583058.47591519
T19620L,20-25,µg/m³,428372.59636903,4587199.15816906
T18644P,20-25,µg/m³,426532.93926236,4583474.96936845
T16198G,25-30,µg/m³,428967.70702584,4586371.73032162
T07217R,20-25,µg/m³,425351.06834984,4582806.65334201
T00339Y,25-30,µg/m³,431478.67344269,4581307.79746657
T06288C,20-25,µg/m³,432113.44999772,4587177.94974147
T02445H,20-25,µg/m³,428345.91597899,4582146.50253997
T02759W,20-25,µg/m³,431733.71945592,4582442.04427136
T12530I,20-25,µg/m³,430237.90733173,4587341.46120291
T05664C,15-20,µg/m³,429103.69320779,4588612.42484821
T01917O,30-35,µg/m³,429928.63918458,4582378.71485552
T00832G,20-25,µg/m³,431330.55406077,4581814.13336463
T19599F,25-30,µg/m³,428555.92149536,4587046.28953082
T08121O,20-25,µg/m³,429775.54115272,4583326.25846277
T15705Z,25-30,µg/m³,431227.76341307,4582144.57364861
T12998O,20-25,µg/m³,431429.65425847,4590254.09878084
T05903Y,20-25,µg/m³,432584.21951638,4586094.34745344
T17224V,25-30,µg/m³,428037.05807042,4580509.15637209
T19240D,25-30,µg/m³,434244.53383231,4584087.4477762
T02935U,25-30,µg/m³,428102.68792347,4580608.22702591
T11771T,15-20,µg/m³,425038.30851804,4584999.66007549
T12477U,25-30,µg/m³,430913.67701482,4587425.35621804
T06408S,20-25,µg/m³,432446.67979151,4587478.6916964
T07899B,20-25,µg/m³,429758.15919831,4583861.70940769
T10662L,20-25,µg/m³,428004.10627599,4583439.62711603
T05716X,25-30,µg/m³,431855.09682594,4585755.44042883
T16959X,20-25,µg/m³,429147.37753494,4584555.93910824
T03439N,25-30,µg/m³,426830.99890835,4580733.10688863
T04192N,20-25,µg/m³,430266.20108774,4580718.32974889
T00101E,25-30,µg/m³,432355.85500291,4581203.16966085
T12079K,20-25,µg/m³,431444.77706973,4588115.9052928
T10656N,20-25,µg/m³,427780.36734924,4583363.2937026
T09876C,25-30,µg/m³,432814.47575045,4585946.36547525
T10132Q,20-25,µg/m³,432501.60289444,4582606.97070896
RL0016P,30-35,µg/m³,428790.48579919,4577957.26683292
T16018N,15-20,µg/m³,424876.04139122,4586864.02925457
T03588Z,25-30,µg/m³,429947.16425175,4580409.49469815
T11608J,25-30,µg/m³,427702.580433,4585231.54913208
T18569V,20-25,µg/m³,429458.970654,4582667.25586826
T18812N,20-25,µg/m³,426239.68725842,4583007.80088627
T08593Q,20-25,µg/m³,428724.55482063,4585073.91911075
T18893E,20-25,µg/m³,429051.49507049,4586624.67708761
T00116L,25-30,µg/m³,432287.11449459,4581281.86630252
T05558B,20-25,µg/m³,427918.40889179,4586304.74620204
T00092U,25-30,µg/m³,432196.49442949,4581160.06280177
T06643B,20-25,µg/m³,433781.47970842,4587591.72277138
T07525A,20-25,µg/m³,425361.06970736,4582061.16711959
T01774R,25-30,µg/m³,428875.40530646,4581160.4500005
T16969Z,25-30,µg/m³,428842.09118768,4585626.07008548
T04567Y,20-25,µg/m³,430912.79500491,4586103.48811602
T06460W,25-30,µg/m³,431872.01472535,4587587.23321925
T06929M,20-25,µg/m³,432398.87495849,4589357.00802633
T19497A,20-25,µg/m³,431359.20521004,4582354.26097346
T07183Y,15-20,µg/m³,425177.24073605,4583024.89200022
RD0033G,35-40,µg/m³,428898.95821422,4587543.02825425
T17624H,25-30,µg/m³,434026.20525413,4585898.79823274
T20537M,20-25,µg/m³,431084.33223916,4586759.835866
T07522X,20-25,µg/m³,425334.41394892,4582221.98980855
T17555L,25-30,µg/m³,428974.39203826,4581631.72197098
T06876Q,20-25,µg/m³,431330.26068567,4586240.25517526
T15051K,25-30,µg/m³,427932.04198522,4580782.77959256
T19805S,25-30,µg/m³,430659.255743,4581382.59478927
T04834Y,25-30,µg/m³,429625.47512152,4586249.86512052
T20362H,20-25,µg/m³,430987.34365654,4580777.78137529
T15691K,25-30,µg/m³,431040.1259552,4581464.54102928
T21208C,20-25,µg/m³,434744.28350919,4585127.27857655
T01937S,20-25,µg/m³,428982.06180782,4582389.57007246
T08670M,25-30,µg/m³,428017.6213931,4585557.9522539
T20267J,25-30,µg/m³,432410.80235713,4585976.56657761
T11551J,25-30,µg/m³,426449.92752159,4584184.13808213
T16858T,20-25,µg/m³,426083.16203473,4581034.08404141
T06214K,20-25,µg/m³,432033.69316562,4587348.37261599
T06220I,20-25,µg/m³,431924.50534669,4587394.55951595
T13956I,25-30,µg/m³,427756.84848926,4578907.5120215
T21170F,20-25,µg/m³,431168.12437931,4585572.29233343
T05810U,25-30,µg/m³,431603.89450733,4585368.18970939
T07060O,25-30,µg/m³,426600.53084751,4582089.73573188
T16265A,20-25,µg/m³,430878.5625417,4587370.07539596
T10027Q,20-25,µg/m³,433692.7209044,4583419.38593329
T03694A,20-25,µg/m³,430786.98331886,4580510.8314832
T20509I,25-30,µg/m³,428229.42637418,4578137.07523205
T16974W,25-30,µg/m³,430791.53664808,4584630.89372885
T14664D,20-25,µg/m³,428621.30766191,4586130.34557285
T21456Q,25-30,µg/m³,427955.14222931,4578833.01939895
T17157B,20-25,µg/m³,432989.25651911,4585748.2348368
T12514I,25-30,µg/m³,430428.71306844,4587399.69784932
T08809N,25-30,µg/m³,432461.49125337,4584503.2238985
T07600U,25-30,µg/m³,426532.72613803,4581087.77370479
T13273O,20-25,µg/m³,434321.9431541,4584771.43723069
T18792A,25-30,µg/m³,426978.72008897,4584545.28060465
T07497N,20-25,µg/m³,425649.74886527,4582418.16747188
T18248H,25-30,µg/m³,432155.65172899,4584364.812003
T18651O,20-25,µg/m³,426564.95974815,4583532.36721234
T20059D,25-30,µg/m³,433521.04659091,4584727.61622241
T01952R,20-25,µg/m³,428979.69835253,4582198.52879842
T03726R,25-30,µg/m³,430536.6728037,4580362.38415192
T02438I,20-25,µg/m³,428345.91597899,4582146.50253997
T17347F,25-30,µg/m³,429067.11470238,4585912.29583058
LRD0007,30-35,µg/m³,432065.11436281,4588702.00262407
T07074U,20-25,µg/m³,426676.97452222,4582163.00226277
T06016G,20-25,µg/m³,431846.9970005,4587100.68963564
T13133D,25-30,µg/m³,433188.38389214,4582862.1428996
T19800N,20-25,µg/m³,430319.94658651,4581825.96803831
T07480E,20-25,µg/m³,427699.86929067,4581528.88750672
T01871R,25-30,µg/m³,429733.00057771,4581812.1824781
T20517I,20-25,µg/m³,427674.41320096,4585735.13115052
T21140Z,20-25,µg/m³,430767.85918669,4580233.95320201
T06137O,20-25,µg/m³,432614.2230095,4586945.42658147
T02998J,25-30,µg/m³,428094.67733188,4580268.36556232
T16114M,25-30,µg/m³,430611.55293677,4584573.99000508
T09642M,25-30,µg/m³,434123.40353051,4585519.56889325
T12938C,20-25,µg/m³,431693.18674922,4589737.47397162
RD0059G,>40,µg/m³,428247.09432789,4586050.97815123
T15466D,15-20,µg/m³,431284.39526109,4589756.8840998
T15975T,20-25,µg/m³,427439.58223882,4584339.24378228
T06699R,20-25,µg/m³,433577.53093409,4587399.15601029
T11382K,25-30,µg/m³,428729.38647653,4584107.46361078
T21237H,25-30,µg/m³,428125.71223544,4580908.14131305
T10917P,20-25,µg/m³,426875.40396641,4583629.24399682
T10247A,25-30,µg/m³,431325.42188515,4584685.07477037
T14305J,20-25,µg/m³,433114.02585282,4588669.73152704
T12284N,20-25,µg/m³,430435.85758584,4586806.20584901
T10216T,25-30,µg/m³,432218.13810781,4583087.15958799
T09494S,25-30,µg/m³,433945.527479,4585152.90065625
T03704L,25-30,µg/m³,430459.25308921,4580547.45702329
T18221W,20-25,µg/m³,432657.60731704,4582499.36436327
T15748K,20-25,µg/m³,432682.35385677,4587175.34243102
T11433E,25-30,µg/m³,428096.51281658,4584544.15009125
T09902N,20-25,µg/m³,434621.01206035,4585224.72865985
T16666N,25-30,µg/m³,432389.47352306,4588510.34076256
T19408J,25-30,µg/m³,431195.35722347,4581599.85406062
T01975Y,25-30,µg/m³,430411.35324449,4583603.68505216
T04508N,20-25,µg/m³,431199.78687998,4586160.46803518
T04435N,20-25,µg/m³,431312.15702204,4585627.83033261
T04228I,25-30,µg/m³,430601.63937025,4584764.3543675
T07407V,20-25,µg/m³,427789.29710544,4582276.40497351
T05162L,25-30,µg/m³,429667.49713524,4586771.51863406
T15913F,25-30,µg/m³,428124.48681845,4580853.45723814
T04536R,25-30,µg/m³,431000.81318863,4586109.77645996
T03384P,25-30,µg/m³,426848.33309712,4580886.25399332
T04378V,20-25,µg/m³,431379.13292054,4585468.61857079
T18128A,15-20,µg/m³,431154.23648093,4589944.41438131
RD0025Y,35-40,µg/m³,429323.03454222,4587771.40637238
T18143Z,25-30,µg/m³,432315.47951632,4585092.97289569
T11187J,20-25,µg/m³,427933.88874527,4584304.94096656
T19532M,25-30,µg/m³,433551.04068031,4582760.85699947
T10415Y,20-25,µg/m³,428666.40553585,4583338.95592216
T09843T,20-25,µg/m³,434390.11293867,4585387.41266543
T17827Q,25-30,µg/m³,427704.61935727,4578768.80620269
T03576V,25-30,µg/m³,429701.18744056,4580352.39947991
T10860P,20-25,µg/m³,426412.91737551,4583514.41434242
T02436G,25-30,µg/m³,428433.01528369,4582563.77651566
