name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Network Theatre,246A Lower Rd, Waterloo,,Lambeth,https://networktheatre.org/,10008787031,E09000022,Waterloo & South Bank,E05014118,51.50274612,-0.113888522,531005.7229000004,179887.16200000048
Brick Lane Music Hall,443 North Woolwich Road,,,Newham,https://www.bricklanemusichall.co.uk/,10008988100,E09000025,Royal Albert,E05013922,51.50293962,0.041183788,541767.2598000001,180197.50469999947
Stratford Circus Arts Centre,Theatre Square, Stratford,,Newham,https://stratford-circus.com/,10008996899,E09000025,Stratford Olympic Park,E05013925,51.54344506,-0.000157784,538774.9709000001,184622.43889999948
Theatre Royal Stratford East,Gerry Raffles Square,,,Newham,http://www.stratfordeast.com/,10009003230,E09000025,Stratford Olympic Park,E05013925,51.5430221,-0.000637702,538742.9787999997,184574.49489999935
Unicorn Theatre,147 Tooley St,,,Southwark,https://www.unicorntheatre.com/,10009804074,E09000028,London Bridge & West Bermondsey,E05011104,51.50458886,-0.082889513,533151.7147000004,180147.96409999952
Greenwich Theatre,Crooms Hill,,,Greenwich,https://www.greenwichtheatre.org.uk/,10010200382,E09000011,Greenwich Park,E05014081,51.47998282,-0.00924372,538337.0371000003,177548.30890000053
Edward Alderton Theatre,5 Brampton Rd, Bexleyheath,,Bexley,http://www.edwardalderton.org/,10011844980,E09000004,Crook Log,E05011223,51.46207495,0.125228844,547731.8883999996,175819.4480000008
Ralph Richardson Memorial Studios ,Mountview Theatre School, 104 Crouch Hill,,Haringey,NA,100021171230,E09000014,Crouch End,E05013588,51.57658777,-0.123488188,530128.824,188081.36070000008
Rose Theatre,Lamorbey House, Burnt Oak Lane,,Bexley,https://www.bruford.ac.uk/,10011845091,E09000004,Blackfen & Lamorbey,E05011220,51.43979204,0.104842345,546387.0696,173300.72890000045
Erith Playhouse,38-40 Erith High St, Erith,,Bexley,http://www.playhouse.org.uk/,10011845592,E09000004,Erith,E05011225,51.48217556,0.179388845,551427.3987999996,178165.1754999999
Pleasance Theatre,Carpenters Mews, North Rd,,Islington,https://www.pleasance.co.uk/,10012788835,E09000019,Holloway,E05013706,51.5492461,-0.123196566,530227.0444,185041.39719999954
Platform,Hornsey Road Baths, 2 Tiltman Place,,Islington,NA,10012794343,E09000019,Tollington,E05013712,51.5617735,-0.11716881,530609.0906999996,186445.21990000084
