name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
West Norwood Library And Picturehouse,1-7 Norwood High St,West Norwood,SE27 9JU,Lambeth,,10000446790,E09000022,West Dulwich,E05014119,51.433204,-0.103324,531939.1825000001,172173.01400000043
Fulham Road Picturehouse,,,,Kensington and Chelsea,,,E09000020,Redcliffe,E05009402,51.48711,-0.17938,526503.79,178033.32139999978
Ealing Project ,Ealing Broadway Centre,1 High St  ,W5 5DB,Ealing,,,E09000009,Ealing Broadway,E05013520,51.51272,-0.30432,517763.7123999996,180673.00310000032
The Cinema in the Arches ,Battersea Power Station,22 Arches Ln,SW11 8AB,Wandsworth,,,E09000032,Nine Elms,E05014015,51.48268,-0.14689,528771.8765000002,177597.28509999998
The Cinema at Selfridges,40 Duke Street,,W1U 1AT,Westminster,,,E09000033,West End,E05013808,51.5149,-0.15191,528332.8393000001,181171.3839999996
Birkbeck Cinema,"Birkbeck, University of London",43 Gorden Square,WC1 0PD,Camden,http://blogs.bbk.ac.uk/bimi/portfolio-item/current-programme/,10091886228,E09000007,Bloomsbury,E05013653,51.524687,-0.13034532,529801.2379999999,182297.7098999992
Charlotte Street Hotel,,15-17 Charlotte Street,W1T 1RJ,Westminster,https://www.firmdalehotels.com/hotels/london/charlotte-street-hotel/film-club/,100023467443,E09000033,West End,E05013808,51.518387,-0.13505719,529492.2483999999,181588.8032000009
Cine Lumiere,Institut Francais,17 Queensberry Place,SW7 2DT,Kensington and Chelsea,https://www.institut-francais.org.uk/cine-lumiere/,217072593,E09000020,Brompton & Hans Town,E05009389,51.494554,-0.17721712,526633.3301999997,178864.8417000007
Cineworld Bexleyheath,,28-70 Broadway,DA6 7LL,Bexley,www.cineworld.co.uk,10011845030,E09000004,Bexleyheath,E05011219,51.45616,0.15028,549491.3316000002,175212.52600000054
Cineworld Enfield ,Southbury Leisure Centre,208 Southbury Rd,EN1 1YQ,Enfield,www.cineworld.co.uk,207192143,E09000010,Southbury,E05013691,51.650084,-0.06090651,534248.1737000002,196367.6063000001
Cineworld Feltham,Leisure west,Air Park Way,TW13 7LX,Hounslow,www.cineworld.co.uk,100023517705,E09000018,Hanworth Park,E05013615,51.44385,-0.40459,510973.0175000001,172857.87710000016
Cineworld Fulham Road,,142 Fulham Road,SW10 9QR,Kensington and Chelsea,www.cineworld.co.uk,217101389,E09000020,Redcliffe,E05009402,51.487152,-0.17942804,526500.3386000004,178037.90890000015
Cineworld The O2 Greenwich,,The O2,SE10 0DX,Greenwich,www.cineworld.co.uk,10010224824,E09000011,Greenwich Peninsula,E05014082,51.503018,0.00449996,539221.1396000003,180135.83830000088
Cineworld Wandsworth,,Southside Shopping Centre,SW18 4TF,Wandsworth,www.cineworld.co.uk,10070239837,E09000032,Wandsworth Town,E05014028,51.453961,-0.19342927,525619.3126999997,174322.94099999964
Cineworld Wembley ,,Wembley Park Blvd,HA9 0FD,Brent,www.cineworld.co.uk,202206309,E09000005,Wembley Park,E05013516,51.556685,-0.28350333,519093.4001000002,185595.72589999996
Cineworld West India Quay,,Hertsmere Road,E14 4AL,Tower Hamlets,www.cineworld.co.uk,6136934,E09000030,Canary Wharf,E05009323,51.507908,-0.02288175,537306.1328999996,180627.88299999945
David Lean Cinema,,Katherine St,CR9 1ET,Croydon,http://www.davidleancinema.org.uk/,200001222331,E09000008,Fairfield,E05011468,51.37216,-0.099,532415.8206000002,165392.66249999963
Whirled Cinema,259-260 Hardess Street,Loughborough Junction,SE24 0HN,Lambeth,https://www.whirledcinema.com/,10023854149,E09000022,Herne Hill & Loughborough Junction,E05014104,51.465089,-0.10148353,531975.2182999998,175721.92210000008
Catford Mews ,,32 Winslade Way,SE6 4JU,Lewisham,https://catford-mews.co.uk/about/,,E09000023,Rushey Green,E05013730,51.44619,-0.02037,537666.0756000001,173769.6258000005
