name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Helix 3D Ltd,The Old Turbine Factory,138-140  Nathan Way,,Greenwich,https://helix3d.co.uk/,100023267008,E09000011,Plumstead & Glyndon,E05014087,51.49446801,0.101439427,545976.0114000002,179373.8345999997
Illusion Design & Construct,Unit 1A Elizabeth Industrial Estate,Juno Way,,Lewisham,http://illusiondc.co,100023569533,E09000023,New Cross Gate,E05013728,51.48219844,-0.042894815,535993.8640999999,177731.65729999915
Innersphere Ltd,25 Victoria Wharf,20 Palmers Road,,Tower Hamlets,,6357180,E09000030,Bow West,E05009320,51.52932032,-0.040441718,536023.8004999999,182976.19519999996
TAIT,"Unit 9, Falcon Park",Neasden Lane,,Brent,http://www.taittowers.com,202009207,E09000005,Dollis Hill,E05013500,51.55390806,-0.247288163,521611.2117999997,185346.41840000078
J.D. McDougall Ltd,4 McGrath Road,,,Newham,http://www.mcdougall.co.uk/,46255499,E09000025,Forest Gate South,E05013912,51.54601463,0.014122057,539757.2737999996,184935.36620000005
James Glancy Design,16-28 Penarth Street,,,Southwark,https://www.jamesglancydesign.com/,10096038264,E09000028,Old Kent Road,E05011109,51.48281328,-0.053354899,535265.7818999998,177780.65350000001
Kemp London ,32 Shackwell Lane,,,Hackney,http://www.kemplondon.com/,100023015578,E09000012,Dalston,E05009370,51.55035077,-0.071029366,533840.5886000004,185258.44140000083
London Atelier,Studio 7,160 Barlby Road,,Kensington and Chelsea,http://www.londonatelier.com/,217120729,E09000020,Dalgarno,E05009394,51.52308058,-0.215594042,523892.0406999998,181971.43249999918
Manktelow Limited,"Unit 7, 1a Saxon Road",,,Haringey,http://www.manktelow.co.uk,100023177379,E09000014,White Hart Lane,E05013604,51.60039219,-0.095337191,532010.4891999997,190778.9941000007
Meta Props,Unit 20 Kingsgate Workshops,110 Kingsgate Road,,Camden,http://www.metaprops.co.uk/,5087816,E09000007,Kilburn,E05013665,51.54384676,-0.195245893,525246.6178000001,184315.29580000043
Metro production Group (MPG),6 Camberwell New Road,,,Lambeth,http://www.metrobroadcast.com,10090201545,E09000022,Myatt's Fields,E05014107,51.47997493,-0.107964056,531482.3344999999,177365.5957999993
Other Fabrications Limited,Unit 10 Buzzard Creek Industrial Estate ,River Road,,Barking and Dagenham,http://otherfabrications.com,100047851,E09000002,Barking Riverside,E05014055,51.51554119,0.104917628,546150.0573000005,181724.0610000007
Parallel Notion Limited,5 Chestnut Road,,,Kingston upon Thames,http://www.parallelnotion.co.uk,48014629,E09000021,Canbury Gardens,E05013930,51.41766214,-0.300762089,518255.88329999987,170107.95830000006
Pendragon ,1-3  Yorkton Street,,,Hackney,http://www.pendragonframes.com,100022991141,E09000012,Haggerston,E05009375,51.53127138,-0.067510223,534140.6003,183143.19700000063
RDW Scenery ,Unit A Genesis Business Park,Rainsford Road,,Brent,https://www.scenery-construction.com/,202191752,E09000005,Stonebridge,E05013510,51.53317767,-0.276376544,519649.0360000003,182993.2368999999
Rigging Services,3 Mills Studios,Three Mill Lane,,Newham,https://riggingservices.co.uk,10009018097,E09000025,Stratford,E05013924,51.52633408,-0.004683048,538513.0877,182711.10649999976
S2 Events,141-143  Nathan Way,,,Greenwich,http://s2events.co.uk,100023267003,E09000011,West Thamesmead,E05014091,51.49559596,0.101231958,545958.0073999995,179498.85060000047
Scenic Sets,Stadium Business Center ,Unit 45 North End Road,,Brent,http://www.scenicsets.com,202001588,E09000005,Wembley Park,E05013516,51.56019152,-0.270117696,520012.06850000005,186007.52569999918
Scenic Souvenir Studios ,Unit 8,12 Verney Road,,Southwark,http://www.souvenir.co.uk,200003404927,E09000028,Old Kent Road,E05011109,51.48467414,-0.061837671,534671.3320000004,177971.94459999911
Setbuild Limited,Unit 4D Triumph Trading Estate,Tariff Road,,Haringey,http://www.setbuilduk.com,100023163967,E09000014,Northumberland Park,E05013596,51.6062537,-0.057885594,534586.8158999998,191499.14760000072
Sets Appeal Limited,New River Studios,199 Eade Road,,Hackney,http://www.setsappeal.co.uk/about/,10022945372,E09000012,Woodberry Down,E05009387,51.57444685,-0.086549795,532694.5247999998,187909.6780999992
Setsquare Staging,3-9 Willow Lane,,,Merton,http://www.setsquarestaging.com,48117019,E09000024,Cricket Green,E05013813,51.39246427,-0.160929414,528048.8591,167540.69180000015
Setwo Ltd,Unit 48  T Marchant Trading Estate, Verney Road,,Southwark,https://www.setwo.co.uk/,10000813689,E09000028,Old Kent Road,E05011109,51.48441856,-0.056873345,535016.7523999996,177952.66599999927
Simon Morris Associates Limited (SMA),Ravensquay Business Centre  Cray Avenue,,,Bromley,http://www.madesignstudios.com,100023631486,E09000006,St Mary Cray,E05014006,51.38806247,0.110345208,546935.1458,167559.48640000075
Stockyard Backdrops,Unit A Genesis Business Park,Rainsford Road,,Brent,https://www.prophire-backdrophire.com,202191752,E09000005,Stonebridge,E05013510,51.53317767,-0.276376544,519649.0360000003,182993.2368999999
Studio Meno Ltd,Napier Works,Napier Road,,Newham,https://www.studiomeno.com,10008994852,E09000025,Wall End,E05013926,51.53024383,0.063548175,543233.7198999999,183277.24010000005
The Holmes Wood Consultancy Limited,1 Monkwell Square,,,City of London,http://www.holmes-wood.com,200000070781,E09000001,Bassishaw,E05009290,51.51767422,-0.092970856,532414.1550000003,181584.7860000003
The Media Services,Unit 15 Deptford Trading Estate, Blackhorse Road,,Lewisham,http://themediaservicescompany.com,100023282055,E09000023,Evelyn,E05013721,51.4843782,-0.036636164,536421.9083000002,177985.6860000007
Trinity HQ,"Unit A, Barton Buildings",Arundel Road,Uxbridge Industria,Hillingdon,https://trinityset.co.uk,10009948118,E09000017,Uxbridge,E05013580,51.53591265,-0.489979319,504827.8304000003,182970.01139999926
Visual Impact Creative Limited,St John’s Foundry,12 St John’s Road,Hampton Wick,Richmond upon Thames,http://www.visual-impact.co.uk,10070721240,E09000027,Hampton Wick & South Teddington,E05013780,51.41207787,-0.310763104,517574.8225999996,169470.87710000016
The Whitewall Company,The Old Cannon Factory,10A Europa Estate Fraser Road,,Bexley,http://thewhitewall.co.uk,100023523207,E09000004,Erith,E05011225,51.48254702,0.172223312,550928.6595999999,178191.69150000066
Absolute Motion Control Ltd,78-82 Brandon Street,,,Southwark,http://absolutemotioncontrol.com,200003422535,E09000028,North Walworth,E05011107,51.49028886,-0.091761705,532577.4698000001,178541.70940000005
Adam Dawe Design Limited,33 St Charles Square,,,Kensington and Chelsea,http://www.adamdawedesign.co.uk,217080087,E09000020,St. Helen's,E05009404,51.51942594,-0.212631056,524107.5187999997,181570.04439999908
Footprint Scenery,"Unit 28, Astbury Business Park",Station Passage,,Southwark,http://footprintscenery.co.uk,200003496057,E09000028,Nunhead & Queen's Road,E05011108,51.47455696,-0.054973828,535177.7769999998,176859.56939999945
Diagon,12 Viking Way,Erith,,Bexley,http://www.diagonltd.com,10011847610,E09000004,Erith,E05011225,51.491845,0.16752912,550572.0735999998,179215.92320000008
Illusion Design & Construct,Unit 8A Fisher's Way,Belvedere,,Bexley,N/A,10094789120,E09000004,Belvedere,E05011218,51.500702,0.1661051,550444.0278000003,180197.85029999912
