tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;Municipio URIs;direccion_via_codigo;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Ríos Rosas 23 Baja ;28003;INSTITUTO GEOLÓGICO Y MINERO DE ESPAÑA JUNTO AL SERVICIO MÉDICO;440663;4477077;24 HORAS;2017-38
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo De La Castellana 182  ;28046;MAKIBER ;441610;4479170;DE 08:00 A 20:00 HORAS;2017-39
Centro de trabajo con más de 250 trabajadores;Privada;014;Arganda del Rey;https://www.wikidata.org/wiki/Q497692;Calle Latón 3 1ª ;28500;TETRAPACK ENVASES SA ÁREA DE OFICINA DE JEFES DE TURNO;460489;4461360;;2017-41
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Monasterio De Las Huelgas 15  ;28049;FUNDACIÓN A LA PAR EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL JUNTO CONSERJE;439919;4483766;HORARIO LECTIVO;2017-48
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle De Isabel Ii 26  ;28660;JUZGADO DE PAZ EN EL HALL DE ENTRADA;425269;4473564;DE 8:00 A 16:00 DE LUNES A VIERNES;2017-55
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle De Juan Carlos I 42  ;28660;SEDE ADMINISTRATIVA DEL AYUNTAMIENTO EN EL HALL DE ENTRADA;425413;4473275;24 HORAS  365 DIAS;2017-56
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle Del Convento 10  ;28660;BIBLIOTECA MUNICIPAL LA MILLONARIA EN EL HALL DE ENTRADA;425577;4473257;DE LUNES A VIERNES DE 9:00 A 22:00;2017-57
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Avda Sede Institucional Del Ayuntamiento. Hall De Entrada S/n  ;28660;AVENIDA DE ADOLFO SUAREZ S/N;425598;4473109;DE LUNES A VIERNES DE 2:00 A 20:00;2017-58
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Alto Del Retiro 33  ;28051;IKEA ENSANCHE DE VALLECAS ;449406;4469024;;2017-98
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Consuegra 7 2 A;28036;ONTEX ID SAU ;442642;4480695;HORARIO COMERCIAL;2017-100
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Juan Ramón Jiménez 15  ;28036;PREMAAT UPS ;441742;4478847;"DE 8;00 A 18:00";2017-101
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Goya 22 3 ;28001;SIERRA SPAIN SHOPPING CENTER SERVICES SAU ;442037;4475154;L A J: 9:00 A 19:00. V: 9:00 A16:00;2017-108
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Plaza De Francisco Sandoval Caballero 1  ;28600;AYUNTAMIENTO DE NAVALCARNERO EN EL HALL DE ENTRADA;413706;4460531;9:00 A 14:00 HORAS;2017-119
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Plaza Del Teatro S/n  ;28600;POLICÍA LOCAL ;413855;4460388;;2017-121
Centro educativo;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle De Las Víctimas Del Terrorismo   ;28600;CEIP MARÍA MARTÍN EN EL HALL DE ENTRADA PABELLÓN 2º GRADO;415331;4460874;HORARIO LECTIVO;2017-123
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Del Río Ebro S/n  ;28600;PABELLÓN CUBIERTO LA ESTACIÓN HALL DE RECEPCIÓN;414399;4460907;SEGÚN ACTIVIDADES;2017-129
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Juan Antonio Zenón S/n  ;28600;POLIDEPORTIVO MUNICIPAL EL PIJORRO ;413304;4460258;9:00 A 23:00;2017-130
Centro educativo;Pública;049;Coslada;https://www.wikidata.org/wiki/Q164197;Calle De La Virgen Del Mar S/n Baja ;28821;ENTRADA POR AVENIDA DEL PLANTÍO. EN ANTESALA DE ASEOS PROFESORES I.E.S. LUIS GARCÍA BERLANGA (Coslada);452271;4475706;LUNES A JUEVES 8:30 A 18:00. VIERNES 8:30 A 14:30;2017-135
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza Del Celenque 2  ;28013;FUNDACIÓN OBRA SOCIAL Y MONTE de PIEDAD DE MADRID HALL ENTRADA PRINCIPAL. ZONA CONTROL ACCESOS;440103;4474347;;2017-143
Otros;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda De Meco S/n  ;28805;PABELLÓN POLIDEPORTIVO FUNDACIÓN MONTEMADRID DENTROPISTA POLILDEPORTIVA JUNTOA A INSTALACIÓN MEGAFONÍA;469844;4482845;;2017-144
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Torrelaguna 79 B Comed;28043;COFELY ESPAÑA ENGIE;444296;4477663;7:30 A 19:00;2017-154
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Nicolás Cabrera 1  ;28049;CENTRO DE BIOLOGÍA MOLECULAR SEVERO OCHOA CAMPUS UAM CANTOBLANCO . CAMPUS UAM ENTRADA PRINCIPAL CBM;441455;4488971;8:00 A 18:00 HORAS;2017-160
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo De Las Doce Estrellas 4 4 ;28042;LIBERTY SEGUROS. EDIFICIO TIERRA MODULO B PLANTA 4 EN HALL DE SALIDA A ESCALERA EMERGENCIAS;447846;4479172;9 A 18;2017-161
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Alfonso Xii 62 5 ;28014;AECOM INOCSA SLU. ACCESO POR PUERTA DE RECEPCIÓN JUNTO A LA ENTRADA DE LOS CUARTOS DE BAÑO;441546;4473318;L A V DE 8:00 A 18:00 APROX.;2017-172
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Maqueda 8  ;28024;ESCUELA POLITÉCNICA GINER CENTRO ESPAÑOL DE TECNOLOGÍA APLICACA;435023;4471800;;2017-173
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Puerta De Hierro 1  ;28040;FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID;437616;4477626;;2017-175
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Puerta De Hierro 1  ;28040;FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID;437616;4477626;;2017-176
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Puerta De Hierro 1  ;28040;FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID;437616;4477626;;2017-177
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Puerta De Hierro 1  ;28040;FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID;437616;4477626;;2017-178
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;181;Villaviciosa de Odón;https://www.wikidata.org/wiki/Q1631897;Avda Manuel Gutiérrez Mellado S/n  ;28670;COMPLEJO ACUÁTICO DEPORTIVO MUNICIPAL HISPAOCIO VILLAVICIOSA SL;423703;4467521;;2017-181
Otros;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Lucio Emilio Cándido 4  G;;PLATAFORMA LOGÍSTICA LIDL SUPERMERCADOS ALCALÁ DE HENARES OFICINA;465444;4479902;L A V DE 8:00 A 19:00. S DE 9:00 A 14:00;2017-183
Otros;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Lucio Emilio Cándido 4 0 G;;PLATAFORMA LOGÍSTICA LIDL SUPERMERCADOS ALCALÁ DE HENARES. ALMACÉN;465506;4479960;L A S: 24 HORAS. D: 22:00 A 6:00;2017-184
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Sur S/n  ;28320;ESTADIO RAMÓN MENDOZA HALL PRINCIPAL JUNTO A PUERTA LATERAL DE CONSERJERÍA;440475;4454152;DE 9:00 A 23:00;2017-3
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Sevilla S/n  ;28320;POLIDEPORTIVO PATRICIA CHAMORRO JUNTO A CONSERJERÍA;441232;4454909;08:00 A 22:00;2017-6
Establecimiento dependiente de una Administración Pública;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle De Nicolás Fuster 2  ;28320;CENTRO MIGUEL ANGEL BLANCO ENTRADA PRINCIPAL JUNTO AL ASCENSOR;440021;4454651;08:00 A 22:00;2017-7
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Plaza De La Constitución S/n  ;28320;CASA CONSISTORIAL HALL DE ENTRADA;440421;4454734;07:00  A 18:00;2017-13
Centro de trabajo con más de 250 trabajadores;Privada;014;Arganda del Rey;https://www.wikidata.org/wiki/Q497692;Calle Latón 8  ;28500;TETRA PACK HISPANIA SA HALL DE ENTRADA JUNTO A RECEPCIÓN;460224;4461408;;2017-42
Otros;Privada;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle N-vi Km 18,200 Sac Maker Sau   ;;;426251;4483281;07:30 A20:30;2017-47
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza De Carlos Trias Bertrán 7 7 ;28020;SERVICIO MADRILEÑO DE SALUD (SERMAS) ;441164;4478014;;2017-51
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Labastida 13 1 ;28034;CENTRO DE ESTUDIOS SUPERIORES FUENCARRAL SALA DE PROFESORES;441774;4482398;DE 8:30 A 20:30;2017-70
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Ctra De La Muñoza S/n 1ª ;28042;GATE GOURMET SPAIN. FRENTE A OFICINAS DE PERSONAL POLIGONO INDUSTRIAL LA MUÑOZA - IBERIA;454270;4479856;;2017-71
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Poeta Joan Maragall 53 Baja ;28020;SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO SA PLANTA BAJA. HALL DE ENTRADA. CENTRO DE SEGURIDAD;441358;4479432;24 HORAS;2017-110
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Manuel Tovar 13 Baja ;28034;SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO SA PLANTA BAJA. HALL DE ENTRADA. GARITA DE SEGURIDAD.;441860;4482050;24 HORAS;2017-111
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Xaudaró 15 Baja ;28034;SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO PLANTA BAJA. HALL DE ENTRADA. GARITA DE SEGURIDAD;441404;4482303;24 HORAS;2017-113
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Los Poblados 183  ;28041;CPPEE JOAN MIRÓ ;440840;4469177;;2017-114
Centro de trabajo con más de 250 trabajadores;Privada;134;San Sebastián de los Reyes;https://www.wikidata.org/wiki/Q484717;Avda Del Juncal 22 9 ;28703;ARVAL SERVICE LEASE, S.A. ;448207;4487780;;2017-115
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Del Río Nalón   ;28600;ESTADIO DE FÚTBOL MARIANO GONZÁLEZ EN PASILLO DE SALIDA AL TERRENO DE JUEGO;413439;4459835;SEGÚN ACTIVIDADES;2017-127
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Avda De Doña Mariana De Austria   ;28600;PISCINA CUBIERTA MARTÍN LÓPEZ ZUBERO EN EL HALL DE RECEPCIÓN;413504;4459661;DE 9:00 A 22:00 HORAS;2017-133
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Manoteras 24  ;28050;PLANTA BAJA. RECEPCIÓN CALIDAD PASCUAL SAU;443487;4481977;9 A 18;2017-150
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Arturo Soria 140 Baja ;28043;CONSERVATORIO DE MÚSICA ARTURO SORIA PASILLO DE ACCESO A CAFETERÍA Y DESPACHOS EQUIPO DIRECTIVO;444690;4478086;9:00 A 22:00;2017-164
Otros;Privada;049;Coslada;https://www.wikidata.org/wiki/Q164197;Calle De Suiza 14  ;28821;GE GRID SOLUTIONS SA ;453688;4476792;9 A 17 HORAS;2017-169
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Ramiro De Maeztu 9  ;28040;CENTRO DE INVESTIGACIONES BIOLÓGICAS - CSIC EN RECEPCIÓN, A LA ENTRADA DEL CENTRO;438794;4477697;;2017-174
Otros;Privada;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Plataforma Logistica Lidl Supermercados Pinto. Almacén S/n  ;;POLÍGONO INDUSTRIAL LAS ARENAS C/ DEL BARRANCO S/N;441733;4457594;L A V: 24 HORAS. S: HASTA 22:00. D: DESDE 14:00;2017-185
Otros;Privada;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Plataforma Logística Lidl Supermercados Pinto - Oficina S/n 1 ;;C/ DEL BARRANCO S/N PLANTA 1 POLÍGONO INDUSTRIAL LAS ARENAS;441659;4457398;L A V DE 8:30 A 19:00;2017-186
Otros;Privada;092;Móstoles;https://www.wikidata.org/wiki/Q187826;Calle Camino Del Obispo 6 1 ;28935;LIDL SUPERMERCADOS MÓSTOLES. OFICINA ;424796;4464956;L A V DE 8:30 A 19:00;2017-187
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Santuario 11  ;28026;FARMACIA YOLANDA PONTES ;440609;4470601;L A V: 9:30 A 14:00 Y 17:00 A 20:00. S DE 10:13:45;2017-189
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Nicolás Cabrera 13  ;28049;ENTRADA DEL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS (CSIC);441800;4488974;8:00 A 18:00 HORAS;2017-193
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Castellana 75  ;28032;OFICINA ESPAÑOLA DE PATENTES Y MARCAS PLANTA BAJA. EN GARITA DE SERVICIO DE VIGILANCIA;441213;4477669;15 HORAS;2017-194
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Castellana 75 8 ;28032;OFICINA ESPAÑOLA DE PATENTES Y MARCAS PLANTA 8. SERVICIO MÉDICO;441213;4477669;15 HORAS;2017-195
Otros;Privada;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Avda Europa 26  ;28224;C.C. ZIELO SHOPPING NIVEL +1 FRENTE A ASCENSORES. PASARELA CRISTAL;433465;4477040;9-21;2017-216
Centros residenciales de mayores con 200 plazas;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Santa Hortensia 46  ;28002;CASER RESIDENCIAL PLANTA 0. ENFERMERÍA;443752;4477266;9-21;2017-218
Otros;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Calle De Anabel Segura 14 Ss ;28108;CAPGEMINI PLANTA SS ZONA A. AL LADO DEL COMEDOR;446813;4487175;8-18:30 VIERNES 8-15;2017-219
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Sur S/n  ;28320;POLIDEPORTIVO PRÍNCIPES DE ARTURIAS JUNTO A CONSERJERÍA EN LA ENTRADA PUERTA 18;440659;4454127;8 A 22 HORAS;2017-4
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle De La Buena Vista S/n  ;28320;POLIDEPORTIVO ALBERTO CONTADOR EN EL PASILLO PRINCIPAL DEL EDIFICIIO DE AULAS;440494;4455151;08:00 A 22:00;2017-5
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Asturias S/n  ;28320;PABELLÓN MUNICIPAL SANDRA AGUILAR HALL PRINCIPAL JUNTO A MOSTRADOR DE CONSERJERÍA;441025;4455675;08:00 A 22:00;2017-12
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Juana Francés 63  ;28320;BIBLIOTECA MUNICIPAL JAVIER LA PEÑA HALL PRINCIPAL DE ENTRADA. JUNTO A CONSERJERÍA;440315;4456403;08:00 A 22:00;2017-28
Establecimiento dependiente de una Administración Pública;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Plaza De La Constitución S/n  ;28320;EDIFICIO DE POLICÍA LOCAL HALL PRINCIPAL DE ENTRADA;440383;4454741;24 HORAS;2017-29
Centro educativo;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Calle Del Camino Ancho 14  ;28109;COLEGIO ESCANDINAVO LA MORALEJA;448028;4484602;08:30 A 20:00;2017-32
Centro educativo;Pública;141;Sevilla la Nueva;https://www.wikidata.org/wiki/Q1641045;Calle Ruiseñor 1-3  ;28609;CEIP ANTÓN SEVILLANO ;412555;4466589;;2017-65
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Canillejas A Vicálvaro 135 Baja ;28022;COLEGIO JUAN DE VALDÉS ;448246;4475257;DE 7:30 A 20:30;2017-94
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Badajoz 76  ;28027;C.P.E.E. INFANTA ELENA RECEPCIÓN;444890;4477193;9:30 A 16:00;2017-116
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Del Pozo Del Concejo 9  ;28600;CENTRO TERCERA EDAD EN EL HALL DE ENTRADA;413772;4460110;10:00 A 13:00 Y 15:30 A 20:00;2017-120
Centro educativo;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Felguera 1  ;28600;CEIP JOSÉ JALÓN HALL DEL EDIFICIO PRINCIPAL;413452;4459693;HORARIO LECTIVO;2017-125
Centro educativo;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle De Monteclaro S/n  ;28600;CEIP FELIPE IV HALL DE ENTRADA;413507;4460644;HORARIO LECTIVO;2017-126
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle De Camilo José Cela S/n  ;28600;CAMPO DE FÚTBOL LOS MANZANOS EN LA ENTRADA A VESTUARIOS;412992;4459745;9:00 A 23:00;2017-128
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Felguera   ;28600;PISCINA MUNICIPAL HALL DE RECEPCIÓN;413431;4459617;DE 8:00 A 23:00;2017-131
Otros;Privada;044;Colmenarejo;https://www.wikidata.org/wiki/Q1646220;Calle De La Cañada Real 37  ;28270;COMUNIDAD DE PROPIETARIOS PARQUE AZUL EDIFICIO DEL CLUB SOCIAL;413670;4490956;24 HORAS;2017-142
Establecimiento dependiente de una Administración Pública;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Emilio Vargas 7 B ;28043;ENRESA SA ;444537;4477719;24 HORAS;2017-146
Establecimiento dependiente de una Administración Pública;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Emilio Vargas 7 B ;28043;ENRESA SA ;444520;4477777;24 HORAS;2017-147
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Conde De Peñalver 51 Baja ;28006;CASA ESCUELAS PÍAS CALASANCIO DE MADRID ;442712;4475823;;2017-149
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo De Las Doce Estrellas 4  ;28042;EDIFICIO TIERRA. RECEPCIÓN, HALL DE ENTRADA PLANTA BAJA.  LIBERTY SEGUROS;447845;4479172;9:00 A 18:00;2017-151
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De América 25 Baja ;28002;U.G.T. ;442775;4476716;;2017-157
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Azcona 53  ;28028;U.G.T. RECEPCIÓN. DETRÁS DEL MOSTRADOR;443496;4476362;;2017-158
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Hortaleza 80  ;28004;U.G.T. PASILLO DETRÁS DEL PERSONAL;440765;4475016;;2017-159
Establecimiento dependiente de una Administración Pública;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Asturias S/n  ;28320;PISTAS MUNICIPALES DE TENIS JUNTO A MOSTRADOR DE CONSERJERÍA;441258;4456164;09:00 A 21:00;2017-8
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle De La Cadena S/n  ;28320;CENTRO CULTURAL CASA DE LA CADENA HALL PRINCIPAL DE ENTRADA JUNTO A MOSTRADOR DE ATENCIÓN AL PÚBLIC;440720;4454830;08:00 horas a 23:00;2017-10
Establecimiento dependiente de una Administración Pública;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Italia 6  ;28320;EDIFICIO CONCEJALÍA EDUCACIÓN HALL PRINCIPAL DE ENTRADA;440932;4455914;08:00 A 20:00;2017-20
Centro educativo;Pública;113;Pinto;https://www.wikidata.org/wiki/Q909718;Calle Francisco Bores S/n  ;28320;ESCUELA MUNICIPAL DE MÚSICA HALL DE ENTRADA FRENTE MOSTRADOR ATENCIÓN PÚBLICO;440554;4456429;16:00A 22:00;2017-21
Centro de trabajo con más de 250 trabajadores;Pública;115;Pozuelo de Alarcón;https://www.wikidata.org/wiki/Q639422;Paseo Del Príncipe 3  ;28223;RADIOTELEVISIÓN MADRID PLANTA 0 JUNTO A HALL DE RECEPCÍÓN;433091;4472101;;2017-25
Establecimiento público con aforo igual o superior a 2000 personas;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Avda De Isabel De Farnesio 16  ;28660;AUDITORIO. ESCUELA DE MÚSICA Y DANZA EN EL HALL DE ENTRADA;424721;4472840;DE LUNES A SÁBADO DE 8:00 A 21:00;2017-63
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Avda De Isabel De Farnesio 33  ;28660;BIBLIOTECA MUNICIPAL JOSÉ ORTEGA Y GASSET EN EL HALL DE ENTRADA;424974;4472408;L A V DE 9:00 A 22:00. S Y D: DE 10:00 A 22:00;2017-64
Centro educativo;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle De Federico García Lorca 4  ;28660;COLEGIO FEDERICO GARCÍA LORCA EN EL HALL DE ENTRADA DEL EDIFICIO DE SECRETARIA;423876;4473337;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-75
Centro educativo;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle De Gutiérrez Soto 12  ;28660;COLEGIO ÁGORA EN EL HALL DE ENTRADA;424084;4472645;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-76
Centro educativo;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle De Tomás Bretón 4  ;28660;COLEGIO TERESA DE BERGANZA HALL DE ENTRADA DEL EDIFICIO PRINCIPAL;424795;4472847;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-77
Centro educativo;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle Islas Cíes S/n  ;28660;COLEGIO JOSÉ BERGAMÍN EN EL HALL DE ENTRADA;424927;4476183;;2017-78
Centro educativo;Pública;022;Boadilla del Monte;https://www.wikidata.org/wiki/Q1641013;Calle De Juan Carlos I 40  ;28660;COLEGIO PRÍNCIPE DON FELIPE EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL;425466;4473322;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-79
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Serrano Galvache 56 3 N;28033;SERVICIO MEDICO DE EMPRESA THALES ESPAÑA GRP SAU;442952;4480807;HORARIO LABORAL DE LA EMPRESA;2017-80
Otros;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Cmno El Olivar 2  ;28806;CEMIDE SL PLANTA PRIMERA JUNTO A RECEPCIÓN;467135;4483391;;2017-84
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Velázquez 132 2 ;28006;NAVANTIA HALL SEGUNDA PLANTA;442129;4476651;24 horas;2017-88
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De San Enrique 16 Baja ;28020;FERBOCAR CONSTGRUCCIONES SA GLOBAL ARRAKIS SLU ;440607;4478609;;2017-118
Otros;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle Del Cuartel 9  ;28600;PUESTO DE LA GUARDIA CIVIL DE NAVALCARNERO ;414073;4460318;;2017-122
Centro educativo;Pública;096;Navalcarnero;https://www.wikidata.org/wiki/Q1623099;Calle De Luis Zapata 3  ;28600;CEIP CARLOS RUIZ EN EL HALL DE ENTRADA;414116;4460179;HORARIO LECTIVO;2017-124
Centro educativo;Pública;148;Torrejón de Ardoz;https://www.wikidata.org/wiki/Q489839;Calle Cristal 2  ;28850;C.E.I.P. LA GAVIOTA ;460321;4478132;DE L A V NO FESTIVOS DE 9:00 A 16:00 HORAS;2017-138
Centro educativo;Privada;177;Villanueva del Pardillo;https://www.wikidata.org/wiki/Q1751916;Calle Mallorca 2  ;28229;COLEGIO BILINGÜE VALLMONT ;418038;4482268;;2017-139
Centro de trabajo con más de 250 trabajadores;Privada;013;Aranjuez;https://www.wikidata.org/wiki/Q486792;Paseo De Deleite 44  ;28300;FABRICA ERCROS. EL DESFIBRILADOR SE ENCUENTRA EN ELPUNTO DE REUNIÓN;446932;4430793;24 HORAS;2017-140
Centro educativo;Pública;132;San Martín de la Vega;https://www.wikidata.org/wiki/Q959612;Avda De Nuestra Señora De La Vega 6  ;28330;C.E.I.P. JORGE GUILLÉN EN LA SALA DE PROFESORES;450497;4451401;7:00 A 20:30;2017-141
