tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;Municipio URIs;direccion_via_codigo;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Príncipe De Vergara 211  ;28002;COM.PROP. ;442515;4478046;;2023-484
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Príncipe De Vergara 211  ;28002;COM.PROP. ;442515;4478046;;2023-484
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Víctor Andrés Belaúnde 36  ;28016;COM.PROP. ;442356;4478721;;2023-485
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Víctor Andrés Belaúnde 36  ;28016;COM.PROP. ;442356;4478721;;2023-485
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo Del Prado 4  ;28014;Dirección General del Tesoro y Política Financiera SEGURIDAD LIMITE 24 HORAS;441084;4479299;;2023-178
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Josefina Aldecoa 78  ;28055;Recepción Comunidad de Propietarios Josefina Aldecoa ;447995;4483288;24H;2023-264
Otros;Privada;903;Tres Cantos;https://www.wikidata.org/wiki/Q910410;Avda De La Comunidad Valenciana 17  ;28760;Recepción Célere Parque Norte ;439243;4496521;24H;2023-265
Otros;Privada;130;San Fernando de Henares;https://www.wikidata.org/wiki/Q842211;Avda De Indalecio Prieto 5  ;28830;SIEMENS ;458161;4476459;;2023-356
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Pío Xii 110  ;28036;UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ;442489;4480602;24h;2023-237
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Villamalea S/n  ;28805;EN LA CIUDAD DEPORTIVA ESPARTALES CIUDAD DEPORTIVA MUNICIPAL;469670;4484124;8:30h a 22:30h (L-V) y 8:30h a 21:30h (S,D,F);2018-583
Otros;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda Virgen Del Val 4  ;28804;ALL ENTRADA DEPORTISTAS PABELLÓN DEMETRIO LOZANO-VAL CIUDAD DEPORTIVA MUNICIPAL (PABELLÓN MUNICIPAL VIRGEN DEL VAL);470969;4481533;9:00h a 22:00h (L-V) - 9:00h a 21:00h (S) - 9:00h a 15:00h (D,F) ;2018-578
Otros;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Gabriela Mistral 44  ;28806;EN CABINA CONTROL INSTALACIÓN PARQUE DEPORTIVO ENSANCHE CIUDAD DEPORTIVA MUNICIPAL;468737;4483285;9,00h a 21,00h (L-D) ;2018-579
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda De Madrid 9  ;28802;EN HALL ENTRADA PISCINA CUBIERTA EL JUNCAL CIUDAD DEPORTIVA MUNICIPAL;467000;4480753;9:00h a 22:00h (L-V) y 9:00h a 21:00h (S,D,F);2018-581
