ID_PARQUE,PARQUE,DISTRITO,BARRIO
16662,PLAZA COMENDADORAS,CENTRO,UNIVERSIDAD
4749894,CARRETERA ESTACION DE HORTALEZA 7,HORTALEZA,APOSTOL SANTIAGO
4749895,C MARSELLA 4,SAN BLAS-CANILLEJAS,ROSAS
4749896,C LIVERPOOL 1,SAN BLAS-CANILLEJAS,ROSAS
18388,CTRA. EJE  O´DONNELL,VICALVARO,CASCO H.VICALVARO
7943797,CALLE DE LA VERDAD 2,CARABANCHEL,OPAÑEL
16696,PARQUE CASINO DE LA REINA,CENTRO,EMBAJADORES
16695,PLAZA PUERTA DE TOLEDO,CENTRO,EMBAJADORES
16969,AVDA. ASTURIAS CON C/ ANTONIO GLEZ. ECHARTE,TETUAN,ALMENARA
16929,PARQUE RODRIGUEZ SAHAGUN CON C/SINESIO DELGADO,TETUAN,VALDEACEDERAS
16683,PLAZA PLAZA DOS DE MAYO,CENTRO,UNIVERSIDAD
16977,C/ VEZA CON C/PLÁTANO,TETUAN,VALDEACEDERAS
52068,C/TENERIFE CON C/SAN RAIMUNDO,TETUAN,BELLAS VISTAS
16990,PLAZA OLAVIDE,CHAMBERI,TRAFALGAR
16960,AVDA. BRASIL 13,TETUAN,CUATRO CAMINOS
4737844,CALLE DE BENJAMIN PALENCIA 24,PUENTE DE VALLECAS,PORTAZGO
3531285,PAR MIRABEL,LATINA,LAS AGUILAS
4737855,AVENIDA DE MIGUEL HERNANDEZ 11,PUENTE DE VALLECAS,PALOMERAS SURESTE
8800259,CALLE VIZCONDE DE ARLESSON,PUENTE DE VALLECAS,SAN DIEGO
4737941,CALLE DEL PUERTO DE BALBARAN 127,PUENTE DE VALLECAS,PALOMERAS BAJAS
4737942,CALLE DE AMBROZ 3,VICALVARO,CASCO H.VICALVARO
4737943,CALLE DE LA LADERA DE LOS ALMENDROS 14G,VICALVARO,VALDEBERNARDO
3990963,"CALLE PUERTO DE BEJAR, 5",ARGANZUELA,LEGAZPI
16886,Pº DE LA CASTELLANA II,CHAMARTIN,CASTILLA
16894,PARQUE DE BERLIN,CHAMARTIN,CIUDAD JARDIN
52054,PARQUE DE LA INFANCIA DE CHAMARTÍN,CHAMARTIN,CIUDAD JARDIN
17032,CALLE ISLAS JARVI 2,FUENCARRAL-EL PARDO,VALVERDE
16838,PLAZA DE PEÑASCALES,SALAMANCA,FUENTE DEL BERRO
52077,"AVENIDA VENTISQUERO DE LA CONDESA, 35",FUENCARRAL-EL PARDO,MIRASIERRA
17042,PLAZA FONSAGRADA CON PLAZA REDONDELA,FUENCARRAL-EL PARDO,EL PILAR
52076,PARQUE GABRIELA MISTRAL,FUENCARRAL-EL PARDO,FUENTELARREINA
52075,PARQUE POBL. S. FRANCISCO,FUENCARRAL-EL PARDO,FUENTELARREINA
17177,PLAZA AURORA BOREAL,MONCLOA-ARAVACA,ARAVACA
16799,PARQUE DE ROMA,RETIRO,ESTRELLA
17214,PARQUE ARROYO POZUELOAMPLIACION,MONCLOA-ARAVACA,ARAVACA
17225,AMPLIACION PARQUE ARROYO  POZUELO,MONCLOA-ARAVACA,ARAVACA
52085,CALLE VALDERROMAN 24,MONCLOA-ARAVACA,VALDEZARZA
3531284,PARQUE MARTIN LUTHER KING,RETIRO,ADELFAS
17196,PARQUE LUISA CARNES,MONCLOA-ARAVACA,VALDEZARZA
17207,CALLE LONG,MONCLOA-ARAVACA,VALDEZARZA
3558513,"CALLE SECO, 14",RETIRO,ADELFAS
16714,PZA. MERCADO,ARGANZUELA,IMPERIAL
16725,ACACIAS  PASILLO VERDE,ARGANZUELA,ACACIAS
17283,PARQUE ALUCHE,LATINA,ALUCHE
17304,PARQUE CARAMUEL,LATINA,PUERTA DEL ANGEL
17157,Pº ANICETO MARINAS,MONCLOA-ARAVACA,CASA DE CAMPO
17315,CALLE CASTROSERNA JUNTO CENTRO CULTURAL LUCERO,LATINA,LUCERO
3568695,"CALLE GENERAL CADENAS CAMPOS, 21",MONCLOA-ARAVACA,VALDEZARZA
17324,GRAL. FANJUL  STA. MARGARITA,LATINA,LAS AGUILAS
17353,PARQUE ALUCHE,LATINA,ALUCHE
3573058,PLAZA DE LOS PINAZO 23D,VILLAVERDE,SAN CRISTOBAL
4704499,DETRAS DEL MERCADO,CHAMARTIN,CASTILLA
4738111,PARQUE ATENAS,CENTRO,PALACIO
18626,C NORAY 3,BARAJAS,ALAMEDA DE OSUNA
3568166,C PRADOLUENGO 123,BARAJAS,AEROPUERTO
18617,PLAZA NAVIO 4,BARAJAS,ALAMEDA DE OSUNA
18596,C AYERBE 10,BARAJAS,CASCO H.BARAJAS
18606,C BAHIA DE SANTOÑA 6,BARAJAS,CORRALEJOS
3568173,C ALAS 2,BARAJAS,TIMON
3568177,C ACUARIO 27,BARAJAS,CASCO H.BARAJAS
17015,PARQUE DEL PUEBLO DE EL PARDO,FUENCARRAL-EL PARDO,EL PARDO
17578,AVENIDA DE RAFAELA YBARRA 22,USERA,PRADOLONGO
52142,AV MARQUES DE CORBERA 4,CIUDAD LINEAL,VENTAS
17929,C JOSE DEL HIERRO,CIUDAD LINEAL,CONCEPCION
52143,C SAN BALDOMERO,CIUDAD LINEAL,PUEBLO NUEVO
17918,C DOCTOR CIRAJAS,CIUDAD LINEAL,PUEBLO NUEVO
16875,JARDINES MARIO BENEDETTI,CHAMARTIN,PROSPERIDAD
52084,"CALLE VALDERREY, 40",MONCLOA-ARAVACA,VALDEZARZA
17293,PARQUE DE CERRO ALMODOVAR  1ª  2ª FASE,LATINA,ALUCHE
17343,PARQUE FÉLIX CORTÉS,LATINA,ALUCHE
3573018,CALLE DE LA VIRGEN DE LAS VIÑAS 22,VILLA DE VALLECAS,SANTA EUGENIA
18297,CALLE DE BABILAFUENTE 2,VILLA DE VALLECAS,CASCO H.VALLECAS
3573773,ESCUADRON  ALMENAS,FUENCARRAL-EL PARDO,EL PARDO
3573054,CALLE DE LA ALEGRIA DE LA HUERTA 16,VILLAVERDE,LOS ANGELES
18180,C MAR ADRIATICO 7,HORTALEZA,PINAR DEL REY
18190,C JULIO DANVILA 15,HORTALEZA,APOSTOL SANTIAGO
18047,C MAR DE LAS ANTILLAS,HORTALEZA,PINAR DEL REY
18057,C MIGUEL RIESCO,HORTALEZA,CANILLAS
18066,C ANDORRA 28,HORTALEZA,CANILLAS
18076,C ACONCAGUA 4,HORTALEZA,CANILLAS
18086,C VELEZ RUBIO 31,HORTALEZA,APOSTOL SANTIAGO
18096,C JUAN DANIEL FULLAONDO 2,HORTALEZA,VALDEFUENTES
18103,C JOSE LUIS COLL 3,HORTALEZA,VALDEFUENTES
3531286,CALLE VALLE INCLAN 3335,LATINA,LAS AGUILAS
17588,CALLE DEL DOCTOR TOLOSA LATOUR 25,USERA,PRADOLONGO
17607,CALLE DE MARCELO USERA 149,USERA,ZOFIO
17626,CALLE DE CESTONA 84,USERA,ORCASITAS
52114,CALLE  GRAN AVENIDA 17A,USERA,ORCASITAS
52120,CALLE DEL CAMINO VIEJO DE VILLAVERDE 34,USERA,ORCASITAS
52116,CALLE DE RICARDO BELTRAN Y ROZPIDE 10,USERA,ZOFIO
17597,CALLE DE LA ASUNCION 1,USERA,ALMENDRALES
17615,CALLE DE SOCUELLAMOS 12,USERA,ALMENDRALES
18433,PLAZA CEFIRO 2,SAN BLAS-CANILLEJAS,CANILLEJAS
18454,AV SEXTA 4,SAN BLAS-CANILLEJAS,REJAS
18463,C LA ILIADA 35,SAN BLAS-CANILLEJAS,ROSAS
18480,C CANAL DEL BOSFORO 40,SAN BLAS-CANILLEJAS,CANILLEJAS
18496,AV CANILLEJAS A VICALVARO 135,SAN BLAS-CANILLEJAS,ROSAS
18505,PASEO GINEBRA 20,SAN BLAS-CANILLEJAS,ROSAS
17636,CALLE DE ALZOLA 2,USERA,ORCASITAS
17643,CALLE DE LA EXPROPIACION 1,USERA,ORCASITAS
52115,CALLE DE HERNANDEZ REQUENA 1,USERA,ALMENDRALES
17423,"CALLE CARRANQUE, 22",CARABANCHEL,ABRANTES
17433,CALLE DEL PARQUE EUGENIA DE MONTIJO 1,CARABANCHEL,VISTA ALEGRE
17440,CALLE DE ANTONIA LANCHA 37,CARABANCHEL,OPAÑEL
17459,CALLE DE NUESTRA SEÑORA DE LA LUZ 9,CARABANCHEL,VISTA ALEGRE
17464,CALLE DE MERCEDES ARTEAGA 24,CARABANCHEL,OPAÑEL
17469,CALLE DEL PARQUE EUGENIA DE MONTIJO 78,CARABANCHEL,VISTA ALEGRE
17478,GLORIETA DE VALLE DE ORO 13,CARABANCHEL,OPAÑEL
17488,AVENIDA DE NUESTRA SEÑORA DE VALVANERA 111,CARABANCHEL,VISTA ALEGRE
52101,CALLE  VIA LUSITANA  1,CARABANCHEL,ABRANTES
52102,CALLE DEL MONSEÑOR OSCAR ROMERO 73,CARABANCHEL,VISTA ALEGRE
3573049,CALLE DEL GENERAL RICARDOS 126,CARABANCHEL,SAN ISIDRO
451584,CAMINO DE PARQUE,ARGANZUELA,ATOCHA
18199,CALLE DE BENIMAMET 137,VILLAVERDE,SAN CRISTOBAL
18209,CALLE DE SAN LUCIANO 15,VILLAVERDE,LOS ANGELES
18249,CALLE DE LA UNANIMIDAD 44,VILLAVERDE,LOS ROSALES
18241,PASEO DE ALBERTO PALACIOS 1,VILLAVERDE,VILLAVERDE ALTO C.H.
18231,CALLE DE GODELLA 102,VILLAVERDE,SAN CRISTOBAL
18220,CALLE DE SANTIAGO AMON 2,VILLAVERDE,LOS ANGELES
18258,CALLE DE LA DEL SOTO DEL PARRAL 61,VILLAVERDE,LOS ANGELES
18279,CALLE DE CIFUENTES 1,VILLAVERDE,LOS ANGELES
3573056,CALLE DE LA DEL MANOJO DE ROSAS 96,VILLAVERDE,LOS ANGELES
3573055,CALLE DE PAN Y TOROS 24,VILLAVERDE,LOS ANGELES
3573057,CALLE DE ALCOCER 26,VILLAVERDE,LOS ANGELES
451593,A.P.E. 08 16 ARROYO DEL FRESNO,FUENCARRAL-EL PARDO,MIRASIERRA
16849,PARQUE DE MARIA EVA DUARTE DE PERON,SALAMANCA,GUINDALERA
18269,CALLE DE LA CANCION DEL OLVIDO 16,VILLAVERDE,LOS ANGELES
3611795,COL. DEHESA DEL PPE.,LATINA,CAMPAMENTO
18487,C NAVARIDAS 14,SAN BLAS-CANILLEJAS,REJAS
3739833,PARQUE NORTE CARMEN TAGLE,FUENCARRAL-EL PARDO,LA PAZ
3740788,PARQUE DE LA BOMBILLA,MONCLOA-ARAVACA,CASA DE CAMPO
17723,CALLE DE TORREMOLINOS 16,PUENTE DE VALLECAS,PALOMERAS SURESTE
52135,CALLE DEL CAMINO DE LOS VINATEROS 136,MORATALAZ,VINATEROS
17824,CALLE DEL ARROYO DE LAS PILILLAS 10,MORATALAZ,MEDIA LEGUA
3573917,PARQUE BEGOÑA,FUENCARRAL-EL PARDO,VALVERDE
17731,CALLE DE ANGELILLO 17,PUENTE DE VALLECAS,PALOMERAS SURESTE
17741,CALLE DE BENJAMIN PALENCIA 2,PUENTE DE VALLECAS,NUMANCIA
17703,CALLE DE BENARRABA 5,PUENTE DE VALLECAS,PALOMERAS SURESTE
17751,CALLE DE LAS MARISMAS 61,PUENTE DE VALLECAS,NUMANCIA
3960567,BRESCIA  BRASILIA,SALAMANCA,GUINDALERA
3960929,JARDINES GREGORIO ORDOÑEZ,SALAMANCA,LISTA
3961443,PLAZA DE SAN CAYETANO,SALAMANCA,GUINDALERA
3962084,PZA. SAGRADO CORAZON DE JESUS,CHAMARTIN,CIUDAD JARDIN
3962563,LOS TRES OLIVOS,FUENCARRAL-EL PARDO,VALVERDE
3990761,PARQUE DE DELICIAS,ARGANZUELA,DELICIAS
3990960,PARQUE DE LAS PEÑUELAS,ARGANZUELA,ACACIAS
3991019,JARDINES CONDE CARTAGENA  ABTAO,RETIRO,NIÑO JESUS
3991087,PARQUE MARTIN LUTHER KING,RETIRO,ADELFAS
3991132,DAOIZ Y VELARDE,RETIRO,PACIFICO
3991153,URUGUAY  PINTOR RIBERA  ARBOLADO,CHAMARTIN,HISPANOAMERICA
3991194,PARQUE DE FRANCOS RDGUEZ.,MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA
3991213,JUAN CARMONA “HABICHUELA,LATINA,CAMPAMENTO
3991299,PZA. OSA DE LA VEGA,LATINA,LAS AGUILAS
3991326,JARDIN CEBREROS  SEPULVEDA,LATINA,LUCERO
4730800,CALLE DE VILLABLANCA 1,VICALVARO,CASCO H.VICALVARO
4730819,CALLE DE PADUL 1,USERA,ORCASUR
4730835,CALLE DE LA SILVINA 9,USERA,SAN FERMIN
4730844,CALLE DE POTES 3,VILLAVERDE,VILLAVERDE ALTO C.H.
4730856,CALLE DE ASTILLERO 5,VILLAVERDE,VILLAVERDE ALTO C.H.
4730869,CAMINO DE LAS CRUCES 16,CARABANCHEL,BUENAVISTA
4730886,PLAZA DE SAN VICENTE DE PAUL 1,CARABANCHEL,ABRANTES
17007,PZA. DOMÉNICO SCARLATTI,CHAMBERI,VALLEHERMOSO
16938,PARQUE RODRIGUEZ SAHAGUN CON Cº DEL CHORRILLO,TETUAN,VALDEACEDERAS
4731641,PZA. CANAL DE ISABEL II,TETUAN,BERRUGUETE
4731656,PZA. CONDE DEL VALLE DE SUCHIL,CHAMBERI,ARAPILES
4731667,PLAZA SALESAS,CENTRO,JUSTICIA
4796512,CALLE DE LA SIERRA GORDA 25B,VILLA DE VALLECAS,CASCO H.VALLECAS
4940263,JARDINES REVENGA,CHAMBERI,GAZTAMBIDE
4985689,RONDA DE LAS COOPERATIVAS 4,USERA,ORCASITAS
4986212,PARQUE ANA TUTOR,FUENCARRAL-EL PARDO,PEÑA GRANDE
4987144,CALLE DE AZCOITIA 31,CARABANCHEL,BUENAVISTA
4987160,PLAZA DE SETUBAL 6B,CARABANCHEL,ABRANTES
4988166,PLAZA ARTURO BAREA,CENTRO,EMBAJADORES
4988217,CALLE DE VILLALOBOS 87,PUENTE DE VALLECAS,PALOMERAS SURESTE
4988273,CALLE DE IMPERIO ARGENTINA 7,VICALVARO,EL CAÑAVERAL
4989388,JARDIN DEL GRANITO,ARGANZUELA,DELICIAS
4989404,CALLE DE SAN JUAN DE LA PEÑA 17,VILLA DE VALLECAS,CASCO H.VALLECAS
3740132,PARQUE DE LA SUPERMANZANA 7,FUENCARRAL-EL PARDO,LA PAZ
4704508,DR. JOAQUIN LORENZO (APE 08.11),FUENCARRAL-EL PARDO,PEÑA GRANDE
4731210,JARDINES MEDARDO FRAILE,CHAMARTIN,PROSPERIDAD
5025103,CALLE DE RICARDO BELTRAN Y ROZPIDE 16,USERA,ZOFIO
5075332,LAGO DE SANABRIA 1,VICALVARO,CASCO H.VICALVARO
5158970,CALLE PILAR DE MADARIAGA ROJO 28051 MADRID,VILLA DE VALLECAS,ENSANCHE DE VALLECAS
5173859,CALLE DE LAS LENGUAS 6C,VILLAVERDE,VILLAVERDE ALTO C.H.
5174650,CALLE DEL CAMPO DE LA PALOMA 8,PUENTE DE VALLECAS,PALOMERAS SURESTE
5174720,"AV. DEL DR. GARCIA TAPIA, 74",MORATALAZ,MEDIA LEGUA
16905,PARQUE FELIX RODRIGUEZ DE LA FUENTE,CHAMARTIN,PROSPERIDAD
5195568,CALLE DE SAN CLAUDIO 89,PUENTE DE VALLECAS,PALOMERAS SURESTE
5195676,PASEO DE LOS FERROVIARIOS 39,VILLAVERDE,VILLAVERDE ALTO C.H.
5201907,PLAZA LA OROTAVA 6,CIUDAD LINEAL,PUEBLO NUEVO
5209024,"C. CINE, 33 CINE",LATINA,CAMPAMENTO
5209092,"C. HIGUERAS, 47A AJARDINAMIENTO CEBREROS  HIGUERAS",LATINA,LUCERO
5211393,C EL PROVENCIO 14,HORTALEZA,CANILLAS
5211511,CALLE CARLOS MARÍN 10,USERA,PRADOLONGO
5218554,PZA. JOAQUIN DICENTA,TETUAN,ALMENARA
5218558,C/ SAN LEOPOLDO Nº78,TETUAN,ALMENARA
5218564,C/ SAN AQUILINO Nº6,TETUAN,ALMENARA
17005,JARDINES CENTRO CULTURAL GALILEO,CHAMBERI,ARAPILES
5220679,CALLE DE CONCEPCIÓN DE LA OLIVA 1,VILLAVERDE,BUTARQUE
5270355,PLAZA NELSON MANDELA,CENTRO,EMBAJADORES
5268593,PARQUE ORLANDO ZAPATA TAMAYO,CHAMARTIN,HISPANOAMERICA
6779455,COMANDANTE FORTEA 25 POST.,MONCLOA-ARAVACA,CASA DE CAMPO
6843085,PLAZA PEÑUELAS,ARGANZUELA,ACACIAS
7021749,CALLE DE FOBOS 4,MORATALAZ,MARROQUINA
7074478,CALLE DEL PAYASO FOFO 11,PUENTE DE VALLECAS,PALOMERAS BAJAS
7074605,CALLE DEL PAYASO FOFO 9,PUENTE DE VALLECAS,PALOMERAS BAJAS
7107055,MARCOS DE ORUETA 7 POST.,FUENCARRAL-EL PARDO,VALVERDE
7107704,PLAZA PICO DE LA SALVAGUARDA,FUENCARRAL-EL PARDO,PEÑA GRANDE
7107707,RIBERA DEL MANZANARES 111,MONCLOA-ARAVACA,CASA DE CAMPO
7125612,MARIA DE MAEZTU 50,FUENCARRAL-EL PARDO,MIRASIERRA
7125670,PICO MAJALASNA CV PICO BALAITUS,FUENCARRAL-EL PARDO,PEÑA GRANDE
7126078,CALLE DE LOS VECINOS DEL POZO 18,PUENTE DE VALLECAS,ENTREVIAS
7126494,CALLE DE LUIS OCAÑA 2,VICALVARO,EL CAÑAVERAL
7126499,CALLE DE VICTORIA KENT 110,VICALVARO,EL CAÑAVERAL
7126585,CALLE DE JOSE ESCOBAR Y SALIENTE 36,VICALVARO,EL CAÑAVERAL
7126590,CALLE DE GALES 31,VICALVARO,EL CAÑAVERAL
7127773,PZA. POETA LEOPOLDO LUIS,TETUAN,BELLAS VISTAS
7144040,PZA. SAN GERMÁN,TETUAN,CASTILLEJOS
7165658,BRETON DE LOS HERREROS,CHAMBERI,RIOS ROSAS
7168554,CONDE DUQUE,CENTRO,UNIVERSIDAD
7168609,PLAZA RUTILO GACIS,ARGANZUELA,CHOPERA
7182696,AVENIDA DE MORATALAZ 134,MORATALAZ,VINATEROS
7239998,CALLE DE VALLE DE ORO 41,CARABANCHEL,OPAÑEL
7245849,CUÑA VERDE CV C/ALHAMBRA,LATINA,LUCERO
7247916,RONDA  SUR 119,PUENTE DE VALLECAS,ENTREVIAS
7248199,PLAZA CHOZA DE CANALES 4,VILLAVERDE,LOS ROSALES
7403980,CALLE DE BESOLLA 5,CARABANCHEL,ABRANTES
7537965,CALLE DE RONDA DE LAS COOPERATIVAS 6,USERA,ORCASITAS
7538071,CALLE DEL CAMINO VIEJO DE VILLAVERDE 36,USERA,ORCASITAS
7595814,C TORRELAGUNA 50,CIUDAD LINEAL,SAN PASCUAL
7602200,AV INSTITUCION LIBRE DE ENSEÑANZA 147,SAN BLAS-CANILLEJAS,ARCOS
7613890,PZA. DEL ESTE,TETUAN,ALMENARA
7838875,CALLE DE RAMIREZ TOME 21,PUENTE DE VALLECAS,PORTAZGO
7840614,PARQUE CASINO DE LA REINA (AREA 2),CENTRO,EMBAJADORES
7861574,CALLE DE LA CANCION DEL OLVIDO 48,VILLAVERDE,LOS ANGELES
7886698,AVD. DEL FERROL 14 POST.,FUENCARRAL-EL PARDO,EL PILAR
7895078,FERROL 29 POST.,FUENCARRAL-EL PARDO,EL PILAR
7928105,"CALLE DEL CERRO DEL TESORO, 2",VICALVARO,EL CAÑAVERAL
8799604,CALLE BASILICA 17,TETUAN,CUATRO CAMINOS
7943778,CALLE DE CATALINA LABOURE 1,CARABANCHEL,OPAÑEL
16707,CALLE CANARIAS 24,ARGANZUELA,PALOS DE LA FRONTERA
18447,C ALBAIDA 3,SAN BLAS-CANILLEJAS,HELLIN
18440,C NECTAR 39,SAN BLAS-CANILLEJAS,CANILLEJAS
18470,C MARIA SEVILLA DIAGO 2,SAN BLAS-CANILLEJAS,ROSAS
