"CÓDIGO
APAR";APARCAMIENTO;"PRECIO
PROMEDIO";"PRECIO
MÍNIMO";"PRECIO
MÁXIMO";"GAMA
PRECIOS";"*INI
CONCESIÓN";"FIN
CONCESIÓN";"AÑOS
RESTANTES"
1016;AVENIDA DE LAS ÁGUILAS;9.305,73 €;7.920,87 €;20.912,80 €;91;3/02/1996;3/02/2071;48
1022;AVENIDA DE PORTUGAL;13.507,31 €;6.062,13 €;30.311,53 €;6;12/07/2010;12/07/2050;27
917;AZUAGA;7.165,17 €;6.077,91 €;11.615,56 €;27;1/06/2005;1/06/2055;32
417;BAVIERA;11.184,99 €;10.882,41 €;19.437,20 €;10;31/07/1995;31/07/2070;47
1618;BELIANES;8.893,64 €;7.674,57 €;16.464,88 €;13;3/11/2003;3/11/2053;31
711;BLASCO DE GARAY;11.578,59 €;9.491,29 €;23.803,78 €;148;4/07/1996;4/07/2071;48
1703;BOHEMIOS;4.196,50 €;3.940,95 €;6.699,11 €;10;18/06/1993;18/06/2043;20
405;BOSTON;4.414,94 €;4.023,10 €;8.316,54 €;30;14/07/1989;14/07/2039;16
602;BRASIL;2.571,96 €;2.494,23 €;3.718,35 €;3;25/07/1984;25/07/2034;11
704;BRAVO MURILLO;7.768,77 €;3.619,72 €;19.640,04 €;63;30/06/1992;30/06/2042;19
404;BRESCIA;4.758,09 €;3.287,67 €;11.927,65 €;56;20/10/1989;20/10/2039;17
401;BRISTOL;2.865,39 €;836,02 €;3.426,97 €;4;15/09/1982;15/09/2032;10
402;BRUSELAS;3.641,40 €;3.425,53 €;5.173,66 €;12;15/05/1986;15/05/2036;13
1611;BURGO DE OSMA;14.808,77 €;12.955,39 €;39.061,35 €;62;1/03/1999;1/03/2074;51
120;CABESTREROS;4.709,51 €;4.709,51 €;4.709,51 €;1;6/07/2007;6/07/2057;34
1604;CALANDA;4.271,42 €;3.499,13 €;6.401,51 €;30;30/09/1988;30/09/2038;16
1002;CAMARENA;3.847,64 €;3.565,79 €;12.864,87 €;6;20/05/1987;20/05/2037;14
1406;CAMINO DE LOS VINATEROS I;3.963,87 €;1.021,42 €;4.882,44 €;18;19/05/1989;19/05/2039;16
1407;CAMINO DE LOS VINATEROS II;4.090,03 €;3.710,81 €;9.191,84 €;32;13/02/1989;13/02/2039;16
1113;CAMINO VIEJO DE LEGANÉS;8.251,28 €;7.579,96 €;15.913,15 €;63;31/07/1995;31/07/2070;47
102;CAMPILLO DEL MUNDO NUEVO;5.149,58 €;1.418,63 €;8.069,36 €;17;1/08/1992;1/08/2042;19
722;CANAL;15.242,86 €;11.557,69 €;38.748,87 €;76;31/03/1999;31/03/2074;51
918;CÁNDIDO MATEOS;9.704,22 €;3.176,16 €;21.000,36 €;30;7/10/2005;7/10/2045;23
2101;CANTABRIA;10.972,33 €;3.595,91 €;20.664,13 €;83;17/06/1995;17/06/2070;47
1401;CAÑADA;3.017,70 €;826,73 €;5.689,46 €;13;15/07/1985;15/07/2035;12
122;CASINO DE LA REINA;4.673,23 €;4.673,23 €;4.673,23 €;1;8/10/2004;8/10/2054;32
418;CASTELLÓ;17.688,49 €;16.062,93 €;27.234,00 €;58;20/11/1998;20/11/2073;51
1801;CASTRILLO DE AZA;4.943,09 €;4.605,69 €;7.139,27 €;15;1/04/1992;1/04/2042;19
708;CHAMBERÍ;14.599,99 €;12.896,35 €;40.156,04 €;67;30/10/1995;30/10/2070;48
1614;CHAPARRAL;9.256,95 €;8.079,63 €;18.821,61 €;65;29/04/2002;29/04/2052;29
1511;CIDAMÓN;4.506,36 €;3.687,75 €;6.342,24 €;28;1/04/1992;1/04/2042;19
502;CLARA DEL REY;4.247,28 €;4.168,68 €;4.328,56 €;2;30/05/1987;30/05/2037;14
1109;CODORNIZ;6.153,40 €;595,77 €;9.718,45 €;31;13/06/1994;13/06/2044;21
202;COMANDANTE BENÍTEZ;2.674,10 €;2.424,99 €;2.935,51 €;2;25/03/1984;25/03/2034;11
1501;CONDADO DE TREVIÑO;4.782,31 €;2.881,37 €;7.855,94 €;16;22/10/1987;22/10/2037;15
308;CONDE DE CASAL;16.327,92 €;8.804,80 €;47.044,12 €;84;7/03/1994;7/03/2069;46
710;CONDE DEL VALLE DE SÚCHIL;15.022,35 €;9.025,51 €;31.011,89 €;457;31/07/1996;31/07/2071;48
607;CONDESA DE GAVIA;4.526,01 €;4.049,36 €;5.159,51 €;3;22/12/1989;22/12/2039;17
504;CORAZÓN DE MARÍA I;4.566,32 €;4.215,40 €;7.291,47 €;13;29/10/1987;29/10/2037;15
511;CORAZÓN DE MARÍA II;6.054,26 €;6.054,26 €;6.054,26 €;1;29/01/1993;29/01/2043;20
911;CORONA BOREAL;7.883,73 €;7.883,73 €;7.883,73 €;1;29/06/2001;29/06/2051;28
1602;CUEVAS DE ALMANZORA;2.891,29 €;2.684,51 €;3.074,99 €;4;1/11/1986;1/11/2036;14
1616;CUMARE;9.557,91 €;7.950,85 €;23.643,54 €;69;26/09/2002;26/09/2052;30
319;DAOÍZ Y VELARDE;9.487,14 €;3.771,63 €;16.359,19 €;70;4/04/2006;4/04/2056;33
1410;DARWIN;3.836,91 €;3.226,80 €;7.037,97 €;72;11/10/1990;11/10/2040;18
416;DÍAZ PORLIER;16.068,80 €;12.935,83 €;32.237,00 €;68;1/12/1998;1/12/2073;51
317;DOCE DE OCTUBRE;14.331,82 €;12.259,22 €;24.719,30 €;65;26/02/2009;26/02/2049;26
1519;DOCTOR CIRAJAS;9.471,76 €;7.623,46 €;20.875,68 €;42;5/04/1995;5/04/2070;47
306;DOCTOR LAGUNA;6.229,96 €;5.839,88 €;9.206,07 €;19;22/04/1993;22/04/2043;20
712;DOMÉNICO SCARLATTI;14.120,09 €;11.731,72 €;26.412,32 €;88;1/06/1998;1/06/2073;50
431;ELVIRA;15.976,30 €;12.017,27 €;24.098,36 €;29;1/11/2008;1/11/2048;26
1608;EMIGRANTES;5.534,97 €;4.955,33 €;8.519,40 €;17;30/12/1993;30/12/2043;21
1413;ENCOMIENDA DE PALACIOS;5.779,49 €;5.125,43 €;6.525,08 €;23;1/09/1992;1/09/2042;19
1419;ENCUENTRO;12.304,45 €;11.847,43 €;18.003,26 €;14;31/12/1996;31/12/2071;49
2002;ESFINGE;8.771,59 €;2.989,72 €;16.953,52 €;29;27/03/1993;27/03/2068;45
316;ESPALTER;19.554,75 €;7.010,13 €;63.901,26 €;59;23/06/2005;23/06/2055;32
208;ESPERANZA;5.208,95 €;4.831,36 €;11.928,32 €;33;8/06/1993;8/06/2043;20
1707;ESPINILLO;9.559,07 €;8.794,30 €;18.145,89 €;14;26/06/1997;26/06/2072;49
307;ESTEBAN VILLEGAS;6.026,39 €;5.646,22 €;15.417,94 €;28;17/12/1993;17/12/2043;21
302;ESTRELLA POLAR;4.562,61 €;1.686,54 €;8.474,69 €;42;18/04/1989;18/04/2039;16
1111;EUGENIA DE MONTIJO;6.777,93 €;4.741,55 €;12.378,82 €;55;26/04/1995;26/04/2070;47
422;FELIPE II;13.033,89 €;3.352,94 €;23.796,72 €;179;10/04/1999;30/07/2039;16
5005;FERNÁNDEZ SHAW;15.966,79 €;14.709,63 €;30.998,03 €;24;1/02/1996;1/02/2071;48
806;FERROL;3.980,36 €;3.485,51 €;38.077,07 €;27;2/10/1988;2/10/2038;16
807;FINISTERRE;4.794,09 €;4.456,26 €;6.393,81 €;15;8/11/1989;8/11/2039;17
822;FONSAGRADA;7.346,77 €;2.623,66 €;11.802,55 €;28;29/06/2001;29/06/2051;28
430;FRANCISCO ALTIMIRAS;15.666,13 €;14.535,51 €;24.317,66 €;9;1/11/2008;1/11/2048;26
1520;FRANCISCO RIOJA;12.818,61 €;11.349,78 €;24.826,74 €;37;31/07/1995;31/07/2070;47
614;FRANCOS RODRÍGUEZ;14.603,67 €;12.490,38 €;31.536,05 €;72;31/07/1995;31/07/2070;47
714;FUENCARRAL;9.647,22 €;9.281,81 €;11.368,42 €;5;10/10/1995;12/10/2045;23
707;GALILEO;7.103,54 €;6.252,31 €;10.665,05 €;25;8/07/1994;8/07/2044;21
1008;GARCÍA ESCÁMEZ;3.817,11 €;3.205,09 €;8.418,82 €;23;10/06/1991;10/06/2041;18
1402;GARCÍA TAPIA;4.522,99 €;3.954,40 €;5.491,02 €;7;22/04/1988;22/04/2038;15
1004;GARROVILLAS;6.998,87 €;6.603,93 €;11.921,04 €;24;30/11/1989;30/11/2064;42
516;GENERAL GALLEGOS;19.483,61 €;17.704,77 €;23.692,85 €;21;1/09/1998;1/09/2073;50
207;GENERAL LACY;9.505,16 €;5.790,41 €;13.732,23 €;42;8/07/1994;8/07/2044;21
1515;GERARDO CORDÓN;4.914,17 €;4.401,39 €;10.250,25 €;27;1/07/1992;1/07/2042;19
1505;GERMÁN PÉREZ CARRASCO;3.969,20 €;3.084,14 €;7.349,22 €;16;22/12/1987;22/12/2037;15
827;GINZO DE LIMIA;12.811,35 €;12.234,96 €;18.278,01 €;13;1/12/2008;1/12/2048;26
403;GÓMEZ ULLA;4.309,43 €;4.052,88 €;6.214,71 €;9;1/06/1987;1/06/2037;14
412;GOYA;8.810,88 €;8.008,04 €;84.293,88 €;35;1/09/1992;1/09/2042;19
1108;GUADALETE;6.021,41 €;5.501,22 €;6.867,85 €;6;28/06/1994;28/06/2044;21
617;HERNANI;16.833,61 €;4.603,57 €;42.349,53 €;26;20/05/1997;20/05/2072;49
2006;ILÍADA;11.407,77 €;7.502,13 €;11.891,68 €;8;22/08/2006;22/08/2046;23
1015;ILLESCAS;9.687,14 €;8.863,73 €;12.110,66 €;16;13/02/1995;13/02/2070;47
823;ILUSTRACIÓN;14.029,28 €;11.890,82 €;28.107,06 €;19;24/06/2002;24/06/2077;54
804;ISLA DE AROSA;3.298,35 €;3.177,29 €;3.557,12 €;4;1/06/1987;1/06/2037;14
810;ISLA DE ONS;4.598,63 €;4.252,38 €;7.347,48 €;25;21/02/1992;21/02/2042;19
802;ISLA DE TAVIRA;3.323,13 €;3.058,87 €;5.472,26 €;13;22/06/1987;22/06/2037;14
723;ISLAS FILIPINAS;17.423,40 €;6.894,84 €;58.292,85 €;135;30/04/1999;30/04/2074;51
1102;IVÁN DE VARGAS;4.211,29 €;3.746,71 €;10.453,68 €;20;24/07/1989;24/07/2039;16
110;JACINTO BENAVENTE;8.414,42 €;7.045,51 €;21.237,66 €;20;10/06/1998;10/06/2048;25
1107;JACINTO VERDAGUER;4.696,39 €;3.797,01 €;11.349,07 €;95;1/12/1992;1/12/2042;20
706;JOAQUÍN MARÍA LÓPEZ;5.033,08 €;4.762,28 €;6.956,55 €;5;3/06/1992;3/06/2042;19
719;JOSÉ ABASCAL;21.976,78 €;14.399,62 €;30.115,59 €;45;22/12/1998;22/12/2073;51
604;JOSÉ CASTÁN TOBEÑAS;3.783,44 €;3.466,11 €;7.109,98 €;12;30/01/1988;30/01/2038;15
1001;JOSÉ DE CADALSO;2.142,43 €;1.722,11 €;3.403,96 €;117;15/06/1985;15/06/2035;12
508;JOSÉ DE VASCONCELOS;5.816,18 €;5.037,81 €;15.807,73 €;34;8/04/1991;8/04/2041;18
1516;JOSÉ DEL HIERRO;5.761,90 €;5.181,83 €;9.153,18 €;28;14/06/1993;14/06/2043;20
1513;JOSÉ LUIS ARRESE;4.270,81 €;4.124,92 €;4.491,59 €;3;29/07/1991;29/07/2041;18
517;JOSEP PLA;8.148,66 €;5.917,39 €;16.429,48 €;121;29/11/2000;29/11/2050;28
203;JUAN DE VERA;3.891,31 €;3.462,48 €;6.133,80 €;32;8/01/1991;8/01/2041;18
321;JUAN ESPLANDIÚ;14.382,68 €;14.073,68 €;14.537,18 €;6;1/12/2010;1/12/2050;28
1404;JUAN FRANCISCO DE LUJÁN I;3.699,87 €;3.552,85 €;3.851,90 €;3;15/05/1987;15/05/2037;14
1417;JUAN FRANCISCO DE LUJÁN II;11.397,07 €;7.900,49 €;43.543,61 €;103;13/02/1996;13/02/2071;48
507;JUAN HURTADO DE MENDOZA;5.155,17 €;4.732,82 €;5.670,73 €;6;15/07/1989;15/07/2039;16
524;JUAN RAMÓN JIMÉNEZ;15.179,02 €;9.929,28 €;15.618,76 €;5;22/12/2006;22/12/2046;24
808;LA BAÑEZA;3.475,94 €;3.287,62 €;5.068,78 €;10;26/12/1989;26/12/2039;17
409;LAGASCA;17.559,37 €;16.177,17 €;28.015,65 €;46;30/09/1998;30/09/2073;51
1902;LARDERO;9.248,51 €;9.149,02 €;9.350,10 €;2;11/11/1993;11/11/2068;46
410;MALDONADO;5.771,48 €;1.586,57 €;12.523,61 €;65;22/05/1991;22/05/2041;18
1605;MANIZALES;3.610,95 €;3.008,08 €;6.555,26 €;34;22/10/1988;22/10/2038;16
1202;MANUEL NOYA;5.132,61 €;4.493,23 €;8.182,80 €;25;30/05/1994;30/05/2044;21
805;MARCOS DE ORUETA;3.394,42 €;3.105,85 €;6.109,49 €;17;2/06/1987;2/06/2037;14
1504;MARQUÉS DE CORBERA I;3.472,90 €;3.268,63 €;6.625,32 €;18;21/05/1987;21/05/2037;14
1507;MARQUÉS DE CORBERA II;3.871,41 €;1.266,26 €;6.670,79 €;20;30/12/1989;30/12/2039;17
420;MARQUÉS DE SALAMANCA;9.840,21 €;9.190,82 €;11.095,97 €;8;10/10/1995;10/10/2045;23
213;MARQUÉS DE SAMARANCH;15.457,86 €;5.483,46 €;21.934,10 €;16;1/12/2008;1/12/2048;26
2001;MARQUÉS DE SUANCES;4.194,98 €;3.703,86 €;5.810,35 €;27;15/12/1991;15/12/2041;19
408;MARQUÉS DE ZAFRA;4.681,68 €;4.162,56 €;13.319,02 €;31;24/11/1989;24/11/2039;17
1414;MARROQUINA;4.094,08 €;3.302,33 €;9.002,45 €;121;1/07/1992;1/07/2042;19
901;MARTÍN DE ALZAGA;2.678,70 €;2.573,50 €;3.607,72 €;7;15/07/1984;15/07/2034;11
1205;MATILDE GAYO;12.345,23 €;9.126,81 €;17.645,73 €;13;30/03/1996;30/03/2071;48
817;MELCHOR FERNÁNDEZ ALMAGRO;15.290,49 €;13.829,36 €;29.609,44 €;17;4/08/1998;4/08/2073;50
1702;MENASALBAS;4.444,92 €;4.003,50 €;9.457,10 €;9;10/06/1991;10/06/2041;18
320;MENORCA;12.623,58 €;11.118,60 €;21.264,07 €;50;12/12/2005;12/12/2045;23
1101;MERCEDES ARTEAGA (CANTORIA);3.782,22 €;3.414,16 €;5.799,21 €;12;5/02/1988;5/02/2038;15
720;MIGUEL ÁNGEL;16.832,58 €;13.935,12 €;24.773,55 €;19;22/12/1998;22/12/2073;51
2005;MIGUEL YUSTE;10.905,70 €;10.753,29 €;11.508,00 €;3;9/03/2006;9/03/2056;33
1005;MIRABEL;8.845,53 €;7.423,13 €;14.211,69 €;33;25/01/1992;25/01/2067;44
1509;MISTERIOS;4.343,61 €;4.017,65 €;8.968,31 €;9;24/07/1989;24/07/2039;16
809;MONDARIZ;3.787,42 €;3.178,25 €;5.354,95 €;11;10/12/1990;10/12/2040;18
601;MONTEVIDEO;4.027,01 €;3.703,27 €;6.993,49 €;9;27/02/1987;27/02/2037;14
819;MORALZARZAL;11.768,12 €;9.689,52 €;31.782,53 €;27;27/03/1998;27/03/2073;50
1405;MORATALAZ;3.485,47 €;2.606,93 €;6.096,39 €;27;18/05/1987;18/05/2037;14
605;MÜLLER;3.731,50 €;3.229,74 €;5.087,48 €;12;21/04/1989;21/04/2039;16
406;NARVÁEZ;6.152,72 €;3.207,71 €;18.438,09 €;22;1/09/1989;1/09/2039;16
1020;NAVALMORAL DE LA MATA;7.149,93 €;6.411,36 €;11.150,61 €;39;26/10/2001;26/10/2051;29
301;NIÑO JESÚS;5.005,75 €;1.752,93 €;13.650,09 €;16;11/10/1990;11/10/2040;18
1412;NUESTRA SEÑORA DE GRACIA;4.620,93 €;877,10 €;7.366,72 €;37;1/08/1992;1/08/2042;19
909;OFELIA NIETO;11.315,03 €;10.650,01 €;18.827,34 €;40;24/11/1995;24/11/2070;48
1106;OPORTO;6.337,54 €;5.989,51 €;13.200,95 €;15;30/01/1995;30/01/2045;22
610;ORENSE;6.116,15 €;5.823,27 €;14.330,17 €;27;14/12/1991;14/12/2041;19
411;ORTEGA Y GASSET I;8.655,85 €;2.686,65 €;16.151,16 €;51;5/12/1992;5/12/2042;20
413;ORTEGA Y GASSET II;9.546,31 €;2.494,33 €;16.982,89 €;75;12/12/1992;12/12/2042;20
414;ORTEGA Y GASSET III;10.374,56 €;2.686,37 €;19.690,78 €;124;12/03/1993;12/03/2043;20
415;ORTEGA Y GASSET IV;11.554,93 €;9.639,50 €;23.004,28 €;61;4/06/1993;4/06/2043;20
1207;ORTIZ CAMPOS;13.655,95 €;6.832,28 €;23.624,97 €;26;1/07/2004;1/07/2054;31
1006;OSA DE LA VEGA;4.057,00 €;3.056,18 €;7.190,76 €;105;11/09/1990;11/09/2040;18
1014;PABLO CASALS;11.377,53 €;10.304,13 €;16.348,67 €;26;13/02/1995;13/02/2070;47
705;PABLO IGLESIAS I;5.485,96 €;4.857,55 €;13.496,41 €;23;18/09/1989;18/09/2039;17
609;PABLO IGLESIAS II;4.610,69 €;3.670,36 €;10.106,81 €;161;15/09/1991;15/09/2041;19
1704;PAN Y TOROS;4.280,01 €;3.940,95 €;6.781,54 €;16;4/06/1993;4/06/2043;20
515;PANAMÁ;20.084,39 €;16.288,42 €;45.796,74 €;108;31/12/2002;31/12/2077;55
1612;PARQUE DE SANTA MARíA;6.527,26 €;3.064,86 €;11.610,53 €;12;27/06/2000;27/06/2050;27
1103;PEDRO YAGÜE;3.825,49 €;3.652,99 €;5.542,77 €;6;18/09/1989;18/09/2039;17
101;PEDRO ZEROLO;8.734,21 €;7.563,32 €;13.973,06 €;63;1/12/1999;1/12/2049;27
201;PEÑUELAS;13.122,43 €;12.875,59 €;19.697,90 €;8;2/09/1996;2/09/2071;48
702;PÉREZ PILLADO;4.256,75 €;3.808,12 €;11.569,05 €;35;31/07/1989;31/07/2039;16
303;PEZ VOLADOR;6.118,64 €;5.650,65 €;12.469,41 €;28;12/12/1992;12/12/2042;20
1403;PICO DE LOS ARTILLEROS;3.399,50 €;3.256,78 €;3.552,85 €;2;21/05/1987;21/05/2037;14
426;PILAR DE ZARAGOZA;14.819,39 €;12.654,73 €;21.112,41 €;76;5/01/2005;5/01/2055;32
304;PÍO BAROJA I;5.405,83 €;1.727,19 €;10.242,87 €;118;1/05/1992;1/05/2042;19
1415;PÍO BAROJA II;4.599,47 €;1.576,61 €;7.506,25 €;18;30/11/1993;30/11/2043;21
1512;PLATÓN;4.942,79 €;4.428,43 €;8.111,25 €;18;15/04/1991;15/04/2041;18
107;PLAZA DE ORIENTE;19.373,55 €;18.048,12 €;39.321,86 €;15;23/12/1997;23/12/2072;50
619;POETA LEOPOLDO DE LUIS;13.578,42 €;13.107,15 €;14.401,68 €;6;8/01/2007;8/01/2047;24
503;PRADILLO I;3.957,31 €;3.729,41 €;8.820,19 €;9;1/06/1987;1/06/2037;14
525;PRADILLO II;14.981,98 €;14.071,60 €;17.452,70 €;10;1/11/2008;1/11/2048;26
618;PRESIDENTE CARMONA;12.420,26 €;12.271,48 €;25.273,08 €;7;30/05/1997;30/05/2072;49
1301;PUERTO DEL MONASTERIO;3.356,60 €;3.030,66 €;5.265,80 €;12;25/05/1987;25/05/2037;14
1007;RAFAEL FINAT;3.871,63 €;3.286,68 €;5.420,68 €;64;9/01/1991;9/01/2041;18
505;RAFAEL SALGADO;5.001,89 €;4.262,65 €;6.588,74 €;16;19/07/1989;19/07/2039;16
1204;RAFAELA YBARRA;13.070,64 €;11.905,88 €;23.122,58 €;29;25/10/1996;25/10/2071;49
119;RAMALES;15.936,46 €;5.204,79 €;54.562,12 €;254;10/01/2005;10/01/2055;32
811;RAMÓN GÓMEZ DE LA SERNA;4.507,78 €;4.056,65 €;12.375,78 €;72;1/04/1992;1/04/2042;19
509;RAMOS CARRIÓN;11.864,38 €;9.518,84 €;25.327,38 €;40;14/02/1992;14/02/2067;44
421;RECOLETOS;9.836,35 €;7.938,62 €;12.759,89 €;9;12/10/1995;12/10/2045;23
812;REDONDELA;4.551,76 €;663,35 €;5.218,88 €;16;30/11/1993;30/11/2043;21
718;REINA VICTORIA;15.618,24 €;13.634,27 €;31.705,63 €;88;22/12/1998;22/12/2073;51
512;REPÚBLICA DOMINICANA;15.955,75 €;15.333,71 €;22.347,44 €;6;28/07/1993;28/07/2068;45
311;REYES MAGOS;18.258,10 €;8.773,05 €;24.725,05 €;76;1/12/2003;1/12/2078;56
801;RIBADAVIA;2.206,11 €;2.092,26 €;2.215,34 €;3;15/07/1983;15/07/2033;10
803;RIBADEO;3.071,62 €;2.861,63 €;5.531,56 €;13;20/09/1987;20/09/2037;15
717;RÍOS ROSAS;16.058,26 €;5.013,67 €;41.025,00 €;90;22/12/1998;22/12/2073;51
902;ROSALES I;6.169,88 €;5.920,93 €;10.994,89 €;9;1/02/1990;1/02/2040;17
905;ROSALES II;9.037,40 €;3.940,76 €;16.694,55 €;25;16/12/1991;16/12/2041;19
907;ROSALES III;15.573,17 €;14.626,98 €;29.117,50 €;62;30/10/1995;30/10/2070;48
205;RUTILIO GACÍS;6.911,10 €;2.289,50 €;29.597,78 €;44;1/10/1993;1/10/2043;21
312;SAINZ DE BARANDA;12.968,49 €;11.250,28 €;20.645,38 €;250;30/03/1996;30/03/2071;48
603;SAN AMARO;3.743,96 €;3.011,83 €;5.646,70 €;15;26/06/1985;26/06/2035;12
908;SAN ANTONIO DE LA FLORIDA;13.163,49 €;6.262,09 €;18.765,64 €;25;30/10/1995;30/10/2070;48
1701;SAN AURELIANO;3.023,96 €;2.483,70 €;3.953,64 €;45;22/12/1989;22/12/2039;17
427;SAN CAYETANO;9.690,50 €;7.759,18 €;18.425,98 €;23;3/01/2005;3/01/2055;32
1906;SAN CIPRIANO;7.470,36 €;2.218,18 €;15.160,58 €;29;26/11/2002;26/11/2052;30
701;SAN FRANCISCO DE SALES I;3.037,43 €;2.792,53 €;3.961,04 €;10;30/05/1987;30/05/2037;14
726;SAN FRANCISCO DE SALES II;17.158,49 €;14.403,76 €;32.187,05 €;98;30/01/2003;30/01/2078;55
608;SAN GERMÁN;3.720,01 €;3.535,77 €;5.556,21 €;7;21/07/1989;21/07/2039;16
613;SAN GERMÁN II;5.721,61 €;5.245,14 €;10.201,27 €;33;15/06/1994;15/06/2044;21
703;SAN JUAN DE LA CRUZ;6.376,04 €;4.280,87 €;19.429,21 €;21;25/01/1990;25/01/2040;17
518;SAN JUAN DE LA SALLE;10.723,91 €;8.202,52 €;24.549,55 €;52;29/06/2001;29/06/2051;28
1506;SAN LAMBERTO;4.455,41 €;1.252,09 €;7.625,26 €;24;31/10/1990;31/10/2040;18
104;SÁNCHEZ BUSTILLO;13.417,62 €;13.319,62 €;20.633,00 €;13;29/04/1996;29/04/2071;48
1411;SANCHO DE CÓRDOBA;5.395,11 €;4.798,17 €;9.509,09 €;66;31/07/1991;31/07/2041;18
112;SANTA CRUZ;10.340,35 €;7.746,98 €;15.518,60 €;73;19/12/2001;19/12/2051;29
1802;SANTA EUGENIA;5.156,55 €;4.199,44 €;9.477,93 €;32;3/06/1993;3/06/2043;20
1606;SANTA SUSANA;3.519,16 €;2.943,39 €;7.513,15 €;34;15/09/1988;15/09/2038;16
1601;SANTA VIRGILIA;2.145,85 €;2.038,11 €;2.151,34 €;2;15/07/1983;15/07/2033;10
709;SANTANDER;14.325,59 €;10.875,56 €;28.742,84 €;23;22/07/1998;22/07/2073;50
506;SANTO DOMINGO DE SILOS;5.159,41 €;4.511,67 €;10.096,97 €;21;17/02/1989;17/02/2039;16
816;SARRIÁ;17.678,96 €;10.272,67 €;1.774.997,37 €;22;31/10/1996;31/10/2071;49
432;SERRANO I;20.627,32 €;16.455,94 €;21.435,23 €;56;25/09/2011;25/09/2048;26
433;SERRANO II;20.535,46 €;16.553,38 €;21.394,96 €;65;25/09/2011;25/09/2048;26
434;SERRANO III;20.794,94 €;16.891,03 €;21.420,23 €;21;25/09/2011;25/09/2048;26
114;SEVILLA;9.208,70 €;8.763,81 €;9.906,92 €;5;23/05/2003;23/05/2053;30
1622;SOMONTÍN;7.253,98 €;4.237,01 €;14.859,00 €;53;8/03/2004;8/03/2054;31
606;SOR ÁNGELA DE LA CRUZ;5.126,08 €;4.498,51 €;6.998,80 €;14;21/07/1989;21/07/2039;16
1009;TEMBLEQUE;5.629,41 €;1.799,75 €;8.769,24 €;37;1/12/1992;1/12/2042;20
1201;TOMELLOSO;3.779,33 €;527,33 €;6.619,43 €;17;1/12/1992;1/12/2042;20
501;URUGUAY;1.916,04 €;1.562,81 €;2.544,72 €;43;15/07/1982;15/07/2032;9
904;VALDERROMÁN;7.011,54 €;1.276,00 €;13.015,23 €;17;14/10/1994;14/10/2044;22
